date,value,created_at
2024-01-01,199.827,2024-02-14 23:00:19
2023-12-01,199.11,2024-01-17 23:00:22
2023-11-01,196.064,2023-12-13 23:00:20
2023-10-01,195.456,2023-11-16 13:36:11
2023-09-01,195.148,2023-10-22 23:00:13
2023-08-01,193.433,2023-09-13 23:00:13
2023-07-01,194.178,2023-08-10 23:00:16
2023-06-01,192.264,2023-07-13 16:47:45
2023-05-01,190.831,2023-07-13 16:47:45
2023-04-01,190.929,2023-07-13 16:47:45
2023-03-01,190.619,2023-07-13 16:47:45
2023-02-01,192.0,2023-07-13 16:47:45
2023-01-01,190.636,2023-07-13 16:47:45
2022-12-01,189.292,2023-07-13 16:47:45
2022-11-01,187.214,2023-07-13 16:47:45
2022-10-01,185.132,2023-07-13 16:47:45
2022-09-01,183.26,2023-07-13 16:47:45
2022-08-01,183.135,2023-07-13 16:47:45
2022-07-01,183.305,2023-07-13 16:47:45
2022-06-01,181.701,2023-07-13 16:47:45
2022-05-01,180.96,2023-07-13 16:47:45
2022-04-01,180.483,2023-07-13 16:47:45
2022-03-01,180.94,2023-07-13 16:47:45
2022-02-01,181.287,2023-07-13 16:47:45
2022-01-01,180.003,2023-07-13 16:47:45
2021-12-01,179.075,2023-07-13 16:47:45
2021-11-01,179.303,2023-07-13 16:47:45
2021-10-01,181.01,2023-07-13 16:47:45
2021-09-01,178.2,2023-07-13 16:47:45
2021-08-01,177.538,2023-07-13 16:47:45
2021-07-01,177.167,2023-07-13 16:47:45
2021-06-01,175.696,2023-07-13 16:47:45
2021-05-01,175.337,2023-07-13 16:47:45
2021-04-01,175.527,2023-07-13 16:47:45
2021-03-01,173.456,2023-07-13 16:47:45
2021-02-01,171.279,2023-07-13 16:47:45
2021-01-01,170.235,2023-07-13 16:47:45
2020-12-01,173.883,2023-07-13 16:47:45
2020-11-01,176.019,2023-07-13 16:47:45
2020-10-01,174.274,2023-07-13 16:47:45
2020-09-01,172.805,2023-07-13 16:47:45
2020-08-01,172.058,2023-07-13 16:47:45
2020-07-01,171.125,2023-07-13 16:47:45
2020-06-01,176.613,2023-07-13 16:47:45
2020-05-01,179.631,2023-07-13 16:47:45
2020-04-01,175.805,2023-07-13 16:47:45
2020-03-01,175.805,2023-07-13 16:47:45
2020-02-01,174.117,2023-07-13 16:47:45
2020-01-01,174.516,2023-07-13 16:47:45
2019-12-01,173.887,2023-07-13 16:47:45
2019-11-01,173.494,2023-07-13 16:47:45
2019-10-01,172.276,2023-07-13 16:47:45
2019-09-01,170.683,2023-07-13 16:47:45
2019-08-01,171.87,2023-07-13 16:47:45
2019-07-01,171.309,2023-07-13 16:47:45
2019-06-01,170.84,2023-07-13 16:47:45
2019-05-01,171.088,2023-07-13 16:47:45
2019-04-01,173.024,2023-07-13 16:47:45
2019-03-01,171.979,2023-07-13 16:47:45
2019-02-01,170.562,2023-07-13 16:47:45
2019-01-01,170.859,2023-07-13 16:47:45
2018-12-01,170.38,2023-07-13 16:47:45
2018-11-01,169.763,2023-07-13 16:47:45
2018-10-01,168.504,2023-07-13 16:47:45
2018-09-01,168.779,2023-07-13 16:47:45
2018-08-01,168.107,2023-07-13 16:47:45
2018-07-01,168.72,2023-07-13 16:47:45
2018-06-01,168.395,2023-07-13 16:47:45
2018-05-01,166.686,2023-07-13 16:47:45
2018-04-01,165.947,2023-07-13 16:47:45
2018-03-01,166.635,2023-07-13 16:47:45
2018-02-01,166.809,2023-07-13 16:47:45
2018-01-01,166.233,2023-07-13 16:47:45
2017-12-01,165.712,2023-07-13 16:47:45
2017-11-01,164.752,2023-07-13 16:47:45
2017-10-01,164.659,2023-07-13 16:47:45
2017-09-01,164.789,2023-07-13 16:47:45
2017-08-01,165.221,2023-07-13 16:47:45
2017-07-01,164.813,2023-07-13 16:47:45
2017-06-01,163.403,2023-07-13 16:47:45
2017-05-01,163.235,2023-07-13 16:47:45
2017-04-01,163.456,2023-07-13 16:47:45
2017-03-01,163.52,2023-07-13 16:47:45
2017-02-01,163.46,2023-07-13 16:47:45
2017-01-01,161.604,2023-07-13 16:47:45
