date,value,created_at
2024-01-01,134.993,2024-02-14 23:00:19
2023-12-01,133.611,2024-01-17 23:00:22
2023-11-01,130.834,2023-12-13 23:00:20
2023-10-01,133.015,2023-11-16 13:36:11
2023-09-01,132.828,2023-10-22 23:00:13
2023-08-01,132.339,2023-09-13 23:00:14
2023-07-01,133.684,2023-08-10 23:00:16
2023-06-01,135.025,2023-07-13 16:47:45
2023-05-01,135.798,2023-07-13 16:47:45
2023-04-01,135.604,2023-07-13 16:47:45
2023-03-01,135.839,2023-07-13 16:47:45
2023-02-01,134.809,2023-07-13 16:47:45
2023-01-01,134.377,2023-07-13 16:47:45
2022-12-01,132.404,2023-07-13 16:47:45
2022-11-01,132.413,2023-07-13 16:47:45
2022-10-01,131.581,2023-07-13 16:47:45
2022-09-01,133.398,2023-07-13 16:47:45
2022-08-01,132.019,2023-07-13 16:47:45
2022-07-01,127.471,2023-07-13 16:47:45
2022-06-01,127.305,2023-07-13 16:47:45
2022-05-01,126.094,2023-07-13 16:47:45
2022-04-01,123.398,2023-07-13 16:47:45
2022-03-01,122.387,2023-07-13 16:47:45
2022-02-01,124.41,2023-07-13 16:47:45
2022-01-01,118.733,2023-07-13 16:47:45
2021-12-01,117.741,2023-07-13 16:47:45
2021-11-01,120.196,2023-07-13 16:47:45
2021-10-01,116.608,2023-07-13 16:47:45
2021-09-01,116.042,2023-07-13 16:47:45
2021-08-01,114.952,2023-07-13 16:47:45
2021-07-01,118.122,2023-07-13 16:47:45
2021-06-01,117.014,2023-07-13 16:47:45
2021-05-01,113.723,2023-07-13 16:47:45
2021-04-01,110.77,2023-07-13 16:47:45
2021-03-01,110.96,2023-07-13 16:47:45
2021-02-01,111.802,2023-07-13 16:47:45
2021-01-01,110.759,2023-07-13 16:47:45
2020-12-01,110.208,2023-07-13 16:47:45
2020-11-01,111.684,2023-07-13 16:47:45
2020-10-01,112.178,2023-07-13 16:47:45
2020-09-01,111.988,2023-07-13 16:47:45
2020-08-01,112.865,2023-07-13 16:47:45
2020-07-01,111.588,2023-07-13 16:47:45
2020-06-01,111.117,2023-07-13 16:47:45
2020-05-01,111.506,2023-07-13 16:47:45
2020-04-01,112.365,2023-07-13 16:47:45
2020-03-01,112.681,2023-07-13 16:47:45
2020-02-01,113.133,2023-07-13 16:47:45
2020-01-01,112.874,2023-07-13 16:47:45
2019-12-01,111.938,2023-07-13 16:47:45
2019-11-01,111.1,2023-07-13 16:47:45
2019-10-01,111.861,2023-07-13 16:47:45
2019-09-01,113.535,2023-07-13 16:47:45
2019-08-01,115.552,2023-07-13 16:47:45
2019-07-01,116.775,2023-07-13 16:47:45
2019-06-01,115.985,2023-07-13 16:47:45
2019-05-01,114.559,2023-07-13 16:47:45
2019-04-01,114.065,2023-07-13 16:47:45
2019-03-01,114.085,2023-07-13 16:47:45
2019-02-01,112.021,2023-07-13 16:47:45
2019-01-01,113.14,2023-07-13 16:47:45
2018-12-01,112.693,2023-07-13 16:47:45
2018-11-01,112.438,2023-07-13 16:47:45
2018-10-01,111.687,2023-07-13 16:47:45
2018-09-01,111.562,2023-07-13 16:47:45
2018-08-01,111.356,2023-07-13 16:47:45
2018-07-01,110.15,2023-07-13 16:47:45
2018-06-01,112.078,2023-07-13 16:47:45
2018-05-01,113.751,2023-07-13 16:47:45
2018-04-01,114.587,2023-07-13 16:47:45
2018-03-01,113.117,2023-07-13 16:47:45
2018-02-01,112.345,2023-07-13 16:47:45
2018-01-01,109.725,2023-07-13 16:47:45
2017-12-01,108.172,2023-07-13 16:47:45
2017-11-01,110.304,2023-07-13 16:47:45
2017-10-01,108.544,2023-07-13 16:47:45
2017-09-01,108.278,2023-07-13 16:47:45
2017-08-01,108.686,2023-07-13 16:47:45
2017-07-01,108.588,2023-07-13 16:47:45
2017-06-01,109.562,2023-07-13 16:47:45
2017-05-01,110.735,2023-07-13 16:47:45
2017-04-01,109.868,2023-07-13 16:47:45
2017-03-01,108.31,2023-07-13 16:47:45
2017-02-01,108.572,2023-07-13 16:47:45
2017-01-01,109.597,2023-07-13 16:47:45
2016-12-01,110.28,2023-07-13 16:47:45
2016-11-01,110.129,2023-07-13 16:47:45
2016-10-01,109.92,2023-07-13 16:47:45
2016-09-01,111.752,2023-07-13 16:47:45
2016-08-01,110.717,2023-07-13 16:47:45
2016-07-01,109.957,2023-07-13 16:47:45
2016-06-01,110.35,2023-07-13 16:47:45
2016-05-01,109.645,2023-07-13 16:47:45
2016-04-01,110.144,2023-07-13 16:47:45
2016-03-01,109.69,2023-07-13 16:47:45
2016-02-01,108.645,2023-07-13 16:47:45
2016-01-01,109.16,2023-07-13 16:47:45
2015-12-01,108.808,2023-07-13 16:47:45
2015-11-01,108.247,2023-07-13 16:47:45
2015-10-01,108.369,2023-07-13 16:47:45
2015-09-01,107.553,2023-07-13 16:47:45
2015-08-01,108.264,2023-07-13 16:47:45
2015-07-01,109.267,2023-07-13 16:47:45
2015-06-01,109.241,2023-07-13 16:47:45
2015-05-01,108.686,2023-07-13 16:47:45
2015-04-01,108.98,2023-07-13 16:47:45
2015-03-01,108.412,2023-07-13 16:47:45
2015-02-01,108.478,2023-07-13 16:47:45
2015-01-01,108.67,2023-07-13 16:47:45
2014-12-01,107.817,2023-07-13 16:47:45
2014-11-01,108.083,2023-07-13 16:47:45
2014-10-01,108.861,2023-07-13 16:47:45
2014-09-01,110.185,2023-07-13 16:47:45
2014-08-01,109.832,2023-07-13 16:47:45
2014-07-01,109.013,2023-07-13 16:47:45
2014-06-01,108.076,2023-07-13 16:47:45
2014-05-01,107.846,2023-07-13 16:47:45
2014-04-01,107.652,2023-07-13 16:47:45
2014-03-01,107.16,2023-07-13 16:47:45
2014-02-01,107.517,2023-07-13 16:47:45
2014-01-01,107.235,2023-07-13 16:47:45
2013-12-01,106.969,2023-07-13 16:47:45
2013-11-01,107.056,2023-07-13 16:47:45
2013-10-01,107.866,2023-07-13 16:47:45
