date,value,created_at
2024-01-01,142.357,2024-02-14 23:00:20
2023-12-01,142.328,2024-01-17 23:00:23
2023-11-01,144.951,2023-12-13 23:00:20
2023-10-01,146.764,2023-11-16 13:36:11
2023-09-01,147.469,2023-10-22 23:00:13
2023-08-01,145.862,2023-09-13 23:00:14
2023-07-01,142.793,2023-08-10 23:00:17
2023-06-01,144.571,2023-07-13 16:47:45
2023-05-01,144.829,2023-07-13 16:47:45
2023-04-01,144.949,2023-07-13 16:47:45
2023-03-01,145.715,2023-07-13 16:47:45
2023-02-01,145.612,2023-07-13 16:47:45
2023-01-01,142.307,2023-07-13 16:47:45
2022-12-01,141.327,2023-07-13 16:47:45
2022-11-01,143.874,2023-07-13 16:47:45
2022-10-01,145.192,2023-07-13 16:47:45
2022-09-01,146.62,2023-07-13 16:47:45
2022-08-01,145.937,2023-07-13 16:47:45
2022-07-01,145.144,2023-07-13 16:47:45
2022-06-01,145.931,2023-07-13 16:47:45
2022-05-01,144.589,2023-07-13 16:47:45
2022-04-01,143.995,2023-07-13 16:47:45
2022-03-01,145.306,2023-07-13 16:47:45
2022-02-01,144.497,2023-07-13 16:47:45
2022-01-01,141.803,2023-07-13 16:47:45
2021-12-01,140.219,2023-07-13 16:47:45
2021-11-01,140.655,2023-07-13 16:47:45
2021-10-01,141.31,2023-07-13 16:47:45
2021-09-01,141.066,2023-07-13 16:47:45
2021-08-01,138.975,2023-07-13 16:47:45
2021-07-01,136.707,2023-07-13 16:47:45
2021-06-01,137.91,2023-07-13 16:47:45
2021-05-01,138.385,2023-07-13 16:47:45
2021-04-01,137.479,2023-07-13 16:47:45
2021-03-01,136.288,2023-07-13 16:47:45
2021-02-01,135.095,2023-07-13 16:47:45
2021-01-01,133.687,2023-07-13 16:47:45
2020-12-01,132.314,2023-07-13 16:47:45
2020-11-01,134.281,2023-07-13 16:47:45
2020-10-01,134.374,2023-07-13 16:47:45
2020-09-01,132.444,2023-07-13 16:47:45
2020-08-01,132.17,2023-07-13 16:47:45
2020-07-01,130.666,2023-07-13 16:47:45
2020-06-01,129.451,2023-07-13 16:47:45
2020-05-01,129.157,2023-07-13 16:47:45
2020-04-01,132.288,2023-07-13 16:47:45
2020-03-01,136.592,2023-07-13 16:47:45
2020-02-01,138.315,2023-07-13 16:47:45
2020-01-01,136.587,2023-07-13 16:47:45
2019-12-01,135.25,2023-07-13 16:47:45
2019-11-01,137.767,2023-07-13 16:47:45
2019-10-01,139.211,2023-07-13 16:47:45
2019-09-01,139.167,2023-07-13 16:47:45
2019-08-01,137.518,2023-07-13 16:47:45
2019-07-01,135.102,2023-07-13 16:47:45
2019-06-01,135.425,2023-07-13 16:47:45
2019-05-01,135.329,2023-07-13 16:47:45
2019-04-01,136.131,2023-07-13 16:47:45
2019-03-01,136.93,2023-07-13 16:47:45
2019-02-01,137.072,2023-07-13 16:47:45
2019-01-01,135.405,2023-07-13 16:47:45
2018-12-01,132.967,2023-07-13 16:47:45
2018-11-01,135.203,2023-07-13 16:47:45
2018-10-01,137.22,2023-07-13 16:47:45
2018-09-01,136.741,2023-07-13 16:47:45
2018-08-01,136.077,2023-07-13 16:47:45
2018-07-01,135.795,2023-07-13 16:47:45
2018-06-01,135.359,2023-07-13 16:47:45
2018-05-01,137.525,2023-07-13 16:47:45
2018-04-01,139.101,2023-07-13 16:47:45
2018-03-01,139.239,2023-07-13 16:47:45
2018-02-01,135.113,2023-07-13 16:47:45
2018-01-01,132.302,2023-07-13 16:47:45
2017-12-01,133.114,2023-07-13 16:47:45
2017-11-01,135.834,2023-07-13 16:47:45
2017-10-01,138.184,2023-07-13 16:47:45
2017-09-01,137.908,2023-07-13 16:47:45
2017-08-01,135.684,2023-07-13 16:47:45
2017-07-01,135.168,2023-07-13 16:47:45
2017-06-01,137.188,2023-07-13 16:47:45
2017-05-01,138.441,2023-07-13 16:47:45
2017-04-01,139.703,2023-07-13 16:47:45
2017-03-01,138.116,2023-07-13 16:47:45
2017-02-01,135.525,2023-07-13 16:47:45
2017-01-01,135.398,2023-07-13 16:47:45
2016-12-01,136.727,2023-07-13 16:47:45
2016-11-01,138.765,2023-07-13 16:47:45
2016-10-01,141.145,2023-07-13 16:47:45
2016-09-01,139.064,2023-07-13 16:47:45
2016-08-01,136.768,2023-07-13 16:47:45
2016-07-01,134.009,2023-07-13 16:47:45
2016-06-01,134.666,2023-07-13 16:47:45
2016-05-01,138.286,2023-07-13 16:47:45
2016-04-01,139.021,2023-07-13 16:47:45
2016-03-01,138.003,2023-07-13 16:47:45
2016-02-01,137.087,2023-07-13 16:47:45
2016-01-01,134.236,2023-07-13 16:47:45
2015-12-01,134.891,2023-07-13 16:47:45
2015-11-01,137.649,2023-07-13 16:47:45
2015-10-01,139.431,2023-07-13 16:47:45
2015-09-01,139.027,2023-07-13 16:47:45
2015-08-01,137.405,2023-07-13 16:47:45
2015-07-01,135.68,2023-07-13 16:47:45
2015-06-01,135.83,2023-07-13 16:47:45
2015-05-01,137.549,2023-07-13 16:47:45
2015-04-01,138.116,2023-07-13 16:47:45
2015-03-01,137.4,2023-07-13 16:47:45
2015-02-01,134.61,2023-07-13 16:47:45
2015-01-01,133.855,2023-07-13 16:47:45
2014-12-01,136.275,2023-07-13 16:47:45
2014-11-01,138.401,2023-07-13 16:47:45
2014-10-01,140.711,2023-07-13 16:47:45
2014-09-01,139.684,2023-07-13 16:47:45
2014-08-01,135.94,2023-07-13 16:47:45
2014-07-01,134.79,2023-07-13 16:47:45
2014-06-01,134.301,2023-07-13 16:47:45
2014-05-01,135.075,2023-07-13 16:47:45
2014-04-01,134.422,2023-07-13 16:47:45
2014-03-01,133.627,2023-07-13 16:47:45
2014-02-01,131.676,2023-07-13 16:47:45
2014-01-01,130.519,2023-07-13 16:47:45
2013-12-01,132.589,2023-07-13 16:47:45
2013-11-01,135.627,2023-07-13 16:47:45
2013-10-01,136.965,2023-07-13 16:47:45
2013-09-01,136.601,2023-07-13 16:47:45
2013-08-01,134.295,2023-07-13 16:47:45
2013-07-01,133.566,2023-07-13 16:47:45
2013-06-01,135.947,2023-07-13 16:47:45
2013-05-01,136.392,2023-07-13 16:47:45
2013-04-01,136.096,2023-07-13 16:47:45
2013-03-01,134.956,2023-07-13 16:47:45
2013-02-01,134.158,2023-07-13 16:47:45
2013-01-01,132.998,2023-07-13 16:47:45
2012-12-01,133.908,2023-07-13 16:47:45
2012-11-01,135.849,2023-07-13 16:47:45
2012-10-01,136.228,2023-07-13 16:47:45
2012-09-01,134.326,2023-07-13 16:47:45
2012-08-01,130.981,2023-07-13 16:47:45
2012-07-01,129.847,2023-07-13 16:47:45
2012-06-01,131.954,2023-07-13 16:47:45
2012-05-01,132.409,2023-07-13 16:47:45
2012-04-01,131.848,2023-07-13 16:47:45
2012-03-01,130.077,2023-07-13 16:47:45
2012-02-01,127.668,2023-07-13 16:47:45
2012-01-01,126.915,2023-07-13 16:47:45
2011-12-01,128.208,2023-07-13 16:47:45
2011-11-01,130.293,2023-07-13 16:47:45
2011-10-01,130.886,2023-07-13 16:47:45
2011-09-01,130.921,2023-07-13 16:47:45
2011-08-01,127.5,2023-07-13 16:47:45
2011-07-01,126.092,2023-07-13 16:47:45
2011-06-01,128.054,2023-07-13 16:47:45
2011-05-01,129.618,2023-07-13 16:47:45
2011-04-01,128.581,2023-07-13 16:47:45
2011-03-01,128.518,2023-07-13 16:47:45
2011-02-01,126.83,2023-07-13 16:47:45
2011-01-01,126.286,2023-07-13 16:47:45
2010-12-01,126.585,2023-07-13 16:47:45
2010-11-01,129.368,2023-07-13 16:47:45
2010-10-01,130.896,2023-07-13 16:47:45
2010-09-01,129.303,2023-07-13 16:47:45
2010-08-01,125.656,2023-07-13 16:47:45
2010-07-01,125.212,2023-07-13 16:47:45
