date,value,created_at
2024-01-01,400.509,2024-02-14 23:00:20
2023-12-01,394.565,2024-01-17 23:00:23
2023-11-01,397.04,2023-12-13 23:00:20
2023-10-01,394.814,2023-11-16 13:36:11
2023-09-01,394.039,2023-10-22 23:00:13
2023-08-01,393.72,2023-09-13 23:00:14
2023-07-01,394.826,2023-08-10 23:00:17
2023-06-01,394.243,2023-07-13 16:47:45
2023-05-01,395.219,2023-07-13 16:47:45
2023-04-01,390.265,2023-07-13 16:47:45
2023-03-01,388.507,2023-07-13 16:47:45
2023-02-01,396.163,2023-07-13 16:47:45
2023-01-01,398.196,2023-07-13 16:47:45
2022-12-01,396.405,2023-07-13 16:47:45
2022-11-01,398.482,2023-07-13 16:47:45
2022-10-01,395.247,2023-07-13 16:47:45
2022-09-01,396.205,2023-07-13 16:47:45
2022-08-01,390.736,2023-07-13 16:47:45
2022-07-01,390.291,2023-07-13 16:47:45
2022-06-01,389.84,2023-07-13 16:47:45
2022-05-01,392.719,2023-07-13 16:47:45
2022-04-01,391.637,2023-07-13 16:47:45
2022-03-01,389.297,2023-07-13 16:47:45
2022-02-01,386.178,2023-07-13 16:47:45
2022-01-01,379.065,2023-07-13 16:47:45
2021-12-01,372.694,2023-07-13 16:47:45
2021-11-01,369.055,2023-07-13 16:47:45
2021-10-01,368.158,2023-07-13 16:47:45
2021-09-01,364.607,2023-07-13 16:47:45
2021-08-01,362.018,2023-07-13 16:47:45
2021-07-01,360.733,2023-07-13 16:47:45
2021-06-01,364.417,2023-07-13 16:47:45
2021-05-01,365.13,2023-07-13 16:47:45
2021-04-01,364.631,2023-07-13 16:47:45
2021-03-01,360.01,2023-07-13 16:47:45
2021-02-01,358.712,2023-07-13 16:47:45
2021-01-01,358.851,2023-07-13 16:47:45
2020-12-01,354.288,2023-07-13 16:47:45
2020-11-01,354.721,2023-07-13 16:47:45
2020-10-01,357.967,2023-07-13 16:47:45
2020-09-01,352.821,2023-07-13 16:47:45
2020-08-01,353.654,2023-07-13 16:47:45
2020-07-01,352.504,2023-07-13 16:47:45
2020-06-01,351.193,2023-07-13 16:47:45
2020-05-01,353.765,2023-07-13 16:47:45
2020-04-01,351.845,2023-07-13 16:47:45
2020-03-01,346.823,2023-07-13 16:47:45
2020-02-01,347.538,2023-07-13 16:47:45
2020-01-01,350.506,2023-07-13 16:47:45
2019-12-01,344.851,2023-07-13 16:47:45
2019-11-01,345.551,2023-07-13 16:47:45
2019-10-01,350.148,2023-07-13 16:47:45
2019-09-01,344.181,2023-07-13 16:47:45
2019-08-01,345.918,2023-07-13 16:47:45
2019-07-01,346.778,2023-07-13 16:47:45
2019-06-01,345.165,2023-07-13 16:47:45
2019-05-01,351.035,2023-07-13 16:47:45
2019-04-01,353.656,2023-07-13 16:47:45
2019-03-01,355.517,2023-07-13 16:47:45
2019-02-01,355.034,2023-07-13 16:47:45
2019-01-01,356.574,2023-07-13 16:47:45
2018-12-01,352.281,2023-07-13 16:47:45
2018-11-01,345.846,2023-07-13 16:47:45
2018-10-01,347.341,2023-07-13 16:47:45
2018-09-01,346.223,2023-07-13 16:47:45
2018-08-01,344.783,2023-07-13 16:47:45
2018-07-01,345.592,2023-07-13 16:47:45
2018-06-01,342.194,2023-07-13 16:47:45
2018-05-01,344.657,2023-07-13 16:47:45
2018-04-01,344.087,2023-07-13 16:47:45
2018-03-01,340.982,2023-07-13 16:47:45
2018-02-01,346.841,2023-07-13 16:47:45
2018-01-01,352.044,2023-07-13 16:47:45
2017-12-01,346.213,2023-07-13 16:47:45
2017-11-01,346.273,2023-07-13 16:47:45
2017-10-01,348.98,2023-07-13 16:47:45
2017-09-01,344.364,2023-07-13 16:47:45
2017-08-01,340.816,2023-07-13 16:47:45
2017-07-01,340.684,2023-07-13 16:47:45
2017-06-01,340.08,2023-07-13 16:47:45
2017-05-01,345.615,2023-07-13 16:47:45
2017-04-01,345.636,2023-07-13 16:47:45
2017-03-01,337.47,2023-07-13 16:47:45
2017-02-01,336.477,2023-07-13 16:47:45
2017-01-01,335.844,2023-07-13 16:47:45
2016-12-01,336.988,2023-07-13 16:47:45
2016-11-01,339.317,2023-07-13 16:47:45
2016-10-01,341.287,2023-07-13 16:47:45
2016-09-01,337.954,2023-07-13 16:47:45
2016-08-01,335.354,2023-07-13 16:47:45
2016-07-01,334.146,2023-07-13 16:47:45
2016-06-01,335.689,2023-07-13 16:47:45
2016-05-01,340.491,2023-07-13 16:47:45
2016-04-01,340.76,2023-07-13 16:47:45
2016-03-01,344.971,2023-07-13 16:47:45
2016-02-01,356.688,2023-07-13 16:47:45
2016-01-01,356.741,2023-07-13 16:47:45
2015-12-01,347.583,2023-07-13 16:47:45
2015-11-01,345.689,2023-07-13 16:47:45
2015-10-01,344.528,2023-07-13 16:47:45
2015-09-01,338.989,2023-07-13 16:47:45
2015-08-01,332.715,2023-07-13 16:47:45
2015-07-01,327.298,2023-07-13 16:47:45
2015-06-01,329.532,2023-07-13 16:47:45
2015-05-01,335.385,2023-07-13 16:47:45
2015-04-01,332.648,2023-07-13 16:47:45
2015-03-01,332.501,2023-07-13 16:47:45
2015-02-01,339.855,2023-07-13 16:47:45
2015-01-01,345.295,2023-07-13 16:47:45
2014-12-01,344.932,2023-07-13 16:47:45
2014-11-01,340.876,2023-07-13 16:47:45
2014-10-01,343.738,2023-07-13 16:47:45
2014-09-01,337.574,2023-07-13 16:47:45
2014-08-01,333.942,2023-07-13 16:47:45
2014-07-01,337.124,2023-07-13 16:47:45
2014-06-01,339.602,2023-07-13 16:47:45
2014-05-01,344.766,2023-07-13 16:47:45
2014-04-01,340.113,2023-07-13 16:47:45
2014-03-01,336.35,2023-07-13 16:47:45
2014-02-01,335.824,2023-07-13 16:47:45
2014-01-01,335.58,2023-07-13 16:47:45
2013-12-01,331.492,2023-07-13 16:47:45
2013-11-01,333.76,2023-07-13 16:47:45
2013-10-01,336.253,2023-07-13 16:47:45
2013-09-01,332.912,2023-07-13 16:47:45
2013-08-01,332.911,2023-07-13 16:47:45
2013-07-01,328.083,2023-07-13 16:47:45
2013-06-01,326.581,2023-07-13 16:47:45
2013-05-01,330.764,2023-07-13 16:47:45
2013-04-01,329.729,2023-07-13 16:47:45
2013-03-01,335.069,2023-07-13 16:47:45
2013-02-01,337.889,2023-07-13 16:47:45
2013-01-01,337.973,2023-07-13 16:47:45
2012-12-01,332.405,2023-07-13 16:47:45
2012-11-01,325.525,2023-07-13 16:47:45
2012-10-01,324.132,2023-07-13 16:47:45
2012-09-01,320.886,2023-07-13 16:47:45
2012-08-01,318.435,2023-07-13 16:47:45
2012-07-01,318.3,2023-07-13 16:47:45
2012-06-01,322.502,2023-07-13 16:47:45
2012-05-01,322.096,2023-07-13 16:47:45
2012-04-01,320.327,2023-07-13 16:47:45
2012-03-01,316.764,2023-07-13 16:47:45
2012-02-01,319.145,2023-07-13 16:47:45
2012-01-01,326.881,2023-07-13 16:47:45
2011-12-01,325.075,2023-07-13 16:47:45
2011-11-01,324.257,2023-07-13 16:47:45
2011-10-01,325.556,2023-07-13 16:47:45
2011-09-01,330.422,2023-07-13 16:47:45
2011-08-01,325.246,2023-07-13 16:47:45
2011-07-01,323.971,2023-07-13 16:47:45
2011-06-01,323.136,2023-07-13 16:47:45
2011-05-01,329.02,2023-07-13 16:47:45
2011-04-01,334.041,2023-07-13 16:47:45
2011-03-01,339.186,2023-07-13 16:47:45
2011-02-01,334.179,2023-07-13 16:47:45
2011-01-01,332.564,2023-07-13 16:47:45
2010-12-01,322.087,2023-07-13 16:47:45
2010-11-01,312.434,2023-07-13 16:47:45
2010-10-01,310.268,2023-07-13 16:47:45
2010-09-01,307.101,2023-07-13 16:47:45
2010-08-01,302.474,2023-07-13 16:47:45
2010-07-01,303.006,2023-07-13 16:47:45
2010-06-01,311.448,2023-07-13 16:47:45
2010-05-01,321.226,2023-07-13 16:47:45
2010-04-01,324.008,2023-07-13 16:47:45
2010-03-01,325.425,2023-07-13 16:47:45
2010-02-01,316.252,2023-07-13 16:47:45
2010-01-01,322.236,2023-07-13 16:47:45
2009-12-01,315.247,2023-07-13 16:47:45
2009-11-01,310.709,2023-07-13 16:47:45
2009-10-01,307.382,2023-07-13 16:47:45
2009-09-01,303.998,2023-07-13 16:47:45
2009-08-01,303.871,2023-07-13 16:47:45
2009-07-01,308.33,2023-07-13 16:47:45
2009-06-01,310.506,2023-07-13 16:47:45
2009-05-01,313.006,2023-07-13 16:47:45
2009-04-01,314.647,2023-07-13 16:47:45
2009-03-01,315.104,2023-07-13 16:47:45
2009-02-01,321.506,2023-07-13 16:47:45
2009-01-01,327.546,2023-07-13 16:47:45
