date,value,created_at
2024-01-01,133.656,2024-02-14 23:00:20
2023-12-01,131.895,2024-01-17 23:00:23
2023-11-01,133.515,2023-12-13 23:00:20
2023-10-01,134.962,2023-11-16 13:36:11
2023-09-01,133.112,2023-10-22 23:00:13
2023-08-01,134.705,2023-09-13 23:00:14
2023-07-01,136.291,2023-08-10 23:00:17
2023-06-01,136.784,2023-07-13 16:47:45
2023-05-01,136.692,2023-07-13 16:47:45
2023-04-01,137.709,2023-07-13 16:47:45
2023-03-01,138.416,2023-07-13 16:47:45
2023-02-01,137.918,2023-07-13 16:47:45
2023-01-01,137.692,2023-07-13 16:47:45
2022-12-01,137.754,2023-07-13 16:47:45
2022-11-01,137.797,2023-07-13 16:47:45
2022-10-01,138.939,2023-07-13 16:47:45
2022-09-01,140.692,2023-07-13 16:47:45
2022-08-01,140.884,2023-07-13 16:47:45
2022-07-01,140.189,2023-07-13 16:47:45
2022-06-01,138.927,2023-07-13 16:47:45
2022-05-01,137.398,2023-07-13 16:47:45
2022-04-01,137.665,2023-07-13 16:47:45
2022-03-01,135.635,2023-07-13 16:47:45
2022-02-01,134.841,2023-07-13 16:47:45
2022-01-01,134.732,2023-07-13 16:47:45
2021-12-01,131.628,2023-07-13 16:47:45
2021-11-01,129.017,2023-07-13 16:47:45
2021-10-01,128.263,2023-07-13 16:47:45
2021-09-01,127.817,2023-07-13 16:47:45
2021-08-01,124.877,2023-07-13 16:47:45
2021-07-01,122.111,2023-07-13 16:47:45
2021-06-01,122.793,2023-07-13 16:47:45
2021-05-01,121.954,2023-07-13 16:47:45
2021-04-01,119.675,2023-07-13 16:47:45
2021-03-01,117.165,2023-07-13 16:47:45
2021-02-01,115.123,2023-07-13 16:47:45
2021-01-01,115.163,2023-07-13 16:47:45
2020-12-01,115.696,2023-07-13 16:47:45
2020-11-01,115.428,2023-07-13 16:47:45
2020-10-01,114.508,2023-07-13 16:47:45
2020-09-01,114.96,2023-07-13 16:47:45
2020-08-01,114.047,2023-07-13 16:47:45
2020-07-01,112.222,2023-07-13 16:47:45
2020-06-01,113.116,2023-07-13 16:47:45
2020-05-01,112.314,2023-07-13 16:47:45
2020-04-01,111.007,2023-07-13 16:47:45
2020-03-01,113.176,2023-07-13 16:47:45
2020-02-01,114.491,2023-07-13 16:47:45
2020-01-01,113.491,2023-07-13 16:47:45
2019-12-01,113.223,2023-07-13 16:47:45
2019-11-01,113.699,2023-07-13 16:47:45
2019-10-01,114.079,2023-07-13 16:47:45
2019-09-01,113.987,2023-07-13 16:47:45
2019-08-01,112.971,2023-07-13 16:47:45
2019-07-01,114.901,2023-07-13 16:47:45
2019-06-01,114.718,2023-07-13 16:47:45
2019-05-01,113.765,2023-07-13 16:47:45
2019-04-01,113.17,2023-07-13 16:47:45
2019-03-01,113.775,2023-07-13 16:47:45
2019-02-01,113.192,2023-07-13 16:47:45
2019-01-01,112.313,2023-07-13 16:47:45
2018-12-01,111.923,2023-07-13 16:47:45
2018-11-01,111.217,2023-07-13 16:47:45
