date,value,created_at
2024-01-01,92.348,2024-02-14 23:00:20
2023-12-01,94.982,2024-01-17 23:00:23
2023-11-01,99.07,2023-12-13 23:00:20
2023-10-01,104.416,2023-11-16 13:36:11
2023-09-01,106.477,2023-10-22 23:00:13
2023-08-01,102.824,2023-09-13 23:00:14
2023-07-01,102.084,2023-08-10 23:00:18
2023-06-01,103.012,2023-07-13 16:47:45
2023-05-01,106.039,2023-07-13 16:47:45
2023-04-01,107.624,2023-07-13 16:47:45
2023-03-01,107.779,2023-07-13 16:47:45
2023-02-01,107.461,2023-07-13 16:47:45
2023-01-01,101.456,2023-07-13 16:47:45
2022-12-01,99.219,2023-07-13 16:47:45
2022-11-01,100.53,2023-07-13 16:47:45
2022-10-01,104.836,2023-07-13 16:47:45
2022-09-01,107.313,2023-07-13 16:47:45
2022-08-01,99.317,2023-07-13 16:47:45
2022-07-01,95.19,2023-07-13 16:47:45
2022-06-01,98.933,2023-07-13 16:47:45
2022-05-01,99.311,2023-07-13 16:47:45
2022-04-01,101.844,2023-07-13 16:47:45
2022-03-01,101.935,2023-07-13 16:47:45
2022-02-01,100.724,2023-07-13 16:47:45
2022-01-01,96.78,2023-07-13 16:47:45
2021-12-01,94.434,2023-07-13 16:47:45
2021-11-01,95.558,2023-07-13 16:47:45
2021-10-01,97.898,2023-07-13 16:47:45
2021-09-01,98.452,2023-07-13 16:47:45
2021-08-01,94.809,2023-07-13 16:47:45
2021-07-01,93.713,2023-07-13 16:47:45
2021-06-01,97.195,2023-07-13 16:47:45
2021-05-01,98.827,2023-07-13 16:47:45
2021-04-01,97.308,2023-07-13 16:47:45
2021-03-01,97.114,2023-07-13 16:47:45
2021-02-01,100.765,2023-07-13 16:47:45
2021-01-01,101.155,2023-07-13 16:47:45
2020-12-01,96.825,2023-07-13 16:47:45
2020-11-01,95.913,2023-07-13 16:47:45
2020-10-01,97.652,2023-07-13 16:47:45
2020-09-01,98.987,2023-07-13 16:47:45
2020-08-01,92.244,2023-07-13 16:47:45
2020-07-01,89.22,2023-07-13 16:47:45
2020-06-01,92.009,2023-07-13 16:47:45
2020-05-01,91.938,2023-07-13 16:47:45
2020-04-01,96.745,2023-07-13 16:47:45
2020-03-01,97.564,2023-07-13 16:47:45
2020-02-01,97.423,2023-07-13 16:47:45
2020-01-01,93.943,2023-07-13 16:47:45
2019-12-01,94.203,2023-07-13 16:47:45
2019-11-01,93.981,2023-07-13 16:47:45
2019-10-01,95.866,2023-07-13 16:47:45
2019-09-01,96.695,2023-07-13 16:47:45
2019-08-01,91.576,2023-07-13 16:47:45
2019-07-01,93.289,2023-07-13 16:47:45
2019-06-01,96.239,2023-07-13 16:47:45
2019-05-01,92.578,2023-07-13 16:47:45
2019-04-01,94.585,2023-07-13 16:47:45
2019-03-01,94.439,2023-07-13 16:47:45
2019-02-01,96.147,2023-07-13 16:47:45
2019-01-01,91.797,2023-07-13 16:47:45
2018-12-01,91.676,2023-07-13 16:47:45
2018-11-01,96.047,2023-07-13 16:47:45
2018-10-01,100.905,2023-07-13 16:47:45
2018-09-01,97.8,2023-07-13 16:47:45
2018-08-01,90.263,2023-07-13 16:47:45
2018-07-01,89.702,2023-07-13 16:47:45
2018-06-01,92.444,2023-07-13 16:47:45
2018-05-01,96.987,2023-07-13 16:47:45
2018-04-01,99.543,2023-07-13 16:47:45
2018-03-01,97.22,2023-07-13 16:47:45
2018-02-01,94.332,2023-07-13 16:47:45
2018-01-01,93.287,2023-07-13 16:47:45
2017-12-01,95.807,2023-07-13 16:47:45
2017-11-01,96.743,2023-07-13 16:47:45
2017-10-01,101.461,2023-07-13 16:47:45
2017-09-01,100.177,2023-07-13 16:47:45
2017-08-01,93.868,2023-07-13 16:47:45
2017-07-01,91.489,2023-07-13 16:47:45
2017-06-01,92.992,2023-07-13 16:47:45
2017-05-01,94.386,2023-07-13 16:47:45
2017-04-01,98.055,2023-07-13 16:47:45
2017-03-01,98.342,2023-07-13 16:47:45
2017-02-01,93.666,2023-07-13 16:47:45
2017-01-01,93.049,2023-07-13 16:47:45
2016-12-01,94.693,2023-07-13 16:47:45
2016-11-01,98.244,2023-07-13 16:47:45
2016-10-01,101.59,2023-07-13 16:47:45
2016-09-01,99.63,2023-07-13 16:47:45
2016-08-01,91.522,2023-07-13 16:47:45
2016-07-01,86.675,2023-07-13 16:47:45
2016-06-01,93.421,2023-07-13 16:47:45
2016-05-01,95.453,2023-07-13 16:47:45
2016-04-01,96.077,2023-07-13 16:47:45
2016-03-01,98.366,2023-07-13 16:47:45
2016-02-01,96.554,2023-07-13 16:47:45
2016-01-01,94.371,2023-07-13 16:47:45
2015-12-01,94.264,2023-07-13 16:47:45
2015-11-01,96.682,2023-07-13 16:47:45
2015-10-01,98.573,2023-07-13 16:47:45
2015-09-01,97.722,2023-07-13 16:47:45
2015-08-01,94.171,2023-07-13 16:47:45
2015-07-01,90.979,2023-07-13 16:47:45
2015-06-01,92.421,2023-07-13 16:47:45
2015-05-01,95.722,2023-07-13 16:47:45
2015-04-01,98.993,2023-07-13 16:47:45
2015-03-01,98.45,2023-07-13 16:47:45
2015-02-01,97.8,2023-07-13 16:47:45
2015-01-01,96.576,2023-07-13 16:47:45
