date,value,created_at
2024-01-01,78.434,2024-02-14 23:00:20
2023-12-01,78.729,2024-01-17 23:00:23
2023-11-01,78.683,2023-12-13 23:00:20
2023-10-01,78.457,2023-11-16 13:36:11
2023-09-01,77.507,2023-10-22 23:00:13
2023-08-01,78.84,2023-09-13 23:00:14
2023-07-01,73.841,2023-08-10 23:00:18
2023-06-01,74.655,2023-07-13 16:47:46
2023-05-01,74.884,2023-07-13 16:47:46
2023-04-01,74.475,2023-07-13 16:47:46
2023-03-01,75.93,2023-07-13 16:47:46
2023-02-01,76.322,2023-07-13 16:47:46
2023-01-01,78.918,2023-07-13 16:47:46
2022-12-01,74.574,2023-07-13 16:47:46
2022-11-01,73.363,2023-07-13 16:47:46
2022-10-01,74.417,2023-07-13 16:47:46
2022-09-01,75.289,2023-07-13 16:47:46
2022-08-01,77.973,2023-07-13 16:47:46
2022-07-01,75.172,2023-07-13 16:47:46
2022-06-01,72.285,2023-07-13 16:47:46
2022-05-01,75.223,2023-07-13 16:47:46
2022-04-01,76.746,2023-07-13 16:47:46
2022-03-01,73.304,2023-07-13 16:47:46
2022-02-01,69.563,2023-07-13 16:47:46
2022-01-01,73.596,2023-07-13 16:47:46
2021-12-01,72.261,2023-07-13 16:47:46
2021-11-01,71.678,2023-07-13 16:47:46
2021-10-01,71.747,2023-07-13 16:47:46
2021-09-01,70.482,2023-07-13 16:47:46
2021-08-01,72.954,2023-07-13 16:47:46
2021-07-01,62.236,2023-07-13 16:47:46
2021-06-01,62.372,2023-07-13 16:47:46
2021-05-01,63.258,2023-07-13 16:47:46
2021-04-01,61.62,2023-07-13 16:47:46
2021-03-01,61.922,2023-07-13 16:47:46
2021-02-01,62.571,2023-07-13 16:47:46
2021-01-01,63.32,2023-07-13 16:47:46
2020-12-01,63.979,2023-07-13 16:47:46
2020-11-01,64.727,2023-07-13 16:47:46
2020-10-01,66.408,2023-07-13 16:47:46
2020-09-01,66.168,2023-07-13 16:47:46
2020-08-01,66.801,2023-07-13 16:47:46
2020-07-01,64.612,2023-07-13 16:47:46
2020-06-01,65.834,2023-07-13 16:47:46
2020-05-01,66.322,2023-07-13 16:47:46
2020-04-01,67.984,2023-07-13 16:47:46
2020-03-01,67.422,2023-07-13 16:47:46
2020-02-01,66.482,2023-07-13 16:47:46
2020-01-01,65.554,2023-07-13 16:47:46
2019-12-01,64.161,2023-07-13 16:47:46
2019-11-01,60.762,2023-07-13 16:47:46
2019-10-01,60.525,2023-07-13 16:47:46
2019-09-01,63.276,2023-07-13 16:47:46
2019-08-01,62.813,2023-07-13 16:47:46
2019-07-01,61.605,2023-07-13 16:47:46
2019-06-01,60.287,2023-07-13 16:47:46
2019-05-01,59.697,2023-07-13 16:47:46
2019-04-01,61.761,2023-07-13 16:47:46
2019-03-01,62.941,2023-07-13 16:47:46
2019-02-01,63.763,2023-07-13 16:47:46
2019-01-01,62.984,2023-07-13 16:47:46
2018-12-01,61.021,2023-07-13 16:47:46
2018-11-01,62.341,2023-07-13 16:47:46
2018-10-01,63.212,2023-07-13 16:47:46
2018-09-01,62.154,2023-07-13 16:47:46
2018-08-01,62.393,2023-07-13 16:47:46
2018-07-01,63.901,2023-07-13 16:47:46
2018-06-01,64.21,2023-07-13 16:47:46
2018-05-01,65.56,2023-07-13 16:47:46
2018-04-01,66.175,2023-07-13 16:47:46
2018-03-01,65.304,2023-07-13 16:47:46
2018-02-01,67.491,2023-07-13 16:47:46
2018-01-01,66.063,2023-07-13 16:47:46
2017-12-01,64.791,2023-07-13 16:47:46
2017-11-01,64.66,2023-07-13 16:47:46
2017-10-01,66.476,2023-07-13 16:47:46
2017-09-01,66.102,2023-07-13 16:47:46
2017-08-01,65.34,2023-07-13 16:47:46
2017-07-01,65.994,2023-07-13 16:47:46
2017-06-01,66.391,2023-07-13 16:47:46
2017-05-01,66.572,2023-07-13 16:47:46
2017-04-01,68.671,2023-07-13 16:47:46
2017-03-01,69.093,2023-07-13 16:47:46
2017-02-01,69.255,2023-07-13 16:47:46
2017-01-01,70.072,2023-07-13 16:47:46
2016-12-01,69.866,2023-07-13 16:47:46
2016-11-01,69.298,2023-07-13 16:47:46
2016-10-01,70.303,2023-07-13 16:47:46
2016-09-01,67.394,2023-07-13 16:47:46
2016-08-01,67.974,2023-07-13 16:47:46
2016-07-01,68.554,2023-07-13 16:47:46
2016-06-01,68.498,2023-07-13 16:47:46
2016-05-01,69.413,2023-07-13 16:47:46
2016-04-01,68.869,2023-07-13 16:47:46
2016-03-01,69.344,2023-07-13 16:47:46
2016-02-01,69.113,2023-07-13 16:47:46
2016-01-01,71.266,2023-07-13 16:47:46
2015-12-01,69.291,2023-07-13 16:47:46
2015-11-01,66.982,2023-07-13 16:47:46
2015-10-01,66.36,2023-07-13 16:47:46
2015-09-01,66.867,2023-07-13 16:47:46
2015-08-01,66.72,2023-07-13 16:47:46
2015-07-01,67.645,2023-07-13 16:47:46
2015-06-01,67.971,2023-07-13 16:47:46
2015-05-01,68.954,2023-07-13 16:47:46
2015-04-01,70.522,2023-07-13 16:47:46
2015-03-01,68.808,2023-07-13 16:47:46
2015-02-01,70.77,2023-07-13 16:47:46
2015-01-01,70.957,2023-07-13 16:47:46
2014-12-01,72.199,2023-07-13 16:47:46
2014-11-01,74.646,2023-07-13 16:47:46
2014-10-01,72.205,2023-07-13 16:47:46
2014-09-01,72.309,2023-07-13 16:47:46
2014-08-01,72.209,2023-07-13 16:47:46
2014-07-01,72.787,2023-07-13 16:47:46
2014-06-01,73.976,2023-07-13 16:47:46
2014-05-01,73.803,2023-07-13 16:47:46
2014-04-01,73.301,2023-07-13 16:47:46
2014-03-01,73.566,2023-07-13 16:47:46
2014-02-01,74.528,2023-07-13 16:47:46
2014-01-01,74.224,2023-07-13 16:47:46
2013-12-01,73.934,2023-07-13 16:47:46
2013-11-01,73.803,2023-07-13 16:47:46
2013-10-01,74.339,2023-07-13 16:47:46
2013-09-01,74.716,2023-07-13 16:47:46
2013-08-01,74.131,2023-07-13 16:47:46
2013-07-01,73.978,2023-07-13 16:47:46
2013-06-01,73.851,2023-07-13 16:47:46
2013-05-01,74.327,2023-07-13 16:47:46
2013-04-01,75.481,2023-07-13 16:47:46
2013-03-01,75.558,2023-07-13 16:47:46
2013-02-01,75.47,2023-07-13 16:47:46
2013-01-01,74.442,2023-07-13 16:47:46
2012-12-01,74.77,2023-07-13 16:47:46
2012-11-01,75.021,2023-07-13 16:47:46
2012-10-01,74.519,2023-07-13 16:47:46
2012-09-01,74.815,2023-07-13 16:47:46
2012-08-01,74.107,2023-07-13 16:47:46
2012-07-01,74.419,2023-07-13 16:47:46
2012-06-01,74.045,2023-07-13 16:47:46
2012-05-01,74.218,2023-07-13 16:47:46
2012-04-01,74.209,2023-07-13 16:47:46
2012-03-01,73.794,2023-07-13 16:47:46
2012-02-01,74.454,2023-07-13 16:47:46
2012-01-01,74.075,2023-07-13 16:47:46
2011-12-01,73.982,2023-07-13 16:47:46
2011-11-01,73.982,2023-07-13 16:47:46
2011-10-01,73.794,2023-07-13 16:47:46
2011-09-01,73.615,2023-07-13 16:47:46
2011-08-01,74.028,2023-07-13 16:47:46
2011-07-01,73.573,2023-07-13 16:47:46
2011-06-01,73.896,2023-07-13 16:47:46
2011-05-01,74.18,2023-07-13 16:47:46
2011-04-01,74.129,2023-07-13 16:47:46
2011-03-01,74.275,2023-07-13 16:47:46
2011-02-01,75.923,2023-07-13 16:47:46
2011-01-01,75.924,2023-07-13 16:47:46
2010-12-01,73.405,2023-07-13 16:47:46
2010-11-01,72.463,2023-07-13 16:47:46
2010-10-01,72.785,2023-07-13 16:47:46
2010-09-01,73.345,2023-07-13 16:47:46
2010-08-01,75.572,2023-07-13 16:47:46
2010-07-01,76.607,2023-07-13 16:47:46
2010-06-01,76.498,2023-07-13 16:47:46
2010-05-01,76.933,2023-07-13 16:47:46
2010-04-01,77.912,2023-07-13 16:47:46
2010-03-01,78.237,2023-07-13 16:47:46
2010-02-01,76.998,2023-07-13 16:47:46
2010-01-01,78.599,2023-07-13 16:47:46
2009-12-01,79.977,2023-07-13 16:47:46
2009-11-01,79.917,2023-07-13 16:47:46
2009-10-01,79.722,2023-07-13 16:47:46
2009-09-01,79.76,2023-07-13 16:47:46
2009-08-01,80.074,2023-07-13 16:47:46
2009-07-01,80.371,2023-07-13 16:47:46
2009-06-01,80.988,2023-07-13 16:47:46
2009-05-01,82.756,2023-07-13 16:47:46
2009-04-01,84.18,2023-07-13 16:47:46
2009-03-01,85.264,2023-07-13 16:47:46
2009-02-01,86.837,2023-07-13 16:47:46
2009-01-01,86.581,2023-07-13 16:47:46
