date,value,created_at
2024-01-01,234.64,2024-02-14 23:00:20
2023-12-01,233.628,2024-01-17 23:00:24
2023-11-01,233.691,2023-12-13 23:00:21
2023-10-01,234.951,2023-11-16 13:36:11
2023-09-01,234.314,2023-10-22 23:00:14
2023-08-01,233.425,2023-09-13 23:00:14
2023-07-01,234.643,2023-08-10 23:00:18
2023-06-01,234.574,2023-07-13 16:47:46
2023-05-01,234.244,2023-07-13 16:47:46
2023-04-01,234.581,2023-07-13 16:47:46
2023-03-01,232.82,2023-07-13 16:47:46
2023-02-01,231.626,2023-07-13 16:47:46
2023-01-01,230.435,2023-07-13 16:47:46
2022-12-01,227.358,2023-07-13 16:47:46
2022-11-01,226.671,2023-07-13 16:47:46
2022-10-01,225.236,2023-07-13 16:47:46
2022-09-01,223.694,2023-07-13 16:47:46
2022-08-01,222.394,2023-07-13 16:47:46
2022-07-01,221.479,2023-07-13 16:47:46
2022-06-01,218.647,2023-07-13 16:47:46
2022-05-01,215.957,2023-07-13 16:47:46
2022-04-01,213.732,2023-07-13 16:47:46
2022-03-01,211.063,2023-07-13 16:47:46
2022-02-01,209.758,2023-07-13 16:47:46
2022-01-01,206.962,2023-07-13 16:47:46
2021-12-01,203.693,2023-07-13 16:47:46
2021-11-01,201.718,2023-07-13 16:47:46
2021-10-01,201.313,2023-07-13 16:47:46
2021-09-01,199.9,2023-07-13 16:47:46
2021-08-01,199.041,2023-07-13 16:47:46
2021-07-01,199.611,2023-07-13 16:47:46
2021-06-01,197.461,2023-07-13 16:47:46
2021-05-01,197.781,2023-07-13 16:47:46
2021-04-01,197.266,2023-07-13 16:47:46
2021-03-01,195.666,2023-07-13 16:47:46
2021-02-01,197.246,2023-07-13 16:47:46
2021-01-01,199.947,2023-07-13 16:47:46
2020-12-01,199.451,2023-07-13 16:47:46
2020-11-01,200.348,2023-07-13 16:47:46
2020-10-01,198.021,2023-07-13 16:47:46
2020-09-01,196.956,2023-07-13 16:47:46
2020-08-01,199.34,2023-07-13 16:47:46
2020-07-01,200.321,2023-07-13 16:47:46
2020-06-01,196.827,2023-07-13 16:47:46
2020-05-01,196.757,2023-07-13 16:47:46
2020-04-01,195.194,2023-07-13 16:47:46
2020-03-01,190.279,2023-07-13 16:47:46
2020-02-01,189.614,2023-07-13 16:47:46
2020-01-01,189.899,2023-07-13 16:47:46
2019-12-01,190.155,2023-07-13 16:47:46
2019-11-01,190.082,2023-07-13 16:47:46
2019-10-01,189.53,2023-07-13 16:47:46
2019-09-01,189.269,2023-07-13 16:47:46
2019-08-01,189.178,2023-07-13 16:47:46
2019-07-01,190.412,2023-07-13 16:47:46
2019-06-01,190.603,2023-07-13 16:47:46
2019-05-01,190.238,2023-07-13 16:47:46
2019-04-01,190.376,2023-07-13 16:47:46
2019-03-01,190.492,2023-07-13 16:47:46
2019-02-01,189.213,2023-07-13 16:47:46
2019-01-01,189.417,2023-07-13 16:47:46
2018-12-01,189.318,2023-07-13 16:47:46
2018-11-01,188.132,2023-07-13 16:47:46
2018-10-01,187.17,2023-07-13 16:47:46
2018-09-01,186.72,2023-07-13 16:47:46
2018-08-01,187.126,2023-07-13 16:47:46
2018-07-01,187.02,2023-07-13 16:47:46
2018-06-01,185.988,2023-07-13 16:47:46
2018-05-01,185.354,2023-07-13 16:47:46
2018-04-01,186.245,2023-07-13 16:47:46
2018-03-01,185.164,2023-07-13 16:47:46
2018-02-01,184.438,2023-07-13 16:47:46
2018-01-01,184.707,2023-07-13 16:47:46
2017-12-01,183.598,2023-07-13 16:47:46
2017-11-01,182.199,2023-07-13 16:47:46
2017-10-01,184.717,2023-07-13 16:47:46
2017-09-01,184.308,2023-07-13 16:47:46
2017-08-01,184.663,2023-07-13 16:47:46
2017-07-01,185.2,2023-07-13 16:47:46
2017-06-01,185.731,2023-07-13 16:47:46
2017-05-01,185.862,2023-07-13 16:47:46
2017-04-01,186.287,2023-07-13 16:47:46
2017-03-01,185.353,2023-07-13 16:47:46
2017-02-01,185.235,2023-07-13 16:47:46
2017-01-01,185.203,2023-07-13 16:47:46
2016-12-01,185.473,2023-07-13 16:47:46
2016-11-01,185.185,2023-07-13 16:47:46
2016-10-01,185.944,2023-07-13 16:47:46
2016-09-01,186.212,2023-07-13 16:47:46
2016-08-01,185.938,2023-07-13 16:47:46
2016-07-01,186.171,2023-07-13 16:47:46
2016-06-01,186.643,2023-07-13 16:47:46
2016-05-01,186.419,2023-07-13 16:47:46
2016-04-01,186.532,2023-07-13 16:47:46
2016-03-01,187.391,2023-07-13 16:47:46
2016-02-01,187.151,2023-07-13 16:47:46
2016-01-01,186.361,2023-07-13 16:47:46
2015-12-01,186.76,2023-07-13 16:47:46
2015-11-01,186.573,2023-07-13 16:47:46
2015-10-01,186.046,2023-07-13 16:47:46
2015-09-01,186.285,2023-07-13 16:47:46
2015-08-01,186.305,2023-07-13 16:47:46
2015-07-01,186.704,2023-07-13 16:47:46
2015-06-01,186.758,2023-07-13 16:47:46
2015-05-01,187.551,2023-07-13 16:47:46
2015-04-01,187.783,2023-07-13 16:47:46
2015-03-01,187.802,2023-07-13 16:47:46
2015-02-01,186.827,2023-07-13 16:47:46
2015-01-01,185.978,2023-07-13 16:47:46
2014-12-01,186.667,2023-07-13 16:47:46
2014-11-01,186.94,2023-07-13 16:47:46
2014-10-01,187.449,2023-07-13 16:47:46
2014-09-01,186.34,2023-07-13 16:47:46
2014-08-01,186.617,2023-07-13 16:47:46
2014-07-01,187.18,2023-07-13 16:47:46
2014-06-01,188.07,2023-07-13 16:47:46
2014-05-01,188.177,2023-07-13 16:47:46
2014-04-01,188.309,2023-07-13 16:47:46
2014-03-01,188.609,2023-07-13 16:47:46
2014-02-01,188.328,2023-07-13 16:47:46
2014-01-01,188.108,2023-07-13 16:47:46
2013-12-01,188.169,2023-07-13 16:47:46
2013-11-01,188.056,2023-07-13 16:47:46
2013-10-01,188.777,2023-07-13 16:47:46
2013-09-01,188.136,2023-07-13 16:47:46
2013-08-01,188.519,2023-07-13 16:47:46
2013-07-01,188.972,2023-07-13 16:47:46
2013-06-01,190.185,2023-07-13 16:47:46
2013-05-01,189.913,2023-07-13 16:47:46
2013-04-01,189.53,2023-07-13 16:47:46
2013-03-01,189.926,2023-07-13 16:47:46
2013-02-01,190.007,2023-07-13 16:47:46
2013-01-01,189.474,2023-07-13 16:47:46
2012-12-01,190.079,2023-07-13 16:47:46
2012-11-01,190.171,2023-07-13 16:47:46
2012-10-01,189.854,2023-07-13 16:47:46
2012-09-01,189.859,2023-07-13 16:47:46
2012-08-01,189.543,2023-07-13 16:47:46
2012-07-01,189.534,2023-07-13 16:47:46
2012-06-01,189.782,2023-07-13 16:47:46
2012-05-01,188.903,2023-07-13 16:47:46
2012-04-01,189.67,2023-07-13 16:47:46
2012-03-01,190.23,2023-07-13 16:47:46
2012-02-01,190.532,2023-07-13 16:47:46
2012-01-01,189.522,2023-07-13 16:47:46
2011-12-01,189.372,2023-07-13 16:47:46
2011-11-01,189.104,2023-07-13 16:47:46
2011-10-01,188.785,2023-07-13 16:47:46
2011-09-01,187.529,2023-07-13 16:47:46
2011-08-01,185.794,2023-07-13 16:47:46
2011-07-01,184.617,2023-07-13 16:47:46
2011-06-01,183.392,2023-07-13 16:47:46
2011-05-01,183.211,2023-07-13 16:47:46
2011-04-01,182.939,2023-07-13 16:47:46
2011-03-01,183.514,2023-07-13 16:47:46
2011-02-01,183.436,2023-07-13 16:47:46
2011-01-01,183.642,2023-07-13 16:47:46
2010-12-01,183.51,2023-07-13 16:47:46
2010-11-01,184.054,2023-07-13 16:47:46
2010-10-01,184.043,2023-07-13 16:47:46
2010-09-01,183.512,2023-07-13 16:47:46
2010-08-01,183.996,2023-07-13 16:47:46
2010-07-01,183.307,2023-07-13 16:47:46
2010-06-01,182.626,2023-07-13 16:47:46
2010-05-01,181.926,2023-07-13 16:47:46
2010-04-01,181.997,2023-07-13 16:47:46
2010-03-01,183.463,2023-07-13 16:47:46
2010-02-01,183.825,2023-07-13 16:47:46
2010-01-01,183.301,2023-07-13 16:47:46
2009-12-01,183.109,2023-07-13 16:47:46
2009-11-01,183.329,2023-07-13 16:47:46
2009-10-01,182.459,2023-07-13 16:47:46
2009-09-01,183.002,2023-07-13 16:47:46
2009-08-01,183.264,2023-07-13 16:47:46
2009-07-01,183.062,2023-07-13 16:47:46
2009-06-01,183.411,2023-07-13 16:47:46
2009-05-01,183.277,2023-07-13 16:47:46
2009-04-01,183.236,2023-07-13 16:47:46
