date,value,created_at
2024-01-01,92.18,2024-02-14 23:00:20
2023-12-01,89.276,2024-01-17 23:00:24
2023-11-01,87.513,2023-12-13 23:00:21
2023-10-01,89.799,2023-11-16 13:36:12
2023-09-01,92.378,2023-10-22 23:00:14
2023-08-01,93.408,2023-09-13 23:00:14
2023-07-01,93.416,2023-08-10 23:00:18
2023-06-01,94.327,2023-07-13 16:47:46
2023-05-01,95.136,2023-07-13 16:47:46
2023-04-01,96.946,2023-07-13 16:47:46
2023-03-01,99.032,2023-07-13 16:47:46
2023-02-01,98.445,2023-07-13 16:47:46
2023-01-01,99.418,2023-07-13 16:47:46
2022-12-01,99.535,2023-07-13 16:47:46
2022-11-01,97.923,2023-07-13 16:47:46
2022-10-01,99.32,2023-07-13 16:47:46
2022-09-01,100.117,2023-07-13 16:47:46
2022-08-01,101.918,2023-07-13 16:47:46
2022-07-01,103.7,2023-07-13 16:47:46
2022-06-01,105.63,2023-07-13 16:47:46
2022-05-01,105.656,2023-07-13 16:47:46
2022-04-01,108.206,2023-07-13 16:47:46
2022-03-01,107.55,2023-07-13 16:47:46
2022-02-01,104.657,2023-07-13 16:47:46
2022-01-01,103.428,2023-07-13 16:47:46
2021-12-01,100.175,2023-07-13 16:47:46
2021-11-01,98.879,2023-07-13 16:47:46
2021-10-01,99.205,2023-07-13 16:47:46
2021-09-01,100.129,2023-07-13 16:47:46
2021-08-01,99.745,2023-07-13 16:47:46
2021-07-01,99.137,2023-07-13 16:47:46
2021-06-01,98.296,2023-07-13 16:47:46
2021-05-01,96.51,2023-07-13 16:47:46
2021-04-01,96.533,2023-07-13 16:47:46
2021-03-01,95.704,2023-07-13 16:47:46
2021-02-01,94.223,2023-07-13 16:47:46
2021-01-01,94.121,2023-07-13 16:47:46
2020-12-01,92.412,2023-07-13 16:47:46
2020-11-01,93.69,2023-07-13 16:47:46
2020-10-01,93.575,2023-07-13 16:47:46
2020-09-01,91.372,2023-07-13 16:47:46
2020-08-01,92.72,2023-07-13 16:47:46
2020-07-01,88.289,2023-07-13 16:47:46
2020-06-01,86.416,2023-07-13 16:47:46
2020-05-01,85.933,2023-07-13 16:47:46
2020-04-01,85.931,2023-07-13 16:47:46
2020-03-01,83.592,2023-07-13 16:47:46
2020-02-01,83.441,2023-07-13 16:47:46
2020-01-01,81.309,2023-07-13 16:47:46
2019-12-01,79.224,2023-07-13 16:47:46
2019-11-01,79.914,2023-07-13 16:47:46
2019-10-01,82.32,2023-07-13 16:47:46
2019-09-01,84.541,2023-07-13 16:47:46
2019-08-01,83.502,2023-07-13 16:47:46
2019-07-01,83.932,2023-07-13 16:47:46
2019-06-01,85.377,2023-07-13 16:47:46
2019-05-01,86.593,2023-07-13 16:47:46
2019-04-01,86.749,2023-07-13 16:47:46
2019-03-01,85.227,2023-07-13 16:47:46
2019-02-01,86.279,2023-07-13 16:47:46
2019-01-01,88.056,2023-07-13 16:47:46
2018-12-01,85.178,2023-07-13 16:47:46
2018-11-01,83.082,2023-07-13 16:47:46
2018-10-01,85.095,2023-07-13 16:47:46
2018-09-01,84.6,2023-07-13 16:47:46
2018-08-01,84.272,2023-07-13 16:47:46
2018-07-01,84.565,2023-07-13 16:47:46
2018-06-01,82.938,2023-07-13 16:47:46
2018-05-01,83.246,2023-07-13 16:47:46
2018-04-01,82.131,2023-07-13 16:47:46
2018-03-01,78.336,2023-07-13 16:47:46
2018-02-01,77.711,2023-07-13 16:47:46
2018-01-01,80.297,2023-07-13 16:47:46
2017-12-01,78.044,2023-07-13 16:47:46
2017-11-01,75.432,2023-07-13 16:47:46
2017-10-01,78.755,2023-07-13 16:47:46
2017-09-01,78.555,2023-07-13 16:47:46
2017-08-01,78.361,2023-07-13 16:47:46
2017-07-01,77.95,2023-07-13 16:47:46
2017-06-01,78.526,2023-07-13 16:47:46
2017-05-01,80.344,2023-07-13 16:47:46
2017-04-01,80.839,2023-07-13 16:47:46
2017-03-01,81.231,2023-07-13 16:47:46
2017-02-01,81.137,2023-07-13 16:47:46
2017-01-01,82.312,2023-07-13 16:47:46
2016-12-01,80.104,2023-07-13 16:47:46
2016-11-01,78.33,2023-07-13 16:47:46
2016-10-01,81.651,2023-07-13 16:47:46
2016-09-01,82.121,2023-07-13 16:47:46
2016-08-01,81.542,2023-07-13 16:47:46
