date,value,created_at
2024-01-01,322.344,2024-02-14 23:00:20
2023-12-01,323.19,2024-01-17 23:00:24
2023-11-01,324.839,2023-12-13 23:00:21
2023-10-01,328.213,2023-11-16 13:36:12
2023-09-01,325.646,2023-10-22 23:00:14
2023-08-01,324.535,2023-09-13 23:00:14
2023-07-01,322.36,2023-08-10 23:00:19
2023-06-01,319.818,2023-07-13 16:47:46
2023-05-01,318.511,2023-07-13 16:47:46
2023-04-01,317.942,2023-07-13 16:47:46
2023-03-01,316.772,2023-07-13 16:47:46
2023-02-01,317.108,2023-07-13 16:47:46
2023-01-01,315.855,2023-07-13 16:47:46
2022-12-01,316.051,2023-07-13 16:47:46
2022-11-01,317.922,2023-07-13 16:47:46
2022-10-01,320.499,2023-07-13 16:47:46
2022-09-01,320.97,2023-07-13 16:47:46
2022-08-01,319.433,2023-07-13 16:47:46
2022-07-01,319.337,2023-07-13 16:47:46
2022-06-01,318.131,2023-07-13 16:47:46
2022-05-01,316.924,2023-07-13 16:47:46
2022-04-01,313.133,2023-07-13 16:47:46
2022-03-01,309.463,2023-07-13 16:47:46
2022-02-01,305.641,2023-07-13 16:47:46
2022-01-01,303.03,2023-07-13 16:47:46
2021-12-01,302.497,2023-07-13 16:47:46
2021-11-01,304.876,2023-07-13 16:47:46
2021-10-01,302.558,2023-07-13 16:47:46
2021-09-01,298.154,2023-07-13 16:47:46
2021-08-01,293.5,2023-07-13 16:47:46
2021-07-01,292.29,2023-07-13 16:47:46
2021-06-01,288.082,2023-07-13 16:47:46
2021-05-01,280.239,2023-07-13 16:47:46
2021-04-01,275.147,2023-07-13 16:47:46
2021-03-01,271.932,2023-07-13 16:47:46
2021-02-01,270.278,2023-07-13 16:47:46
2021-01-01,270.152,2023-07-13 16:47:46
2020-12-01,268.621,2023-07-13 16:47:46
2020-11-01,269.635,2023-07-13 16:47:46
2020-10-01,270.384,2023-07-13 16:47:46
2020-09-01,270.158,2023-07-13 16:47:46
2020-08-01,271.991,2023-07-13 16:47:46
2020-07-01,275.995,2023-07-13 16:47:46
2020-06-01,286.245,2023-07-13 16:47:46
2020-05-01,279.226,2023-07-13 16:47:46
2020-04-01,267.876,2023-07-13 16:47:46
2020-03-01,257.912,2023-07-13 16:47:46
2020-02-01,256.753,2023-07-13 16:47:46
2020-01-01,256.269,2023-07-13 16:47:46
2019-12-01,255.899,2023-07-13 16:47:46
2019-11-01,254.268,2023-07-13 16:47:46
2019-10-01,254.491,2023-07-13 16:47:46
2019-09-01,253.266,2023-07-13 16:47:46
2019-08-01,253.813,2023-07-13 16:47:46
2019-07-01,254.331,2023-07-13 16:47:46
2019-06-01,253.541,2023-07-13 16:47:46
2019-05-01,254.226,2023-07-13 16:47:46
2019-04-01,252.276,2023-07-13 16:47:46
2019-03-01,251.596,2023-07-13 16:47:46
2019-02-01,250.962,2023-07-13 16:47:46
2019-01-01,250.461,2023-07-13 16:47:46
2018-12-01,249.466,2023-07-13 16:47:46
2018-11-01,250.341,2023-07-13 16:47:46
2018-10-01,250.348,2023-07-13 16:47:46
2018-09-01,251.086,2023-07-13 16:47:46
2018-08-01,252.887,2023-07-13 16:47:46
2018-07-01,252.117,2023-07-13 16:47:46
2018-06-01,250.967,2023-07-13 16:47:46
2018-05-01,250.679,2023-07-13 16:47:46
2018-04-01,252.304,2023-07-13 16:47:46
2018-03-01,250.757,2023-07-13 16:47:46
2018-02-01,248.385,2023-07-13 16:47:46
2018-01-01,248.991,2023-07-13 16:47:46
2017-12-01,250.292,2023-07-13 16:47:46
2017-11-01,249.922,2023-07-13 16:47:46
2017-10-01,251.294,2023-07-13 16:47:46
2017-09-01,251.234,2023-07-13 16:47:46
2017-08-01,252.043,2023-07-13 16:47:46
2017-07-01,252.038,2023-07-13 16:47:46
2017-06-01,249.912,2023-07-13 16:47:46
2017-05-01,247.669,2023-07-13 16:47:46
2017-04-01,246.466,2023-07-13 16:47:46
2017-03-01,247.554,2023-07-13 16:47:46
2017-02-01,245.648,2023-07-13 16:47:46
2017-01-01,244.345,2023-07-13 16:47:46
2016-12-01,244.706,2023-07-13 16:47:46
2016-11-01,246.755,2023-07-13 16:47:46
2016-10-01,248.144,2023-07-13 16:47:46
2016-09-01,249.856,2023-07-13 16:47:46
2016-08-01,249.949,2023-07-13 16:47:46
2016-07-01,249.6,2023-07-13 16:47:46
2016-06-01,250.769,2023-07-13 16:47:46
2016-05-01,250.808,2023-07-13 16:47:46
2016-04-01,251.738,2023-07-13 16:47:46
2016-03-01,250.42,2023-07-13 16:47:46
2016-02-01,249.726,2023-07-13 16:47:46
2016-01-01,250.298,2023-07-13 16:47:46
2015-12-01,251.817,2023-07-13 16:47:46
2015-11-01,255.911,2023-07-13 16:47:46
2015-10-01,258.032,2023-07-13 16:47:46
2015-09-01,258.629,2023-07-13 16:47:46
2015-08-01,259.207,2023-07-13 16:47:46
2015-07-01,259.032,2023-07-13 16:47:46
2015-06-01,259.087,2023-07-13 16:47:46
2015-05-01,257.799,2023-07-13 16:47:46
2015-04-01,259.566,2023-07-13 16:47:46
2015-03-01,260.276,2023-07-13 16:47:46
2015-02-01,260.965,2023-07-13 16:47:46
2015-01-01,261.261,2023-07-13 16:47:46
2014-12-01,260.725,2023-07-13 16:47:46
2014-11-01,261.406,2023-07-13 16:47:46
2014-10-01,261.212,2023-07-13 16:47:46
2014-09-01,262.144,2023-07-13 16:47:46
2014-08-01,259.617,2023-07-13 16:47:46
2014-07-01,254.778,2023-07-13 16:47:46
2014-06-01,253.827,2023-07-13 16:47:46
2014-05-01,252.667,2023-07-13 16:47:46
2014-04-01,249.565,2023-07-13 16:47:46
2014-03-01,245.377,2023-07-13 16:47:46
2014-02-01,242.609,2023-07-13 16:47:46
2014-01-01,240.339,2023-07-13 16:47:46
2013-12-01,239.028,2023-07-13 16:47:46
2013-11-01,239.151,2023-07-13 16:47:46
2013-10-01,240.748,2023-07-13 16:47:46
2013-09-01,239.345,2023-07-13 16:47:46
2013-08-01,238.598,2023-07-13 16:47:46
2013-07-01,236.9,2023-07-13 16:47:46
2013-06-01,236.222,2023-07-13 16:47:46
2013-05-01,234.717,2023-07-13 16:47:46
2013-04-01,234.929,2023-07-13 16:47:46
2013-03-01,233.985,2023-07-13 16:47:46
2013-02-01,233.457,2023-07-13 16:47:46
2013-01-01,232.996,2023-07-13 16:47:46
2012-12-01,232.586,2023-07-13 16:47:46
2012-11-01,232.76,2023-07-13 16:47:46
2012-10-01,233.519,2023-07-13 16:47:46
