date,value,created_at
2024-01-01,605.257,2024-02-14 23:00:20
2023-12-01,599.464,2024-01-17 23:00:25
2023-11-01,597.016,2023-12-13 23:00:21
2023-10-01,594.974,2023-11-16 13:36:12
2023-09-01,593.777,2023-10-22 23:00:14
2023-08-01,592.913,2023-09-13 23:00:14
2023-07-01,591.832,2023-08-10 23:00:19
2023-06-01,593.503,2023-07-13 16:47:46
2023-05-01,593.738,2023-07-13 16:47:46
2023-04-01,594.346,2023-07-13 16:47:46
2023-03-01,595.745,2023-07-13 16:47:46
2023-02-01,598.778,2023-07-13 16:47:46
2023-01-01,601.551,2023-07-13 16:47:46
2022-12-01,602.395,2023-07-13 16:47:46
2022-11-01,602.333,2023-07-13 16:47:46
2022-10-01,606.839,2023-07-13 16:47:46
2022-09-01,609.852,2023-07-13 16:47:46
2022-08-01,605.883,2023-07-13 16:47:46
2022-07-01,601.056,2023-07-13 16:47:46
2022-06-01,598.035,2023-07-13 16:47:46
2022-05-01,594.243,2023-07-13 16:47:46
2022-04-01,591.94,2023-07-13 16:47:46
2022-03-01,589.652,2023-07-13 16:47:46
2022-02-01,586.177,2023-07-13 16:47:46
2022-01-01,584.111,2023-07-13 16:47:46
2021-12-01,578.555,2023-07-13 16:47:46
2021-11-01,577.076,2023-07-13 16:47:46
2021-10-01,575.493,2023-07-13 16:47:46
2021-09-01,572.559,2023-07-13 16:47:46
2021-08-01,573.5,2023-07-13 16:47:46
2021-07-01,571.934,2023-07-13 16:47:46
2021-06-01,570.509,2023-07-13 16:47:46
2021-05-01,571.255,2023-07-13 16:47:46
2021-04-01,572.108,2023-07-13 16:47:46
2021-03-01,573.009,2023-07-13 16:47:46
2021-02-01,572.378,2023-07-13 16:47:46
2021-01-01,568.778,2023-07-13 16:47:46
2020-12-01,564.201,2023-07-13 16:47:46
2020-11-01,565.345,2023-07-13 16:47:46
2020-10-01,565.999,2023-07-13 16:47:46
2020-09-01,567.525,2023-07-13 16:47:46
2020-08-01,567.771,2023-07-13 16:47:46
2020-07-01,567.299,2023-07-13 16:47:46
2020-06-01,564.754,2023-07-13 16:47:46
2020-05-01,562.701,2023-07-13 16:47:46
2020-04-01,559.994,2023-07-13 16:47:46
2020-03-01,557.889,2023-07-13 16:47:46
2020-02-01,555.597,2023-07-13 16:47:46
2020-01-01,552.721,2023-07-13 16:47:46
2019-12-01,549.077,2023-07-13 16:47:46
2019-11-01,547.735,2023-07-13 16:47:46
2019-10-01,545.652,2023-07-13 16:47:46
2019-09-01,540.813,2023-07-13 16:47:46
