date,value,created_at
2024-01-01,130.819,2024-02-14 23:00:21
2023-12-01,124.649,2024-01-17 23:00:25
2023-11-01,127.236,2023-12-13 23:00:21
2023-10-01,131.794,2023-11-16 13:36:12
2023-09-01,132.274,2023-10-22 23:00:14
2023-08-01,129.998,2023-09-13 23:00:15
2023-07-01,129.014,2023-08-10 23:00:19
2023-06-01,129.937,2023-07-13 16:47:46
2023-05-01,131.262,2023-07-13 16:47:46
2023-04-01,130.604,2023-07-13 16:47:46
2023-03-01,131.25,2023-07-13 16:47:46
2023-02-01,130.744,2023-07-13 16:47:46
2023-01-01,128.391,2023-07-13 16:47:46
2022-12-01,122.494,2023-07-13 16:47:46
2022-11-01,123.947,2023-07-13 16:47:46
2022-10-01,125.535,2023-07-13 16:47:46
2022-09-01,126.288,2023-07-13 16:47:46
2022-08-01,125.582,2023-07-13 16:47:46
2022-07-01,123.329,2023-07-13 16:47:46
2022-06-01,125.047,2023-07-13 16:47:46
2022-05-01,126.066,2023-07-13 16:47:46
2022-04-01,125.928,2023-07-13 16:47:46
2022-03-01,127.74,2023-07-13 16:47:46
2022-02-01,127.924,2023-07-13 16:47:46
2022-01-01,122.869,2023-07-13 16:47:46
2021-12-01,119.059,2023-07-13 16:47:46
2021-11-01,121.205,2023-07-13 16:47:46
2021-10-01,121.596,2023-07-13 16:47:46
2021-09-01,121.53,2023-07-13 16:47:46
2021-08-01,119.797,2023-07-13 16:47:46
2021-07-01,115.653,2023-07-13 16:47:46
2021-06-01,115.05,2023-07-13 16:47:46
2021-05-01,116.911,2023-07-13 16:47:46
2021-04-01,116.578,2023-07-13 16:47:46
2021-03-01,117.403,2023-07-13 16:47:46
2021-02-01,117.781,2023-07-13 16:47:46
2021-01-01,115.305,2023-07-13 16:47:46
2020-12-01,110.482,2023-07-13 16:47:46
2020-11-01,112.646,2023-07-13 16:47:46
2020-10-01,114.356,2023-07-13 16:47:46
2020-09-01,116.361,2023-07-13 16:47:46
2020-08-01,114.669,2023-07-13 16:47:46
2020-07-01,112.189,2023-07-13 16:47:46
2020-06-01,113.349,2023-07-13 16:47:46
2020-05-01,113.17,2023-07-13 16:47:46
2020-04-01,115.466,2023-07-13 16:47:46
2020-03-01,122.359,2023-07-13 16:47:46
2020-02-01,123.976,2023-07-13 16:47:46
2020-01-01,119.589,2023-07-13 16:47:46
2019-12-01,113.414,2023-07-13 16:47:46
2019-11-01,118.951,2023-07-13 16:47:46
2019-10-01,124.179,2023-07-13 16:47:46
