date,value,created_at
2024-01-01,234.515,2024-02-14 23:00:21
2023-12-01,230.862,2024-01-17 23:00:25
2023-11-01,231.976,2023-12-13 23:00:21
2023-10-01,222.955,2023-11-16 13:36:12
2023-09-01,221.045,2023-10-22 23:00:14
2023-08-01,224.539,2023-09-13 23:00:15
2023-07-01,223.29,2023-08-10 23:00:20
2023-06-01,219.272,2023-07-13 16:47:46
2023-05-01,221.484,2023-07-13 16:47:46
2023-04-01,226.062,2023-07-13 16:47:46
2023-03-01,238.182,2023-07-13 16:47:46
2023-02-01,258.976,2023-07-13 16:47:46
2023-01-01,285.407,2023-07-13 16:47:46
2022-12-01,267.683,2023-07-13 16:47:46
2022-11-01,258.872,2023-07-13 16:47:46
2022-10-01,264.774,2023-07-13 16:47:46
2022-09-01,275.894,2023-07-13 16:47:46
2022-08-01,268.866,2023-07-13 16:47:46
2022-07-01,258.666,2023-07-13 16:47:46
2022-06-01,269.278,2023-07-13 16:47:46
2022-05-01,248.854,2023-07-13 16:47:46
2022-04-01,230.916,2023-07-13 16:47:46
2022-03-01,225.679,2023-07-13 16:47:46
2022-02-01,226.491,2023-07-13 16:47:46
2022-01-01,225.181,2023-07-13 16:47:46
2021-12-01,224.366,2023-07-13 16:47:46
2021-11-01,224.225,2023-07-13 16:47:46
2021-10-01,220.668,2023-07-13 16:47:46
2021-09-01,207.29,2023-07-13 16:47:46
2021-08-01,202.14,2023-07-13 16:47:46
2021-07-01,198.207,2023-07-13 16:47:46
2021-06-01,194.563,2023-07-13 16:47:46
2021-05-01,191.083,2023-07-13 16:47:46
2021-04-01,188.129,2023-07-13 16:47:46
2021-03-01,185.624,2023-07-13 16:47:46
2021-02-01,183.006,2023-07-13 16:47:46
2021-01-01,181.709,2023-07-13 16:47:46
2020-12-01,180.767,2023-07-13 16:47:46
2020-11-01,179.226,2023-07-13 16:47:46
2020-10-01,172.255,2023-07-13 16:47:46
2020-09-01,171.873,2023-07-13 16:47:46
2020-08-01,166.916,2023-07-13 16:47:46
2020-07-01,166.536,2023-07-13 16:47:46
2020-06-01,168.267,2023-07-13 16:47:46
2020-05-01,168.316,2023-07-13 16:47:46
2020-04-01,167.751,2023-07-13 16:47:46
2020-03-01,168.994,2023-07-13 16:47:46
2020-02-01,171.469,2023-07-13 16:47:46
2020-01-01,174.272,2023-07-13 16:47:46
2019-12-01,173.652,2023-07-13 16:47:46
2019-11-01,171.629,2023-07-13 16:47:46
2019-10-01,169.138,2023-07-13 16:47:46
2019-09-01,165.562,2023-07-13 16:47:46
2019-08-01,167.803,2023-07-13 16:47:46
2019-07-01,167.074,2023-07-13 16:47:46
2019-06-01,168.628,2023-07-13 16:47:46
2019-05-01,168.826,2023-07-13 16:47:46
2019-04-01,171.004,2023-07-13 16:47:46
2019-03-01,174.089,2023-07-13 16:47:46
2019-02-01,174.95,2023-07-13 16:47:46
2019-01-01,180.106,2023-07-13 16:47:46
2018-12-01,179.999,2023-07-13 16:47:46
2018-11-01,169.821,2023-07-13 16:47:46
2018-10-01,168.77,2023-07-13 16:47:46
2018-09-01,170.1,2023-07-13 16:47:46
2018-08-01,173.867,2023-07-13 16:47:46
2018-07-01,172.062,2023-07-13 16:47:46
2018-06-01,172.167,2023-07-13 16:47:46
2018-05-01,173.42,2023-07-13 16:47:46
2018-04-01,174.318,2023-07-13 16:47:46
2018-03-01,176.567,2023-07-13 16:47:46
2018-02-01,179.557,2023-07-13 16:47:46
2018-01-01,172.658,2023-07-13 16:47:46
2017-12-01,175.909,2023-07-13 16:47:46
2017-11-01,173.504,2023-07-13 16:47:46
2017-10-01,172.373,2023-07-13 16:47:46
2017-09-01,172.111,2023-07-13 16:47:46
2017-08-01,173.646,2023-07-13 16:47:46
2017-07-01,174.301,2023-07-13 16:47:46
2017-06-01,175.807,2023-07-13 16:47:46
2017-05-01,174.901,2023-07-13 16:47:46
2017-04-01,172.597,2023-07-13 16:47:46
2017-03-01,170.755,2023-07-13 16:47:46
2017-02-01,172.967,2023-07-13 16:47:46
2017-01-01,172.319,2023-07-13 16:47:46
2016-12-01,167.935,2023-07-13 16:47:46
2016-11-01,167.469,2023-07-13 16:47:46
2016-10-01,167.049,2023-07-13 16:47:46
2016-09-01,165.881,2023-07-13 16:47:46
2016-08-01,164.715,2023-07-13 16:47:46
2016-07-01,162.129,2023-07-13 16:47:46
2016-06-01,155.914,2023-07-13 16:47:46
2016-05-01,154.994,2023-07-13 16:47:46
2016-04-01,154.13,2023-07-13 16:47:46
2016-03-01,154.822,2023-07-13 16:47:46
2016-02-01,155.981,2023-07-13 16:47:46
2016-01-01,156.513,2023-07-13 16:47:46
2015-12-01,155.746,2023-07-13 16:47:46
2015-11-01,157.75,2023-07-13 16:47:46
2015-10-01,159.422,2023-07-13 16:47:46
2015-09-01,161.189,2023-07-13 16:47:46
2015-08-01,162.885,2023-07-13 16:47:46
2015-07-01,162.733,2023-07-13 16:47:46
2015-06-01,164.205,2023-07-13 16:47:46
