date,value,created_at
2024-01-01,201.526,2024-02-14 23:00:21
2023-12-01,190.093,2024-01-17 23:00:25
2023-11-01,186.85,2023-12-13 23:00:21
2023-10-01,194.782,2023-11-16 13:36:12
2023-09-01,197.976,2023-10-22 23:00:15
2023-08-01,201.221,2023-09-13 23:00:15
2023-07-01,203.817,2023-08-10 23:00:20
2023-06-01,200.533,2023-07-13 16:47:46
2023-05-01,198.119,2023-07-13 16:47:46
2023-04-01,198.596,2023-07-13 16:47:46
2023-03-01,201.232,2023-07-13 16:47:46
2023-02-01,197.97,2023-07-13 16:47:46
2023-01-01,200.266,2023-07-13 16:47:46
2022-12-01,186.073,2023-07-13 16:47:46
2022-11-01,183.786,2023-07-13 16:47:46
2022-10-01,188.858,2023-07-13 16:47:46
2022-09-01,196.489,2023-07-13 16:47:46
2022-08-01,190.683,2023-07-13 16:47:46
2022-07-01,191.42,2023-07-13 16:47:46
2022-06-01,188.556,2023-07-13 16:47:46
2022-05-01,185.496,2023-07-13 16:47:46
2022-04-01,183.522,2023-07-13 16:47:46
2022-03-01,187.593,2023-07-13 16:47:46
2022-02-01,182.549,2023-07-13 16:47:46
2022-01-01,190.928,2023-07-13 16:47:46
2021-12-01,177.17,2023-07-13 16:47:46
2021-11-01,174.715,2023-07-13 16:47:46
2021-10-01,184.24,2023-07-13 16:47:46
2021-09-01,188.399,2023-07-13 16:47:46
2021-08-01,191.241,2023-07-13 16:47:46
2021-07-01,189.214,2023-07-13 16:47:46
2021-06-01,186.471,2023-07-13 16:47:46
2021-05-01,186.617,2023-07-13 16:47:46
2021-04-01,182.968,2023-07-13 16:47:46
2021-03-01,182.651,2023-07-13 16:47:46
2021-02-01,175.144,2023-07-13 16:47:46
2021-01-01,179.725,2023-07-13 16:47:46
2020-12-01,165.197,2023-07-13 16:47:46
2020-11-01,166.018,2023-07-13 16:47:46
2020-10-01,173.682,2023-07-13 16:47:46
2020-09-01,176.463,2023-07-13 16:47:46
2020-08-01,172.681,2023-07-13 16:47:46
2020-07-01,172.855,2023-07-13 16:47:46
2020-06-01,167.714,2023-07-13 16:47:46
2020-05-01,166.095,2023-07-13 16:47:46
2020-04-01,167.097,2023-07-13 16:47:46
2020-03-01,171.237,2023-07-13 16:47:46
2020-02-01,173.122,2023-07-13 16:47:46
2020-01-01,173.01,2023-07-13 16:47:46
2019-12-01,163.426,2023-07-13 16:47:46
2019-11-01,169.844,2023-07-13 16:47:46
2019-10-01,173.276,2023-07-13 16:47:46
2019-09-01,171.672,2023-07-13 16:47:46
2019-08-01,173.751,2023-07-13 16:47:46
2019-07-01,177.463,2023-07-13 16:47:46
2019-06-01,177.958,2023-07-13 16:47:46
2019-05-01,171.41,2023-07-13 16:47:46
2019-04-01,171.443,2023-07-13 16:47:46
2019-03-01,167.946,2023-07-13 16:47:46
2019-02-01,168.375,2023-07-13 16:47:46
2019-01-01,170.996,2023-07-13 16:47:46
2018-12-01,163.222,2023-07-13 16:47:46
2018-11-01,167.88,2023-07-13 16:47:46
2018-10-01,176.395,2023-07-13 16:47:46
2018-09-01,173.317,2023-07-13 16:47:46
2018-08-01,173.258,2023-07-13 16:47:46
2018-07-01,174.726,2023-07-13 16:47:46
2018-06-01,170.878,2023-07-13 16:47:46
2018-05-01,174.122,2023-07-13 16:47:46
2018-04-01,175.07,2023-07-13 16:47:46
2018-03-01,176.485,2023-07-13 16:47:46
2018-02-01,175.6,2023-07-13 16:47:46
2018-01-01,171.447,2023-07-13 16:47:46
2017-12-01,166.793,2023-07-13 16:47:46
2017-11-01,173.407,2023-07-13 16:47:46
2017-10-01,178.011,2023-07-13 16:47:46
2017-09-01,178.219,2023-07-13 16:47:46
2017-08-01,177.005,2023-07-13 16:47:46
2017-07-01,174.586,2023-07-13 16:47:46
2017-06-01,173.216,2023-07-13 16:47:46
2017-05-01,173.937,2023-07-13 16:47:46
2017-04-01,177.112,2023-07-13 16:47:46
2017-03-01,171.944,2023-07-13 16:47:46
2017-02-01,175.353,2023-07-13 16:47:46
2017-01-01,170.302,2023-07-13 16:47:46
2016-12-01,162.278,2023-07-13 16:47:46
2016-11-01,166.545,2023-07-13 16:47:46
2016-10-01,172.405,2023-07-13 16:47:46
2016-09-01,172.272,2023-07-13 16:47:46
2016-08-01,175.444,2023-07-13 16:47:46
2016-07-01,171.861,2023-07-13 16:47:46
2016-06-01,170.688,2023-07-13 16:47:46
2016-05-01,171.108,2023-07-13 16:47:46
2016-04-01,165.689,2023-07-13 16:47:46
2016-03-01,165.622,2023-07-13 16:47:46
2016-02-01,171.49,2023-07-13 16:47:46
2016-01-01,163.268,2023-07-13 16:47:46
2015-12-01,155.163,2023-07-13 16:47:46
2015-11-01,156.234,2023-07-13 16:47:46
2015-10-01,161.92,2023-07-13 16:47:46
2015-09-01,163.533,2023-07-13 16:47:46
2015-08-01,162.797,2023-07-13 16:47:46
2015-07-01,163.867,2023-07-13 16:47:46
2015-06-01,160.132,2023-07-13 16:47:46
2015-05-01,156.988,2023-07-13 16:47:46
2015-04-01,158.777,2023-07-13 16:47:46
2015-03-01,160.081,2023-07-13 16:47:46
2015-02-01,160.355,2023-07-13 16:47:46
2015-01-01,160.314,2023-07-13 16:47:46
2014-12-01,156.184,2023-07-13 16:47:46
2014-11-01,159.852,2023-07-13 16:47:46
2014-10-01,164.758,2023-07-13 16:47:46
2014-09-01,167.938,2023-07-13 16:47:46
2014-08-01,166.937,2023-07-13 16:47:46
2014-07-01,166.133,2023-07-13 16:47:46
2014-06-01,163.772,2023-07-13 16:47:46
2014-05-01,160.955,2023-07-13 16:47:46
2014-04-01,162.389,2023-07-13 16:47:46
2014-03-01,164.523,2023-07-13 16:47:46
2014-02-01,164.268,2023-07-13 16:47:46
2014-01-01,164.886,2023-07-13 16:47:46
2013-12-01,163.132,2023-07-13 16:47:46
2013-11-01,166.212,2023-07-13 16:47:46
2013-10-01,169.925,2023-07-13 16:47:46
2013-09-01,171.807,2023-07-13 16:47:46
2013-08-01,170.591,2023-07-13 16:47:46
2013-07-01,171.958,2023-07-13 16:47:46
2013-06-01,169.771,2023-07-13 16:47:46
2013-05-01,166.612,2023-07-13 16:47:46
2013-04-01,166.997,2023-07-13 16:47:46
2013-03-01,167.456,2023-07-13 16:47:46
2013-02-01,167.17,2023-07-13 16:47:46
2013-01-01,166.746,2023-07-13 16:47:46
2012-12-01,163.629,2023-07-13 16:47:46
2012-11-01,165.068,2023-07-13 16:47:46
2012-10-01,170.145,2023-07-13 16:47:46
2012-09-01,171.276,2023-07-13 16:47:46
2012-08-01,168.745,2023-07-13 16:47:46
2012-07-01,163.995,2023-07-13 16:47:46
2012-06-01,166.335,2023-07-13 16:47:46
2012-05-01,164.487,2023-07-13 16:47:46
2012-04-01,167.079,2023-07-13 16:47:46
2012-03-01,169.554,2023-07-13 16:47:46
2012-02-01,168.605,2023-07-13 16:47:46
2012-01-01,169.256,2023-07-13 16:47:46
2011-12-01,165.037,2023-07-13 16:47:46
2011-11-01,167.348,2023-07-13 16:47:46
2011-10-01,170.929,2023-07-13 16:47:46
2011-09-01,166.656,2023-07-13 16:47:46
2011-08-01,169.645,2023-07-13 16:47:46
2011-07-01,167.557,2023-07-13 16:47:46
2011-06-01,165.125,2023-07-13 16:47:46
2011-05-01,164.886,2023-07-13 16:47:46
2011-04-01,165.581,2023-07-13 16:47:46
2011-03-01,160.981,2023-07-13 16:47:46
2011-02-01,160.046,2023-07-13 16:47:46
2011-01-01,158.432,2023-07-13 16:47:46
2010-12-01,154.308,2023-07-13 16:47:46
2010-11-01,155.144,2023-07-13 16:47:46
2010-10-01,153.989,2023-07-13 16:47:46
