date,value,created_at
2024-01-01,271.6,2024-02-14 23:00:21
2023-12-01,270.223,2024-01-17 23:00:25
2023-11-01,270.25,2023-12-13 23:00:21
2023-10-01,272.215,2023-11-16 13:36:12
2023-09-01,271.561,2023-10-22 23:00:15
2023-08-01,271.648,2023-09-13 23:00:15
2023-07-01,271.276,2023-08-10 23:00:20
2023-06-01,269.995,2023-07-13 16:47:46
2023-05-01,269.999,2023-07-13 16:47:46
2023-04-01,269.657,2023-07-13 16:47:46
2023-03-01,268.567,2023-07-13 16:47:46
2023-02-01,266.612,2023-07-13 16:47:46
2023-01-01,264.746,2023-07-13 16:47:46
2022-12-01,262.985,2023-07-13 16:47:46
2022-11-01,261.583,2023-07-13 16:47:46
2022-10-01,262.814,2023-07-13 16:47:46
2022-09-01,260.58,2023-07-13 16:47:46
2022-08-01,259.976,2023-07-13 16:47:46
2022-07-01,257.295,2023-07-13 16:47:46
2022-06-01,252.015,2023-07-13 16:47:46
2022-05-01,247.3,2023-07-13 16:47:46
2022-04-01,244.282,2023-07-13 16:47:46
2022-03-01,241.804,2023-07-13 16:47:46
2022-02-01,237.143,2023-07-13 16:47:46
2022-01-01,233.956,2023-07-13 16:47:46
2021-12-01,230.809,2023-07-13 16:47:46
2021-11-01,229.643,2023-07-13 16:47:46
2021-10-01,227.701,2023-07-13 16:47:46
2021-09-01,225.141,2023-07-13 16:47:46
2021-08-01,222.863,2023-07-13 16:47:46
2021-07-01,222.116,2023-07-13 16:47:46
2021-06-01,220.221,2023-07-13 16:47:46
2021-05-01,219.664,2023-07-13 16:47:46
2021-04-01,220.143,2023-07-13 16:47:46
2021-03-01,219.263,2023-07-13 16:47:46
2021-02-01,219.11,2023-07-13 16:47:46
2021-01-01,217.824,2023-07-13 16:47:46
2020-12-01,218.534,2023-07-13 16:47:46
2020-11-01,217.31,2023-07-13 16:47:46
2020-10-01,218.758,2023-07-13 16:47:46
2020-09-01,218.358,2023-07-13 16:47:46
2020-08-01,219.607,2023-07-13 16:47:46
2020-07-01,219.254,2023-07-13 16:47:46
2020-06-01,219.311,2023-07-13 16:47:46
2020-05-01,218.988,2023-07-13 16:47:46
2020-04-01,219.233,2023-07-13 16:47:46
2020-03-01,214.565,2023-07-13 16:47:46
2020-02-01,213.215,2023-07-13 16:47:46
2020-01-01,210.763,2023-07-13 16:47:46
2019-12-01,210.432,2023-07-13 16:47:46
2019-11-01,211.25,2023-07-13 16:47:46
2019-10-01,211.492,2023-07-13 16:47:46
2019-09-01,211.49,2023-07-13 16:47:46
2019-08-01,210.841,2023-07-13 16:47:46
2019-07-01,210.941,2023-07-13 16:47:46
2019-06-01,212.056,2023-07-13 16:47:46
2019-05-01,210.815,2023-07-13 16:47:46
2019-04-01,211.078,2023-07-13 16:47:46
2019-03-01,211.55,2023-07-13 16:47:46
2019-02-01,211.168,2023-07-13 16:47:46
2019-01-01,210.006,2023-07-13 16:47:46
2018-12-01,209.739,2023-07-13 16:47:46
2018-11-01,210.407,2023-07-13 16:47:46
2018-10-01,210.224,2023-07-13 16:47:46
2018-09-01,210.59,2023-07-13 16:47:46
2018-08-01,210.158,2023-07-13 16:47:46
2018-07-01,210.736,2023-07-13 16:47:46
2018-06-01,210.259,2023-07-13 16:47:46
2018-05-01,210.159,2023-07-13 16:47:46
2018-04-01,210.632,2023-07-13 16:47:46
2018-03-01,210.012,2023-07-13 16:47:46
2018-02-01,210.115,2023-07-13 16:47:46
2018-01-01,209.611,2023-07-13 16:47:46
2017-12-01,209.401,2023-07-13 16:47:46
2017-11-01,209.624,2023-07-13 16:47:46
2017-10-01,209.528,2023-07-13 16:47:46
2017-09-01,210.159,2023-07-13 16:47:46
