date,value,created_at
2024-01-01,288.702,2024-02-14 23:00:21
2023-12-01,300.47,2024-01-17 23:00:26
2023-11-01,319.829,2023-12-13 23:00:21
2023-10-01,333.768,2023-11-16 13:36:12
2023-09-01,337.553,2023-10-22 23:00:15
2023-08-01,317.338,2023-09-13 23:00:15
2023-07-01,286.268,2023-08-10 23:00:20
2023-06-01,288.457,2023-07-13 16:47:46
2023-05-01,297.692,2023-07-13 16:47:46
2023-04-01,307.755,2023-07-13 16:47:46
2023-03-01,316.209,2023-07-13 16:47:46
2023-02-01,332.558,2023-07-13 16:47:46
2023-01-01,339.263,2023-07-13 16:47:46
2022-12-01,354.231,2023-07-13 16:47:46
2022-11-01,387.053,2023-07-13 16:47:46
2022-10-01,378.429,2023-07-13 16:47:46
2022-09-01,367.379,2023-07-13 16:47:46
2022-08-01,375.072,2023-07-13 16:47:46
2022-07-01,409.664,2023-07-13 16:47:46
2022-06-01,419.546,2023-07-13 16:47:46
2022-05-01,403.635,2023-07-13 16:47:46
2022-04-01,375.202,2023-07-13 16:47:46
2022-03-01,350.825,2023-07-13 16:47:46
2022-02-01,285.424,2023-07-13 16:47:46
2022-01-01,269.178,2023-07-13 16:47:46
2021-12-01,267.792,2023-07-13 16:47:46
2021-11-01,270.088,2023-07-13 16:47:46
2021-10-01,259.72,2023-07-13 16:47:46
2021-09-01,246.59,2023-07-13 16:47:46
2021-08-01,245.219,2023-07-13 16:47:46
2021-07-01,243.157,2023-07-13 16:47:46
2021-06-01,238.688,2023-07-13 16:47:46
2021-05-01,232.801,2023-07-13 16:47:46
2021-04-01,228.499,2023-07-13 16:47:46
2021-03-01,224.236,2023-07-13 16:47:46
2021-02-01,203.109,2023-07-13 16:47:46
2021-01-01,192.812,2023-07-13 16:47:46
2020-12-01,184.103,2023-07-13 16:47:46
2020-11-01,176.468,2023-07-13 16:47:46
2020-10-01,176.848,2023-07-13 16:47:46
2020-09-01,179.631,2023-07-13 16:47:46
2020-08-01,180.088,2023-07-13 16:47:46
2020-07-01,180.8,2023-07-13 16:47:46
2020-06-01,180.684,2023-07-13 16:47:46
2020-05-01,180.357,2023-07-13 16:47:46
2020-04-01,186.26,2023-07-13 16:47:46
2020-03-01,202.915,2023-07-13 16:47:46
2020-02-01,214.568,2023-07-13 16:47:46
2020-01-01,222.092,2023-07-13 16:47:46
2019-12-01,223.376,2023-07-13 16:47:46
2019-11-01,223.62,2023-07-13 16:47:46
2019-10-01,221.182,2023-07-13 16:47:46
2019-09-01,217.838,2023-07-13 16:47:46
2019-08-01,217.549,2023-07-13 16:47:46
2019-07-01,221.544,2023-07-13 16:47:46
2019-06-01,223.589,2023-07-13 16:47:46
2019-05-01,228.784,2023-07-13 16:47:46
2019-04-01,225.22,2023-07-13 16:47:46
2019-03-01,220.913,2023-07-13 16:47:46
2019-02-01,214.546,2023-07-13 16:47:46
2019-01-01,216.239,2023-07-13 16:47:46
2018-12-01,226.865,2023-07-13 16:47:46
2018-11-01,237.781,2023-07-13 16:47:46
2018-10-01,241.39,2023-07-13 16:47:46
2018-09-01,235.13,2023-07-13 16:47:46
2018-08-01,232.906,2023-07-13 16:47:46
2018-07-01,234.088,2023-07-13 16:47:46
2018-06-01,235.16,2023-07-13 16:47:46
2018-05-01,231.157,2023-07-13 16:47:46
2018-04-01,221.695,2023-07-13 16:47:46
