date,value,created_at
2024-01-01,178.309,2024-02-14 23:00:21
2023-12-01,171.025,2024-01-17 23:00:26
2023-11-01,172.922,2023-12-13 23:00:21
2023-10-01,181.157,2023-11-16 13:36:12
2023-09-01,192.906,2023-10-22 23:00:15
2023-08-01,191.511,2023-09-13 23:00:16
2023-07-01,200.893,2023-08-10 23:00:21
2023-06-01,202.106,2023-07-13 16:47:47
2023-05-01,201.364,2023-07-13 16:47:47
2023-04-01,196.239,2023-07-13 16:47:47
2023-03-01,197.855,2023-07-13 16:47:47
2023-02-01,184.583,2023-07-13 16:47:47
2023-01-01,176.578,2023-07-13 16:47:47
2022-12-01,170.729,2023-07-13 16:47:47
2022-11-01,171.458,2023-07-13 16:47:47
2022-10-01,178.981,2023-07-13 16:47:47
2022-09-01,179.733,2023-07-13 16:47:47
2022-08-01,185.97,2023-07-13 16:47:47
2022-07-01,189.446,2023-07-13 16:47:47
2022-06-01,193.324,2023-07-13 16:47:47
2022-05-01,194.733,2023-07-13 16:47:47
2022-04-01,189.951,2023-07-13 16:47:47
2022-03-01,184.463,2023-07-13 16:47:47
2022-02-01,172.949,2023-07-13 16:47:47
2022-01-01,163.968,2023-07-13 16:47:47
2021-12-01,165.472,2023-07-13 16:47:47
2021-11-01,166.08,2023-07-13 16:47:47
2021-10-01,169.076,2023-07-13 16:47:47
2021-09-01,174.644,2023-07-13 16:47:47
2021-08-01,178.758,2023-07-13 16:47:47
2021-07-01,187.487,2023-07-13 16:47:47
2021-06-01,175.746,2023-07-13 16:47:47
2021-05-01,163.276,2023-07-13 16:47:47
2021-04-01,158.737,2023-07-13 16:47:47
2021-03-01,147.47,2023-07-13 16:47:47
2021-02-01,138.283,2023-07-13 16:47:47
2021-01-01,136.034,2023-07-13 16:47:47
2020-12-01,133.538,2023-07-13 16:47:47
2020-11-01,135.954,2023-07-13 16:47:47
2020-10-01,138.3,2023-07-13 16:47:47
2020-09-01,148.585,2023-07-13 16:47:47
2020-08-01,152.224,2023-07-13 16:47:47
2020-07-01,154.349,2023-07-13 16:47:47
2020-06-01,152.721,2023-07-13 16:47:47
2020-05-01,149.8,2023-07-13 16:47:47
2020-04-01,147.847,2023-07-13 16:47:47
2020-03-01,157.565,2023-07-13 16:47:47
2020-02-01,162.574,2023-07-13 16:47:47
2020-01-01,153.531,2023-07-13 16:47:47
2019-12-01,147.59,2023-07-13 16:47:47
2019-11-01,152.399,2023-07-13 16:47:47
2019-10-01,160.34,2023-07-13 16:47:47
2019-09-01,170.792,2023-07-13 16:47:47
2019-08-01,171.827,2023-07-13 16:47:47
2019-07-01,178.155,2023-07-13 16:47:47
2019-06-01,177.637,2023-07-13 16:47:47
2019-05-01,176.575,2023-07-13 16:47:47
2019-04-01,171.822,2023-07-13 16:47:47
2019-03-01,168.321,2023-07-13 16:47:47
2019-02-01,161.33,2023-07-13 16:47:47
2019-01-01,153.869,2023-07-13 16:47:47
2018-12-01,147.956,2023-07-13 16:47:47
2018-11-01,147.609,2023-07-13 16:47:47
2018-10-01,157.125,2023-07-13 16:47:47
2018-09-01,162.721,2023-07-13 16:47:47
2018-08-01,168.4,2023-07-13 16:47:47
2018-07-01,170.378,2023-07-13 16:47:47
2018-06-01,170.952,2023-07-13 16:47:47
2018-05-01,173.85,2023-07-13 16:47:47
2018-04-01,165.05,2023-07-13 16:47:47
2018-03-01,163.604,2023-07-13 16:47:47
2018-02-01,155.197,2023-07-13 16:47:47
2018-01-01,150.024,2023-07-13 16:47:47
2017-12-01,146.87,2023-07-13 16:47:47
2017-11-01,149.818,2023-07-13 16:47:47
