date,value,created_at
2024-01-01,402.965,2024-02-14 23:00:21
2023-12-01,400.828,2024-01-17 23:00:26
2023-11-01,399.032,2023-12-13 23:00:22
2023-10-01,396.881,2023-11-16 13:36:13
2023-09-01,395.039,2023-10-22 23:00:15
2023-08-01,392.794,2023-09-13 23:00:16
2023-07-01,391.131,2023-08-10 23:00:21
2023-06-01,389.223,2023-07-13 16:47:47
2023-05-01,387.323,2023-07-13 16:47:47
2023-04-01,385.366,2023-07-13 16:47:47
2023-03-01,383.502,2023-07-13 16:47:47
2023-02-01,381.844,2023-07-13 16:47:47
2023-01-01,379.328,2023-07-13 16:47:47
2022-12-01,376.897,2023-07-13 16:47:47
2022-11-01,374.04,2023-07-13 16:47:47
2022-10-01,371.45,2023-07-13 16:47:47
2022-09-01,368.932,2023-07-13 16:47:47
2022-08-01,365.993,2023-07-13 16:47:47
2022-07-01,363.311,2023-07-13 16:47:47
2022-06-01,361.018,2023-07-13 16:47:47
2022-05-01,358.469,2023-07-13 16:47:47
2022-04-01,356.439,2023-07-13 16:47:47
2022-03-01,354.968,2023-07-13 16:47:47
2022-02-01,353.512,2023-07-13 16:47:47
2022-01-01,352.005,2023-07-13 16:47:47
2021-12-01,350.508,2023-07-13 16:47:47
2021-11-01,349.152,2023-07-13 16:47:47
2021-10-01,347.522,2023-07-13 16:47:47
2021-09-01,345.824,2023-07-13 16:47:47
2021-08-01,344.327,2023-07-13 16:47:47
2021-07-01,343.293,2023-07-13 16:47:47
2021-06-01,342.258,2023-07-13 16:47:47
2021-05-01,341.095,2023-07-13 16:47:47
2021-04-01,340.162,2023-07-13 16:47:47
2021-03-01,339.565,2023-07-13 16:47:47
2021-02-01,338.918,2023-07-13 16:47:47
2021-01-01,338.181,2023-07-13 16:47:47
2020-12-01,337.695,2023-07-13 16:47:47
2020-11-01,337.247,2023-07-13 16:47:47
2020-10-01,336.965,2023-07-13 16:47:47
2020-09-01,336.095,2023-07-13 16:47:47
2020-08-01,335.763,2023-07-13 16:47:47
2020-07-01,335.144,2023-07-13 16:47:47
2020-06-01,334.424,2023-07-13 16:47:47
2020-05-01,334.052,2023-07-13 16:47:47
2020-04-01,333.358,2023-07-13 16:47:47
2020-03-01,332.864,2023-07-13 16:47:47
2020-02-01,332.177,2023-07-13 16:47:47
2020-01-01,331.522,2023-07-13 16:47:47
2019-12-01,330.527,2023-07-13 16:47:47
2019-11-01,329.745,2023-07-13 16:47:47
2019-10-01,328.762,2023-07-13 16:47:47
2019-09-01,327.933,2023-07-13 16:47:47
2019-08-01,326.977,2023-07-13 16:47:47
2019-07-01,326.023,2023-07-13 16:47:47
2019-06-01,325.189,2023-07-13 16:47:47
2019-05-01,324.143,2023-07-13 16:47:47
2019-04-01,323.426,2023-07-13 16:47:47
2019-03-01,322.482,2023-07-13 16:47:47
2019-02-01,321.627,2023-07-13 16:47:47
2019-01-01,320.789,2023-07-13 16:47:47
2018-12-01,320.038,2023-07-13 16:47:47
2018-11-01,319.338,2023-07-13 16:47:47
2018-10-01,318.215,2023-07-13 16:47:47
2018-09-01,317.149,2023-07-13 16:47:47
2018-08-01,316.401,2023-07-13 16:47:47
2018-07-01,315.391,2023-07-13 16:47:47
2018-06-01,314.472,2023-07-13 16:47:47
2018-05-01,313.656,2023-07-13 16:47:47
2018-04-01,312.935,2023-07-13 16:47:47
2018-03-01,312.107,2023-07-13 16:47:47
2018-02-01,311.28,2023-07-13 16:47:47
2018-01-01,310.828,2023-07-13 16:47:47
2017-12-01,310.041,2023-07-13 16:47:47
2017-11-01,309.101,2023-07-13 16:47:47
2017-10-01,308.19,2023-07-13 16:47:47
2017-09-01,307.106,2023-07-13 16:47:47
2017-08-01,306.201,2023-07-13 16:47:47
2017-07-01,305.037,2023-07-13 16:47:47
2017-06-01,304.218,2023-07-13 16:47:47
2017-05-01,303.312,2023-07-13 16:47:47
2017-04-01,302.767,2023-07-13 16:47:47
2017-03-01,302.259,2023-07-13 16:47:47
2017-02-01,301.785,2023-07-13 16:47:47
2017-01-01,301.181,2023-07-13 16:47:47
2016-12-01,300.501,2023-07-13 16:47:47
2016-11-01,299.738,2023-07-13 16:47:47
2016-10-01,298.645,2023-07-13 16:47:47
2016-09-01,297.636,2023-07-13 16:47:47
2016-08-01,296.521,2023-07-13 16:47:47
2016-07-01,295.554,2023-07-13 16:47:47
2016-06-01,294.702,2023-07-13 16:47:47
2016-05-01,293.759,2023-07-13 16:47:47
2016-04-01,292.855,2023-07-13 16:47:47
2016-03-01,292.08,2023-07-13 16:47:47
2016-02-01,291.505,2023-07-13 16:47:47
2016-01-01,290.884,2023-07-13 16:47:47
2015-12-01,290.133,2023-07-13 16:47:47
2015-11-01,289.48,2023-07-13 16:47:47
2015-10-01,288.7,2023-07-13 16:47:47
2015-09-01,287.916,2023-07-13 16:47:47
2015-08-01,287.026,2023-07-13 16:47:47
2015-07-01,286.22,2023-07-13 16:47:47
2015-06-01,285.436,2023-07-13 16:47:47
2015-05-01,284.473,2023-07-13 16:47:47
2015-04-01,283.92,2023-07-13 16:47:47
2015-03-01,283.244,2023-07-13 16:47:47
2015-02-01,282.579,2023-07-13 16:47:47
2015-01-01,281.98,2023-07-13 16:47:47
2014-12-01,281.288,2023-07-13 16:47:47
2014-11-01,280.84,2023-07-13 16:47:47
2014-10-01,280.046,2023-07-13 16:47:47
2014-09-01,279.292,2023-07-13 16:47:47
2014-08-01,278.621,2023-07-13 16:47:47
2014-07-01,277.886,2023-07-13 16:47:47
2014-06-01,277.256,2023-07-13 16:47:47
2014-05-01,276.748,2023-07-13 16:47:47
2014-04-01,276.265,2023-07-13 16:47:47
2014-03-01,275.817,2023-07-13 16:47:47
2014-02-01,275.185,2023-07-13 16:47:47
2014-01-01,274.74,2023-07-13 16:47:47
2013-12-01,274.135,2023-07-13 16:47:47
2013-11-01,273.437,2023-07-13 16:47:47
2013-10-01,272.623,2023-07-13 16:47:47
2013-09-01,271.915,2023-07-13 16:47:47
2013-08-01,271.352,2023-07-13 16:47:47
2013-07-01,270.537,2023-07-13 16:47:47
2013-06-01,270.126,2023-07-13 16:47:47
2013-05-01,269.635,2023-07-13 16:47:47
2013-04-01,269.216,2023-07-13 16:47:47
2013-03-01,268.802,2023-07-13 16:47:47
2013-02-01,268.448,2023-07-13 16:47:47
2013-01-01,267.995,2023-07-13 16:47:47
2012-12-01,267.48,2023-07-13 16:47:47
2012-11-01,267.099,2023-07-13 16:47:47
2012-10-01,266.581,2023-07-13 16:47:47
2012-09-01,266.013,2023-07-13 16:47:47
2012-08-01,265.422,2023-07-13 16:47:47
2012-07-01,264.74,2023-07-13 16:47:47
2012-06-01,264.276,2023-07-13 16:47:47
2012-05-01,264.012,2023-07-13 16:47:47
2012-04-01,263.765,2023-07-13 16:47:47
2012-03-01,263.317,2023-07-13 16:47:47
2012-02-01,262.812,2023-07-13 16:47:47
2012-01-01,262.543,2023-07-13 16:47:47
2011-12-01,261.982,2023-07-13 16:47:47
2011-11-01,261.503,2023-07-13 16:47:47
2011-10-01,261.034,2023-07-13 16:47:47
2011-09-01,260.459,2023-07-13 16:47:47
2011-08-01,260.178,2023-07-13 16:47:47
2011-07-01,259.573,2023-07-13 16:47:47
2011-06-01,259.01,2023-07-13 16:47:47
2011-05-01,258.587,2023-07-13 16:47:47
2011-04-01,258.4,2023-07-13 16:47:47
2011-03-01,258.263,2023-07-13 16:47:47
2011-02-01,258.073,2023-07-13 16:47:47
2011-01-01,257.775,2023-07-13 16:47:47
2010-12-01,257.452,2023-07-13 16:47:47
2010-11-01,257.202,2023-07-13 16:47:47
2010-10-01,256.823,2023-07-13 16:47:47
2010-09-01,256.59,2023-07-13 16:47:47
2010-08-01,256.509,2023-07-13 16:47:47
2010-07-01,256.395,2023-07-13 16:47:47
2010-06-01,256.352,2023-07-13 16:47:47
2010-05-01,256.163,2023-07-13 16:47:47
2010-04-01,256.17,2023-07-13 16:47:47
2010-03-01,256.272,2023-07-13 16:47:47
2010-02-01,256.483,2023-07-13 16:47:47
2010-01-01,256.591,2023-07-13 16:47:47
2009-12-01,256.727,2023-07-13 16:47:47
2009-11-01,256.731,2023-07-13 16:47:47
2009-10-01,256.89,2023-07-13 16:47:47
2009-09-01,256.865,2023-07-13 16:47:47
2009-08-01,257.155,2023-07-13 16:47:47
2009-07-01,256.872,2023-07-13 16:47:47
2009-06-01,256.981,2023-07-13 16:47:47
2009-05-01,256.875,2023-07-13 16:47:47
2009-04-01,256.622,2023-07-13 16:47:47
2009-03-01,256.321,2023-07-13 16:47:47
2009-02-01,255.779,2023-07-13 16:47:47
2009-01-01,255.5,2023-07-13 16:47:47
