date,value,created_at
2024-01-01,153.719,2024-02-14 23:00:22
2023-12-01,152.265,2024-01-17 23:00:27
2023-11-01,152.098,2023-12-13 23:00:22
2023-10-01,151.653,2023-11-16 13:36:13
2023-09-01,151.266,2023-10-22 23:00:16
2023-08-01,150.298,2023-09-13 23:00:16
2023-07-01,149.247,2023-08-10 23:00:22
2023-06-01,149.354,2023-07-13 16:47:47
2023-05-01,149.015,2023-07-13 16:47:47
2023-04-01,148.314,2023-07-13 16:47:47
2023-03-01,146.096,2023-07-13 16:47:47
2023-02-01,145.417,2023-07-13 16:47:47
2023-01-01,143.887,2023-07-13 16:47:47
2022-12-01,143.117,2023-07-13 16:47:47
2022-11-01,143.333,2023-07-13 16:47:47
2022-10-01,142.173,2023-07-13 16:47:47
2022-09-01,141.665,2023-07-13 16:47:47
2022-08-01,141.289,2023-07-13 16:47:47
2022-07-01,140.861,2023-07-13 16:47:47
2022-06-01,140.295,2023-07-13 16:47:47
2022-05-01,139.693,2023-07-13 16:47:47
2022-04-01,139.521,2023-07-13 16:47:47
2022-03-01,138.807,2023-07-13 16:47:47
2022-02-01,138.219,2023-07-13 16:47:47
2022-01-01,136.598,2023-07-13 16:47:47
2021-12-01,135.594,2023-07-13 16:47:47
2021-11-01,134.592,2023-07-13 16:47:47
2021-10-01,134.432,2023-07-13 16:47:47
2021-09-01,133.739,2023-07-13 16:47:47
2021-08-01,133.586,2023-07-13 16:47:47
2021-07-01,132.998,2023-07-13 16:47:47
2021-06-01,131.445,2023-07-13 16:47:47
2021-05-01,131.212,2023-07-13 16:47:47
2021-04-01,131.385,2023-07-13 16:47:47
2021-03-01,131.356,2023-07-13 16:47:47
2021-02-01,130.199,2023-07-13 16:47:47
2021-01-01,129.591,2023-07-13 16:47:47
2020-12-01,129.959,2023-07-13 16:47:47
2020-11-01,128.795,2023-07-13 16:47:47
2020-10-01,129.205,2023-07-13 16:47:47
2020-09-01,129.282,2023-07-13 16:47:47
2020-08-01,128.962,2023-07-13 16:47:47
2020-07-01,129.02,2023-07-13 16:47:47
2020-06-01,128.27,2023-07-13 16:47:47
2020-05-01,127.66,2023-07-13 16:47:47
2020-04-01,127.552,2023-07-13 16:47:47
2020-03-01,127.687,2023-07-13 16:47:47
2020-02-01,127.425,2023-07-13 16:47:47
2020-01-01,127.065,2023-07-13 16:47:47
2019-12-01,126.299,2023-07-13 16:47:47
2019-11-01,125.823,2023-07-13 16:47:47
2019-10-01,125.647,2023-07-13 16:47:47
2019-09-01,125.434,2023-07-13 16:47:47
2019-08-01,125.303,2023-07-13 16:47:47
2019-07-01,125.097,2023-07-13 16:47:47
2019-06-01,124.524,2023-07-13 16:47:47
2019-05-01,124.393,2023-07-13 16:47:47
2019-04-01,124.025,2023-07-13 16:47:47
2019-03-01,124.262,2023-07-13 16:47:47
2019-02-01,124.585,2023-07-13 16:47:47
2019-01-01,123.899,2023-07-13 16:47:47
2018-12-01,124.007,2023-07-13 16:47:47
2018-11-01,123.803,2023-07-13 16:47:47
2018-10-01,123.372,2023-07-13 16:47:47
2018-09-01,122.783,2023-07-13 16:47:47
2018-08-01,122.62,2023-07-13 16:47:47
2018-07-01,122.529,2023-07-13 16:47:47
2018-06-01,122.426,2023-07-13 16:47:47
2018-05-01,122.017,2023-07-13 16:47:47
2018-04-01,121.876,2023-07-13 16:47:47
2018-03-01,120.643,2023-07-13 16:47:47
2018-02-01,119.865,2023-07-13 16:47:47
2018-01-01,119.411,2023-07-13 16:47:47
2017-12-01,118.945,2023-07-13 16:47:47
2017-11-01,118.749,2023-07-13 16:47:47
2017-10-01,118.719,2023-07-13 16:47:47
2017-09-01,118.655,2023-07-13 16:47:47
2017-08-01,118.714,2023-07-13 16:47:47
2017-07-01,118.566,2023-07-13 16:47:47
2017-06-01,118.199,2023-07-13 16:47:47
2017-05-01,117.849,2023-07-13 16:47:47
2017-04-01,117.872,2023-07-13 16:47:47
2017-03-01,117.747,2023-07-13 16:47:47
2017-02-01,117.217,2023-07-13 16:47:47
2017-01-01,117.075,2023-07-13 16:47:47
2016-12-01,116.685,2023-07-13 16:47:47
2016-11-01,116.475,2023-07-13 16:47:47
2016-10-01,116.313,2023-07-13 16:47:47
2016-09-01,116.342,2023-07-13 16:47:47
2016-08-01,115.954,2023-07-13 16:47:47
2016-07-01,115.857,2023-07-13 16:47:47
2016-06-01,115.393,2023-07-13 16:47:47
2016-05-01,114.957,2023-07-13 16:47:47
2016-04-01,114.322,2023-07-13 16:47:47
2016-03-01,114.069,2023-07-13 16:47:47
2016-02-01,113.7,2023-07-13 16:47:47
2016-01-01,113.533,2023-07-13 16:47:47
2015-12-01,113.336,2023-07-13 16:47:47
2015-11-01,113.502,2023-07-13 16:47:47
2015-10-01,113.258,2023-07-13 16:47:47
2015-09-01,112.971,2023-07-13 16:47:47
2015-08-01,112.649,2023-07-13 16:47:47
2015-07-01,112.456,2023-07-13 16:47:47
2015-06-01,112.426,2023-07-13 16:47:47
2015-05-01,111.464,2023-07-13 16:47:47
2015-04-01,111.231,2023-07-13 16:47:47
2015-03-01,111.008,2023-07-13 16:47:47
2015-02-01,110.562,2023-07-13 16:47:47
2015-01-01,110.88,2023-07-13 16:47:47
2014-12-01,110.441,2023-07-13 16:47:47
2014-11-01,110.26,2023-07-13 16:47:47
2014-10-01,110.109,2023-07-13 16:47:47
2014-09-01,109.777,2023-07-13 16:47:47
2014-08-01,109.778,2023-07-13 16:47:47
2014-07-01,109.573,2023-07-13 16:47:47
2014-06-01,109.397,2023-07-13 16:47:47
2014-05-01,109.423,2023-07-13 16:47:47
2014-04-01,109.322,2023-07-13 16:47:47
2014-03-01,109.222,2023-07-13 16:47:47
2014-02-01,108.947,2023-07-13 16:47:47
2014-01-01,108.585,2023-07-13 16:47:47
2013-12-01,108.41,2023-07-13 16:47:47
2013-11-01,108.219,2023-07-13 16:47:47
2013-10-01,108.069,2023-07-13 16:47:47
2013-09-01,108.095,2023-07-13 16:47:47
2013-08-01,108.045,2023-07-13 16:47:47
2013-07-01,107.735,2023-07-13 16:47:47
2013-06-01,107.633,2023-07-13 16:47:47
2013-05-01,107.555,2023-07-13 16:47:47
2013-04-01,107.437,2023-07-13 16:47:47
2013-03-01,107.109,2023-07-13 16:47:47
2013-02-01,106.965,2023-07-13 16:47:47
2013-01-01,106.484,2023-07-13 16:47:47
2012-12-01,106.197,2023-07-13 16:47:47
2012-11-01,106.069,2023-07-13 16:47:47
2012-10-01,105.98,2023-07-13 16:47:47
2012-09-01,105.791,2023-07-13 16:47:47
2012-08-01,105.771,2023-07-13 16:47:47
2012-07-01,105.497,2023-07-13 16:47:47
2012-06-01,105.305,2023-07-13 16:47:47
2012-05-01,105.017,2023-07-13 16:47:47
2012-04-01,104.761,2023-07-13 16:47:47
2012-03-01,104.412,2023-07-13 16:47:47
2012-02-01,104.185,2023-07-13 16:47:47
2012-01-01,104.06,2023-07-13 16:47:47
2011-12-01,104.075,2023-07-13 16:47:47
2011-11-01,103.927,2023-07-13 16:47:47
2011-10-01,103.541,2023-07-13 16:47:47
2011-09-01,103.399,2023-07-13 16:47:47
2011-08-01,103.223,2023-07-13 16:47:47
2011-07-01,102.877,2023-07-13 16:47:47
2011-06-01,102.82,2023-07-13 16:47:47
2011-05-01,102.687,2023-07-13 16:47:47
2011-04-01,102.537,2023-07-13 16:47:47
2011-03-01,102.13,2023-07-13 16:47:47
2011-02-01,102.052,2023-07-13 16:47:47
2011-01-01,101.843,2023-07-13 16:47:47
2010-12-01,101.685,2023-07-13 16:47:47
2010-11-01,101.7,2023-07-13 16:47:47
2010-10-01,101.555,2023-07-13 16:47:47
2010-09-01,101.623,2023-07-13 16:47:47
2010-08-01,101.532,2023-07-13 16:47:47
2010-07-01,101.4,2023-07-13 16:47:47
2010-06-01,101.246,2023-07-13 16:47:47
2010-05-01,101.136,2023-07-13 16:47:47
2010-04-01,100.941,2023-07-13 16:47:47
2010-03-01,100.607,2023-07-13 16:47:47
2010-02-01,100.331,2023-07-13 16:47:47
2010-01-01,100.209,2023-07-13 16:47:47
2009-12-01,100.0,2023-07-13 16:47:47
