date,value,created_at
2023-10-01,218.73,2023-11-16 13:36:13
2023-08-01,216.572,2023-09-13 23:00:16
2023-07-01,219.431,2023-08-10 23:00:22
2023-06-01,216.758,2023-07-13 16:47:47
2023-05-01,213.519,2023-07-13 16:47:47
2023-04-01,217.796,2023-07-13 16:47:47
2023-03-01,203.739,2023-07-13 16:47:47
2023-02-01,203.676,2023-07-13 16:47:47
2023-01-01,206.259,2023-07-13 16:47:47
2022-12-01,205.307,2023-07-13 16:47:47
2022-11-01,201.809,2023-07-13 16:47:47
2022-10-01,208.102,2023-07-13 16:47:47
2022-08-01,206.252,2023-07-13 16:47:47
2022-06-01,201.703,2023-07-13 16:47:47
2022-05-01,200.477,2023-07-13 16:47:47
2022-04-01,198.978,2023-07-13 16:47:47
2022-03-01,201.327,2023-07-13 16:47:47
2022-02-01,201.09,2023-07-13 16:47:47
2022-01-01,199.826,2023-07-13 16:47:47
2021-12-01,197.967,2023-07-13 16:47:47
2021-11-01,193.307,2023-07-13 16:47:47
2021-10-01,190.481,2023-07-13 16:47:47
2021-09-01,190.314,2023-07-13 16:47:47
2021-08-01,194.844,2023-07-13 16:47:47
2021-07-01,193.025,2023-07-13 16:47:47
2021-06-01,191.889,2023-07-13 16:47:47
2021-05-01,197.341,2023-07-13 16:47:47
2021-04-01,185.429,2023-07-13 16:47:47
2021-03-01,184.038,2023-07-13 16:47:47
2021-02-01,183.766,2023-07-13 16:47:47
2021-01-01,183.296,2023-07-13 16:47:47
2020-12-01,180.933,2023-07-13 16:47:47
2020-11-01,175.357,2023-07-13 16:47:47
2020-10-01,177.23,2023-07-13 16:47:47
2020-09-01,175.204,2023-07-13 16:47:47
2020-08-01,174.738,2023-07-13 16:47:47
2020-07-01,173.936,2023-07-13 16:47:47
2020-06-01,173.452,2023-07-13 16:47:47
2020-05-01,173.577,2023-07-13 16:47:47
2020-04-01,173.064,2023-07-13 16:47:47
2020-03-01,172.336,2023-07-13 16:47:47
2020-02-01,172.336,2023-07-13 16:47:47
2020-01-01,172.336,2023-07-13 16:47:47
2019-12-01,172.015,2023-07-13 16:47:47
2019-11-01,172.001,2023-07-13 16:47:47
2019-10-01,170.404,2023-07-13 16:47:47
2019-09-01,167.779,2023-07-13 16:47:47
2019-08-01,168.786,2023-07-13 16:47:47
2019-07-01,169.409,2023-07-13 16:47:47
2019-06-01,167.024,2023-07-13 16:47:47
2019-05-01,166.852,2023-07-13 16:47:47
2019-04-01,170.575,2023-07-13 16:47:47
2019-03-01,170.571,2023-07-13 16:47:47
2019-02-01,170.213,2023-07-13 16:47:47
2019-01-01,169.954,2023-07-13 16:47:47
2018-12-01,169.391,2023-07-13 16:47:47
2018-11-01,167.129,2023-07-13 16:47:47
2018-10-01,165.555,2023-07-13 16:47:47
2018-09-01,165.555,2023-07-13 16:47:47
2018-08-01,165.788,2023-07-13 16:47:47
2018-07-01,165.79,2023-07-13 16:47:47
2018-06-01,165.686,2023-07-13 16:47:47
2018-05-01,166.82,2023-07-13 16:47:47
2018-04-01,164.779,2023-07-13 16:47:47
2018-03-01,164.773,2023-07-13 16:47:47
2018-02-01,163.899,2023-07-13 16:47:47
2018-01-01,163.899,2023-07-13 16:47:47
2017-12-01,162.992,2023-07-13 16:47:47
2017-11-01,162.725,2023-07-13 16:47:47
2017-10-01,162.132,2023-07-13 16:47:47
2017-09-01,162.16,2023-07-13 16:47:47
2017-07-01,162.126,2023-07-13 16:47:47
2017-05-01,160.103,2023-07-13 16:47:47
2017-04-01,159.795,2023-07-13 16:47:47
2017-03-01,159.454,2023-07-13 16:47:47
2017-01-01,157.963,2023-07-13 16:47:47
2016-12-01,157.884,2023-07-13 16:47:47
2016-11-01,157.849,2023-07-13 16:47:47
2016-10-01,157.824,2023-07-13 16:47:47
