date,value,created_at
2024-01-01,332.664,2024-02-14 23:00:22
2023-12-01,329.604,2024-01-17 23:00:27
2023-11-01,326.628,2023-12-13 23:00:22
2023-10-01,327.752,2023-11-16 13:36:13
2023-09-01,326.335,2023-10-22 23:00:16
2023-08-01,326.271,2023-09-13 23:00:16
2023-07-01,328.751,2023-08-10 23:00:22
2023-06-01,326.86,2023-07-13 16:47:47
2023-05-01,326.048,2023-07-13 16:47:47
2023-04-01,327.938,2023-07-13 16:47:47
2023-03-01,319.143,2023-07-13 16:47:47
2023-02-01,317.279,2023-07-13 16:47:47
2023-01-01,310.869,2023-07-13 16:47:47
2022-12-01,306.453,2023-07-13 16:47:47
2022-11-01,307.013,2023-07-13 16:47:47
2022-10-01,305.481,2023-07-13 16:47:47
2022-09-01,305.029,2023-07-13 16:47:47
2022-08-01,300.763,2023-07-13 16:47:47
2022-07-01,299.341,2023-07-13 16:47:47
2022-06-01,296.028,2023-07-13 16:47:47
2022-05-01,295.833,2023-07-13 16:47:47
2022-04-01,297.108,2023-07-13 16:47:47
2022-03-01,293.95,2023-07-13 16:47:47
2022-02-01,287.047,2023-07-13 16:47:47
2022-01-01,284.202,2023-07-13 16:47:47
2021-12-01,280.986,2023-07-13 16:47:47
2021-11-01,276.713,2023-07-13 16:47:47
2021-10-01,276.029,2023-07-13 16:47:47
2021-09-01,274.898,2023-07-13 16:47:47
2021-08-01,274.42,2023-07-13 16:47:47
2021-07-01,273.772,2023-07-13 16:47:47
2021-06-01,274.462,2023-07-13 16:47:47
2021-05-01,274.389,2023-07-13 16:47:47
2021-04-01,272.507,2023-07-13 16:47:47
2021-03-01,271.674,2023-07-13 16:47:47
2021-02-01,271.365,2023-07-13 16:47:47
2021-01-01,270.153,2023-07-13 16:47:47
2020-12-01,265.951,2023-07-13 16:47:47
2020-11-01,265.541,2023-07-13 16:47:47
2020-10-01,265.6,2023-07-13 16:47:47
2020-09-01,264.422,2023-07-13 16:47:47
2020-08-01,263.881,2023-07-13 16:47:47
2020-07-01,263.066,2023-07-13 16:47:47
2020-06-01,261.701,2023-07-13 16:47:47
2020-05-01,261.344,2023-07-13 16:47:47
2020-04-01,260.112,2023-07-13 16:47:47
2020-03-01,259.258,2023-07-13 16:47:47
2020-02-01,258.595,2023-07-13 16:47:47
2020-01-01,258.849,2023-07-13 16:47:47
2019-12-01,258.099,2023-07-13 16:47:47
2019-11-01,256.464,2023-07-13 16:47:47
2019-10-01,255.844,2023-07-13 16:47:47
2019-09-01,255.265,2023-07-13 16:47:47
2019-08-01,255.066,2023-07-13 16:47:47
2019-07-01,254.777,2023-07-13 16:47:47
2019-06-01,253.381,2023-07-13 16:47:47
2019-05-01,252.744,2023-07-13 16:47:47
2019-04-01,251.954,2023-07-13 16:47:47
2019-03-01,251.375,2023-07-13 16:47:47
2019-02-01,250.857,2023-07-13 16:47:47
2019-01-01,248.788,2023-07-13 16:47:47
2018-12-01,247.595,2023-07-13 16:47:47
2018-11-01,246.941,2023-07-13 16:47:47
2018-10-01,247.035,2023-07-13 16:47:47
2018-09-01,246.186,2023-07-13 16:47:47
2018-08-01,244.701,2023-07-13 16:47:47
2018-07-01,245.083,2023-07-13 16:47:47
2018-06-01,244.819,2023-07-13 16:47:47
2018-05-01,244.283,2023-07-13 16:47:47
2018-04-01,242.918,2023-07-13 16:47:47
2018-03-01,242.675,2023-07-13 16:47:47
