date,value,created_at
2024-01-01,233.073,2024-02-14 23:00:22
2023-12-01,228.61,2024-01-17 23:00:27
2023-11-01,228.951,2023-12-13 23:00:22
2023-10-01,228.756,2023-11-16 13:36:13
2023-09-01,228.787,2023-10-22 23:00:16
2023-08-01,228.446,2023-09-13 23:00:16
2023-07-01,229.362,2023-08-10 23:00:22
2023-06-01,232.149,2023-07-13 16:47:47
2023-05-01,232.171,2023-07-13 16:47:47
2023-04-01,232.738,2023-07-13 16:47:47
2023-03-01,233.05,2023-07-13 16:47:47
2023-02-01,233.484,2023-07-13 16:47:47
2023-01-01,230.418,2023-07-13 16:47:47
2022-12-01,227.089,2023-07-13 16:47:47
2022-11-01,227.043,2023-07-13 16:47:47
2022-10-01,226.984,2023-07-13 16:47:47
2022-09-01,218.676,2023-07-13 16:47:47
2022-08-01,218.094,2023-07-13 16:47:47
2022-07-01,218.328,2023-07-13 16:47:47
2022-06-01,218.133,2023-07-13 16:47:47
2022-05-01,218.32,2023-07-13 16:47:47
2022-04-01,217.756,2023-07-13 16:47:47
2022-03-01,217.305,2023-07-13 16:47:47
2022-02-01,216.816,2023-07-13 16:47:47
2022-01-01,215.705,2023-07-13 16:47:47
2021-12-01,217.153,2023-07-13 16:47:47
2021-11-01,217.832,2023-07-13 16:47:47
2021-10-01,217.775,2023-07-13 16:47:47
2021-09-01,209.672,2023-07-13 16:47:47
2021-08-01,209.971,2023-07-13 16:47:47
2021-07-01,209.659,2023-07-13 16:47:47
2021-06-01,209.453,2023-07-13 16:47:47
2021-05-01,209.281,2023-07-13 16:47:47
2021-04-01,209.232,2023-07-13 16:47:47
2021-03-01,209.285,2023-07-13 16:47:47
2021-02-01,209.167,2023-07-13 16:47:47
2021-01-01,205.418,2023-07-13 16:47:47
2020-12-01,203.321,2023-07-13 16:47:47
2020-11-01,203.146,2023-07-13 16:47:47
2020-10-01,203.092,2023-07-13 16:47:47
2020-09-01,203.214,2023-07-13 16:47:47
2020-08-01,203.128,2023-07-13 16:47:47
2020-07-01,203.113,2023-07-13 16:47:47
2020-06-01,202.921,2023-07-13 16:47:47
2020-05-01,202.818,2023-07-13 16:47:47
2020-04-01,203.017,2023-07-13 16:47:47
2020-03-01,203.278,2023-07-13 16:47:47
2020-02-01,203.393,2023-07-13 16:47:47
2020-01-01,197.85,2023-07-13 16:47:47
2019-12-01,195.407,2023-07-13 16:47:47
2019-11-01,195.354,2023-07-13 16:47:47
2019-10-01,195.409,2023-07-13 16:47:47
2019-09-01,195.286,2023-07-13 16:47:47
2019-08-01,195.293,2023-07-13 16:47:47
2019-07-01,195.329,2023-07-13 16:47:47
2019-06-01,195.341,2023-07-13 16:47:47
2019-05-01,195.317,2023-07-13 16:47:47
2019-04-01,195.31,2023-07-13 16:47:47
2019-03-01,195.278,2023-07-13 16:47:47
2019-02-01,195.23,2023-07-13 16:47:47
2019-01-01,188.597,2023-07-13 16:47:47
2018-12-01,184.858,2023-07-13 16:47:47
2018-11-01,185.31,2023-07-13 16:47:47
2018-10-01,185.31,2023-07-13 16:47:47
2018-09-01,185.343,2023-07-13 16:47:47
2018-08-01,185.231,2023-07-13 16:47:47
2018-07-01,185.214,2023-07-13 16:47:47
2018-06-01,185.104,2023-07-13 16:47:47
2018-05-01,185.066,2023-07-13 16:47:47
2018-04-01,184.914,2023-07-13 16:47:47
2018-03-01,184.987,2023-07-13 16:47:47
2018-02-01,184.988,2023-07-13 16:47:47
2018-01-01,182.91,2023-07-13 16:47:47
2017-12-01,180.826,2023-07-13 16:47:47
2017-11-01,180.787,2023-07-13 16:47:47
2017-10-01,180.74,2023-07-13 16:47:47
2017-09-01,180.68,2023-07-13 16:47:47
2017-08-01,180.685,2023-07-13 16:47:47
2017-07-01,180.612,2023-07-13 16:47:47
2017-06-01,180.659,2023-07-13 16:47:47
2017-05-01,180.675,2023-07-13 16:47:47
2017-04-01,180.677,2023-07-13 16:47:47
2017-03-01,180.683,2023-07-13 16:47:47
2017-02-01,180.649,2023-07-13 16:47:47
2017-01-01,175.867,2023-07-13 16:47:47
2016-12-01,175.035,2023-07-13 16:47:47
2016-11-01,174.987,2023-07-13 16:47:47
2016-10-01,174.986,2023-07-13 16:47:47
2016-09-01,175.037,2023-07-13 16:47:47
2016-08-01,175.116,2023-07-13 16:47:47
2016-07-01,175.112,2023-07-13 16:47:47
2016-06-01,175.109,2023-07-13 16:47:47
2016-05-01,175.126,2023-07-13 16:47:47
2016-04-01,175.041,2023-07-13 16:47:47
2016-03-01,178.099,2023-07-13 16:47:47
2016-02-01,178.117,2023-07-13 16:47:47
2016-01-01,175.551,2023-07-13 16:47:47
2015-12-01,174.496,2023-07-13 16:47:47
2015-11-01,174.46,2023-07-13 16:47:47
2015-10-01,174.215,2023-07-13 16:47:47
2015-09-01,174.567,2023-07-13 16:47:47
2015-08-01,174.661,2023-07-13 16:47:47
2015-07-01,174.723,2023-07-13 16:47:47
2015-06-01,174.635,2023-07-13 16:47:47
2015-05-01,174.58,2023-07-13 16:47:47
2015-04-01,174.631,2023-07-13 16:47:47
2015-03-01,174.534,2023-07-13 16:47:47
2015-02-01,174.774,2023-07-13 16:47:47
2015-01-01,174.946,2023-07-13 16:47:47
2014-12-01,174.356,2023-07-13 16:47:47
2014-11-01,174.487,2023-07-13 16:47:47
2014-10-01,174.562,2023-07-13 16:47:47
2014-09-01,174.578,2023-07-13 16:47:47
2014-08-01,174.675,2023-07-13 16:47:47
2014-07-01,174.669,2023-07-13 16:47:47
2014-06-01,174.672,2023-07-13 16:47:47
2014-05-01,174.683,2023-07-13 16:47:47
2014-04-01,174.564,2023-07-13 16:47:47
2014-03-01,174.686,2023-07-13 16:47:47
2014-02-01,174.727,2023-07-13 16:47:47
2014-01-01,169.189,2023-07-13 16:47:47
2013-12-01,167.946,2023-07-13 16:47:47
2013-11-01,167.969,2023-07-13 16:47:47
2013-10-01,167.856,2023-07-13 16:47:47
2013-09-01,167.821,2023-07-13 16:47:47
2013-08-01,167.811,2023-07-13 16:47:47
2013-07-01,167.788,2023-07-13 16:47:47
2013-06-01,167.92,2023-07-13 16:47:47
2013-05-01,168.021,2023-07-13 16:47:47
2013-04-01,168.08,2023-07-13 16:47:47
2013-03-01,167.909,2023-07-13 16:47:47
2013-02-01,167.829,2023-07-13 16:47:47
2013-01-01,160.182,2023-07-13 16:47:47
2012-12-01,158.134,2023-07-13 16:47:47
2012-11-01,158.18,2023-07-13 16:47:47
2012-10-01,158.107,2023-07-13 16:47:47
2012-09-01,157.94,2023-07-13 16:47:47
2012-08-01,157.901,2023-07-13 16:47:47
2012-07-01,158.039,2023-07-13 16:47:47
2012-06-01,158.2,2023-07-13 16:47:47
2012-05-01,158.124,2023-07-13 16:47:47
2012-04-01,158.113,2023-07-13 16:47:47
2012-03-01,157.986,2023-07-13 16:47:47
2012-02-01,157.999,2023-07-13 16:47:47
2012-01-01,153.702,2023-07-13 16:47:47
2011-12-01,152.285,2023-07-13 16:47:47
2011-11-01,152.291,2023-07-13 16:47:47
2011-10-01,152.281,2023-07-13 16:47:47
2011-09-01,152.341,2023-07-13 16:47:47
2011-08-01,152.326,2023-07-13 16:47:47
2011-07-01,152.327,2023-07-13 16:47:47
2011-06-01,152.353,2023-07-13 16:47:47
2011-05-01,152.322,2023-07-13 16:47:47
2011-04-01,152.089,2023-07-13 16:47:47
2011-03-01,151.836,2023-07-13 16:47:47
2011-02-01,151.762,2023-07-13 16:47:47
2011-01-01,151.72,2023-07-13 16:47:47
2010-12-01,146.0,2023-07-13 16:47:47
2010-11-01,145.949,2023-07-13 16:47:47
2010-10-01,145.941,2023-07-13 16:47:47
2010-09-01,145.898,2023-07-13 16:47:47
2010-08-01,145.901,2023-07-13 16:47:47
2010-07-01,145.94,2023-07-13 16:47:47
2010-06-01,145.979,2023-07-13 16:47:47
2010-05-01,145.965,2023-07-13 16:47:47
2010-04-01,145.891,2023-07-13 16:47:47
2010-03-01,145.888,2023-07-13 16:47:47
2010-02-01,145.842,2023-07-13 16:47:47
2010-01-01,145.715,2023-07-13 16:47:47
2009-12-01,143.156,2023-07-13 16:47:47
2009-11-01,143.109,2023-07-13 16:47:47
2009-10-01,143.178,2023-07-13 16:47:47
2009-09-01,143.119,2023-07-13 16:47:47
2009-08-01,143.139,2023-07-13 16:47:47
2009-07-01,142.824,2023-07-13 16:47:47
2009-06-01,142.791,2023-07-13 16:47:47
2009-05-01,141.247,2023-07-13 16:47:47
2009-04-01,137.809,2023-07-13 16:47:47
2009-03-01,137.9,2023-07-13 16:47:47
2009-02-01,137.729,2023-07-13 16:47:47
2009-01-01,137.851,2023-07-13 16:47:47
