date,value,created_at
2024-01-01,1491.538,2024-02-14 23:00:23
2023-12-01,1486.9,2024-01-17 23:00:28
2023-11-01,1487.792,2023-12-13 23:00:23
2023-10-01,1471.019,2023-11-16 13:36:13
2023-09-01,1443.712,2023-10-22 23:00:17
2023-08-01,1440.574,2023-09-13 23:00:17
2023-07-01,1431.302,2023-08-10 23:00:23
2023-06-01,1424.29,2023-07-13 16:47:48
2023-05-01,1423.094,2023-07-13 16:47:48
2023-04-01,1414.924,2023-07-13 16:47:48
2023-03-01,1413.38,2023-07-13 16:47:48
2023-02-01,1402.834,2023-07-13 16:47:48
2023-01-01,1388.79,2023-07-13 16:47:48
2022-12-01,1379.589,2023-07-13 16:47:48
2022-11-01,1380.951,2023-07-13 16:47:48
2022-10-01,1371.864,2023-07-13 16:47:48
2022-09-01,1367.458,2023-07-13 16:47:48
2022-08-01,1364.765,2023-07-13 16:47:48
2022-07-01,1349.636,2023-07-13 16:47:48
2022-06-01,1346.046,2023-07-13 16:47:48
2022-05-01,1338.572,2023-07-13 16:47:48
2022-04-01,1327.276,2023-07-13 16:47:48
2022-03-01,1321.917,2023-07-13 16:47:48
2022-02-01,1314.838,2023-07-13 16:47:48
2022-01-01,1306.913,2023-07-13 16:47:48
2021-12-01,1308.024,2023-07-13 16:47:48
2021-11-01,1298.746,2023-07-13 16:47:48
2021-10-01,1287.067,2023-07-13 16:47:48
2021-09-01,1263.542,2023-07-13 16:47:48
2021-08-01,1254.492,2023-07-13 16:47:48
2021-07-01,1253.276,2023-07-13 16:47:48
2021-06-01,1247.577,2023-07-13 16:47:48
2021-05-01,1240.082,2023-07-13 16:47:48
2021-04-01,1238.348,2023-07-13 16:47:48
2021-03-01,1236.352,2023-07-13 16:47:48
2021-02-01,1228.75,2023-07-13 16:47:48
2021-01-01,1220.942,2023-07-13 16:47:48
2020-12-01,1199.508,2023-07-13 16:47:48
2020-11-01,1192.609,2023-07-13 16:47:48
2020-10-01,1186.127,2023-07-13 16:47:48
2020-09-01,1183.975,2023-07-13 16:47:48
2020-08-01,1180.537,2023-07-13 16:47:48
2020-07-01,1178.054,2023-07-13 16:47:48
2020-06-01,1165.761,2023-07-13 16:47:48
2020-05-01,1156.179,2023-07-13 16:47:48
2020-04-01,1159.847,2023-07-13 16:47:48
2020-03-01,1162.66,2023-07-13 16:47:48
2020-02-01,1148.752,2023-07-13 16:47:48
2020-01-01,1144.642,2023-07-13 16:47:48
2019-12-01,1141.6,2023-07-13 16:47:48
2019-11-01,1142.857,2023-07-13 16:47:48
2019-10-01,1134.55,2023-07-13 16:47:48
2019-09-01,1128.109,2023-07-13 16:47:48
2019-08-01,1124.082,2023-07-13 16:47:48
2019-07-01,1120.066,2023-07-13 16:47:48
2019-06-01,1109.099,2023-07-13 16:47:48
2019-05-01,1108.299,2023-07-13 16:47:48
2019-04-01,1105.201,2023-07-13 16:47:48
2019-03-01,1103.24,2023-07-13 16:47:48
2019-02-01,1088.195,2023-07-13 16:47:48
2019-01-01,1085.997,2023-07-13 16:47:48
2018-12-01,1082.248,2023-07-13 16:47:48
2018-11-01,1083.514,2023-07-13 16:47:48
2018-10-01,1081.193,2023-07-13 16:47:48
2018-09-01,1065.017,2023-07-13 16:47:48
2018-08-01,1064.098,2023-07-13 16:47:48
2018-07-01,1062.895,2023-07-13 16:47:48
2018-06-01,1060.067,2023-07-13 16:47:48
2018-05-01,1059.665,2023-07-13 16:47:48
2018-04-01,1056.874,2023-07-13 16:47:48
2018-03-01,1046.45,2023-07-13 16:47:48
2018-02-01,1049.343,2023-07-13 16:47:48
2018-01-01,1050.073,2023-07-13 16:47:48
2017-12-01,1046.785,2023-07-13 16:47:48
2017-11-01,1048.219,2023-07-13 16:47:48
2017-10-01,1047.932,2023-07-13 16:47:48
2017-09-01,1031.891,2023-07-13 16:47:48
