date,value,created_at
2024-01-01,33.531,2024-02-14 23:00:23
2023-12-01,33.377,2024-01-17 23:00:28
2023-11-01,33.607,2023-12-13 23:00:23
2023-10-01,33.901,2023-11-16 13:36:14
2023-09-01,34.256,2023-10-22 23:00:17
2023-08-01,34.176,2023-09-13 23:00:17
2023-07-01,34.004,2023-08-10 23:00:23
2023-06-01,34.982,2023-07-13 16:47:48
2023-05-01,35.249,2023-07-13 16:47:48
2023-04-01,35.211,2023-07-13 16:47:48
2023-03-01,35.285,2023-07-13 16:47:48
2023-02-01,35.068,2023-07-13 16:47:48
2023-01-01,34.486,2023-07-13 16:47:48
2022-12-01,34.33,2023-07-13 16:47:48
2022-11-01,34.031,2023-07-13 16:47:48
2022-10-01,34.626,2023-07-13 16:47:48
2022-09-01,34.916,2023-07-13 16:47:48
2022-08-01,34.687,2023-07-13 16:47:48
2022-07-01,34.532,2023-07-13 16:47:48
2022-06-01,34.39,2023-07-13 16:47:48
2022-05-01,34.51,2023-07-13 16:47:48
2022-04-01,34.489,2023-07-13 16:47:48
2022-03-01,34.474,2023-07-13 16:47:48
2022-02-01,34.512,2023-07-13 16:47:48
2022-01-01,34.065,2023-07-13 16:47:48
2021-12-01,33.62,2023-07-13 16:47:48
2021-11-01,33.562,2023-07-13 16:47:48
2021-10-01,33.379,2023-07-13 16:47:48
2021-09-01,33.359,2023-07-13 16:47:48
2021-08-01,33.566,2023-07-13 16:47:48
2021-07-01,33.334,2023-07-13 16:47:48
2021-06-01,33.49,2023-07-13 16:47:48
2021-05-01,34.041,2023-07-13 16:47:48
2021-04-01,34.21,2023-07-13 16:47:48
2021-03-01,33.572,2023-07-13 16:47:48
2021-02-01,33.348,2023-07-13 16:47:48
2021-01-01,33.108,2023-07-13 16:47:48
2020-12-01,32.785,2023-07-13 16:47:48
2020-11-01,33.203,2023-07-13 16:47:48
2020-10-01,33.49,2023-07-13 16:47:48
2020-09-01,33.556,2023-07-13 16:47:48
2020-08-01,33.195,2023-07-13 16:47:48
2020-07-01,32.9,2023-07-13 16:47:48
2020-06-01,32.984,2023-07-13 16:47:48
2020-05-01,33.357,2023-07-13 16:47:48
2020-04-01,33.6,2023-07-13 16:47:48
2020-03-01,33.918,2023-07-13 16:47:48
2020-02-01,34.315,2023-07-13 16:47:48
2020-01-01,34.405,2023-07-13 16:47:48
2019-12-01,33.952,2023-07-13 16:47:48
2019-11-01,34.35,2023-07-13 16:47:48
2019-10-01,34.655,2023-07-13 16:47:48
2019-09-01,34.761,2023-07-13 16:47:48
2019-08-01,34.915,2023-07-13 16:47:48
2019-07-01,34.825,2023-07-13 16:47:48
2019-06-01,35.311,2023-07-13 16:47:48
2019-05-01,35.432,2023-07-13 16:47:48
2019-04-01,35.539,2023-07-13 16:47:48
2019-03-01,36.114,2023-07-13 16:47:48
2019-02-01,36.503,2023-07-13 16:47:48
2019-01-01,36.472,2023-07-13 16:47:48
2018-12-01,36.014,2023-07-13 16:47:48
2018-11-01,35.839,2023-07-13 16:47:48
2018-10-01,36.213,2023-07-13 16:47:48
2018-09-01,36.504,2023-07-13 16:47:48
2018-08-01,36.798,2023-07-13 16:47:48
2018-07-01,37.24,2023-07-13 16:47:48
2018-06-01,37.404,2023-07-13 16:47:48
2018-05-01,37.742,2023-07-13 16:47:48
2018-04-01,38.439,2023-07-13 16:47:48
2018-03-01,38.955,2023-07-13 16:47:48
2018-02-01,39.244,2023-07-13 16:47:48
2018-01-01,38.95,2023-07-13 16:47:48
2017-12-01,38.776,2023-07-13 16:47:48
2017-11-01,39.263,2023-07-13 16:47:48
2017-10-01,39.902,2023-07-13 16:47:48
2017-09-01,39.793,2023-07-13 16:47:48
2017-08-01,39.831,2023-07-13 16:47:48
2017-07-01,40.073,2023-07-13 16:47:48
2017-06-01,40.752,2023-07-13 16:47:48
2017-05-01,41.091,2023-07-13 16:47:48
2017-04-01,41.379,2023-07-13 16:47:48
2017-03-01,41.867,2023-07-13 16:47:48
2017-02-01,42.459,2023-07-13 16:47:48
2017-01-01,42.354,2023-07-13 16:47:48
2016-12-01,41.914,2023-07-13 16:47:48
2016-11-01,42.42,2023-07-13 16:47:48
2016-10-01,42.662,2023-07-13 16:47:48
2016-09-01,43.041,2023-07-13 16:47:48
2016-08-01,43.581,2023-07-13 16:47:48
2016-07-01,43.654,2023-07-13 16:47:48
2016-06-01,44.116,2023-07-13 16:47:48
2016-05-01,44.726,2023-07-13 16:47:48
2016-04-01,44.993,2023-07-13 16:47:48
2016-03-01,45.088,2023-07-13 16:47:48
2016-02-01,45.387,2023-07-13 16:47:48
2016-01-01,45.727,2023-07-13 16:47:48
2015-12-01,45.215,2023-07-13 16:47:48
2015-11-01,45.917,2023-07-13 16:47:48
2015-10-01,46.388,2023-07-13 16:47:48
2015-09-01,46.389,2023-07-13 16:47:48
2015-08-01,46.541,2023-07-13 16:47:48
2015-07-01,47.162,2023-07-13 16:47:48
2015-06-01,47.186,2023-07-13 16:47:48
2015-05-01,47.51,2023-07-13 16:47:48
2015-04-01,47.804,2023-07-13 16:47:48
2015-03-01,47.766,2023-07-13 16:47:48
2015-02-01,47.72,2023-07-13 16:47:48
2015-01-01,48.027,2023-07-13 16:47:48
2014-12-01,47.935,2023-07-13 16:47:48
2014-11-01,47.969,2023-07-13 16:47:48
2014-10-01,48.54,2023-07-13 16:47:48
2014-09-01,48.794,2023-07-13 16:47:48
2014-08-01,49.212,2023-07-13 16:47:48
2014-07-01,49.632,2023-07-13 16:47:48
2014-06-01,49.758,2023-07-13 16:47:48
2014-05-01,49.744,2023-07-13 16:47:48
2014-04-01,49.943,2023-07-13 16:47:48
2014-03-01,50.587,2023-07-13 16:47:48
2014-02-01,50.754,2023-07-13 16:47:48
2014-01-01,50.153,2023-07-13 16:47:48
2013-12-01,49.846,2023-07-13 16:47:48
2013-11-01,50.315,2023-07-13 16:47:48
2013-10-01,50.797,2023-07-13 16:47:48
2013-09-01,51.263,2023-07-13 16:47:48
2013-08-01,51.997,2023-07-13 16:47:48
2013-07-01,52.323,2023-07-13 16:47:48
2013-06-01,52.568,2023-07-13 16:47:48
2013-05-01,52.802,2023-07-13 16:47:48
2013-04-01,52.854,2023-07-13 16:47:48
2013-03-01,52.664,2023-07-13 16:47:48
2013-02-01,52.651,2023-07-13 16:47:48
2013-01-01,52.647,2023-07-13 16:47:48
2012-12-01,52.194,2023-07-13 16:47:48
2012-11-01,52.788,2023-07-13 16:47:48
2012-10-01,53.03,2023-07-13 16:47:48
2012-09-01,53.302,2023-07-13 16:47:48
2012-08-01,53.86,2023-07-13 16:47:48
2012-07-01,54.231,2023-07-13 16:47:48
2012-06-01,54.555,2023-07-13 16:47:48
2012-05-01,54.563,2023-07-13 16:47:48
2012-04-01,54.361,2023-07-13 16:47:48
2012-03-01,54.985,2023-07-13 16:47:48
2012-02-01,55.378,2023-07-13 16:47:48
2012-01-01,54.892,2023-07-13 16:47:48
2011-12-01,54.431,2023-07-13 16:47:48
2011-11-01,54.403,2023-07-13 16:47:48
2011-10-01,55.06,2023-07-13 16:47:48
2011-09-01,55.57,2023-07-13 16:47:48
2011-08-01,56.013,2023-07-13 16:47:48
2011-07-01,56.132,2023-07-13 16:47:48
2011-06-01,56.643,2023-07-13 16:47:48
2011-05-01,56.696,2023-07-13 16:47:48
2011-04-01,56.361,2023-07-13 16:47:48
2011-03-01,56.292,2023-07-13 16:47:48
2011-02-01,56.777,2023-07-13 16:47:48
2011-01-01,56.765,2023-07-13 16:47:48
2010-12-01,56.206,2023-07-13 16:47:48
2010-11-01,56.226,2023-07-13 16:47:48
2010-10-01,57.113,2023-07-13 16:47:48
2010-09-01,57.415,2023-07-13 16:47:48
2010-08-01,57.186,2023-07-13 16:47:48
2010-07-01,57.317,2023-07-13 16:47:48
2010-06-01,57.981,2023-07-13 16:47:48
2010-05-01,58.429,2023-07-13 16:47:48
2010-04-01,58.909,2023-07-13 16:47:48
2010-03-01,58.98,2023-07-13 16:47:48
2010-02-01,58.937,2023-07-13 16:47:48
2010-01-01,58.81,2023-07-13 16:47:48
2009-12-01,58.316,2023-07-13 16:47:48
2009-11-01,58.863,2023-07-13 16:47:48
2009-10-01,59.525,2023-07-13 16:47:48
2009-09-01,60.274,2023-07-13 16:47:48
2009-08-01,60.308,2023-07-13 16:47:48
2009-07-01,60.64,2023-07-13 16:47:48
2009-06-01,60.712,2023-07-13 16:47:48
2009-05-01,60.912,2023-07-13 16:47:48
2009-04-01,60.95,2023-07-13 16:47:48
2009-03-01,60.875,2023-07-13 16:47:48
2009-02-01,60.912,2023-07-13 16:47:48
2009-01-01,60.301,2023-07-13 16:47:48
