date,value,created_at
2024-01-01,150.918,2024-02-14 23:00:23
2023-12-01,161.996,2024-01-17 23:00:29
2023-11-01,170.131,2023-12-13 23:00:23
2023-10-01,172.795,2023-11-16 13:36:14
2023-09-01,173.272,2023-10-22 23:00:17
2023-08-01,185.505,2023-09-13 23:00:17
2023-07-01,193.713,2023-08-10 23:00:24
2023-06-01,183.273,2023-07-13 16:47:48
2023-05-01,176.851,2023-07-13 16:47:48
2023-04-01,180.66,2023-07-13 16:47:48
2023-03-01,180.991,2023-07-13 16:47:48
2023-02-01,173.533,2023-07-13 16:47:48
2023-01-01,175.721,2023-07-13 16:47:48
2022-12-01,184.218,2023-07-13 16:47:48
2022-11-01,190.603,2023-07-13 16:47:48
2022-10-01,191.128,2023-07-13 16:47:48
2022-09-01,189.605,2023-07-13 16:47:48
2022-08-01,199.001,2023-07-13 16:47:48
2022-07-01,208.66,2023-07-13 16:47:48
2022-06-01,209.314,2023-07-13 16:47:48
2022-05-01,201.928,2023-07-13 16:47:48
2022-04-01,203.44,2023-07-13 16:47:48
2022-03-01,198.632,2023-07-13 16:47:48
2022-02-01,175.002,2023-07-13 16:47:48
2022-01-01,172.565,2023-07-13 16:47:48
2021-12-01,193.747,2023-07-13 16:47:48
2021-11-01,202.687,2023-07-13 16:47:48
2021-10-01,198.085,2023-07-13 16:47:48
2021-09-01,192.339,2023-07-13 16:47:48
2021-08-01,212.07,2023-07-13 16:47:48
2021-07-01,236.797,2023-07-13 16:47:48
2021-06-01,226.888,2023-07-13 16:47:48
2021-05-01,202.64,2023-07-13 16:47:48
2021-04-01,184.21,2023-07-13 16:47:48
2021-03-01,161.023,2023-07-13 16:47:48
2021-02-01,140.829,2023-07-13 16:47:48
2021-01-01,133.433,2023-07-13 16:47:48
2020-12-01,142.452,2023-07-13 16:47:48
2020-11-01,147.717,2023-07-13 16:47:48
2020-10-01,142.362,2023-07-13 16:47:48
2020-09-01,134.635,2023-07-13 16:47:48
2020-08-01,138.973,2023-07-13 16:47:48
2020-07-01,136.483,2023-07-13 16:47:48
2020-06-01,120.904,2023-07-13 16:47:48
2020-05-01,96.609,2023-07-13 16:47:48
2020-04-01,101.088,2023-07-13 16:47:48
2020-03-01,122.708,2023-07-13 16:47:48
2020-02-01,126.263,2023-07-13 16:47:48
2020-01-01,129.538,2023-07-13 16:47:48
2019-12-01,135.33,2023-07-13 16:47:48
2019-11-01,134.654,2023-07-13 16:47:48
2019-10-01,129.79,2023-07-13 16:47:48
2019-09-01,126.641,2023-07-13 16:47:48
2019-08-01,136.209,2023-07-13 16:47:48
