date,value,created_at
2024-01-01,297.079,2024-02-14 23:00:23
2023-12-01,292.915,2024-01-17 23:00:29
2023-11-01,292.694,2023-12-13 23:00:23
2023-10-01,291.683,2023-11-16 13:36:14
2023-09-01,291.279,2023-10-22 23:00:18
2023-08-01,290.975,2023-09-13 23:00:17
2023-07-01,289.005,2023-08-10 23:00:25
2023-06-01,287.457,2023-07-13 16:47:48
2023-05-01,286.322,2023-07-13 16:47:48
2023-04-01,285.052,2023-07-13 16:47:48
2023-03-01,284.166,2023-07-13 16:47:48
2023-02-01,283.663,2023-07-13 16:47:48
2023-01-01,281.461,2023-07-13 16:47:48
2022-12-01,278.464,2023-07-13 16:47:48
2022-11-01,277.824,2023-07-13 16:47:48
2022-10-01,276.892,2023-07-13 16:47:48
2022-09-01,276.759,2023-07-13 16:47:48
2022-08-01,274.984,2023-07-13 16:47:48
2022-07-01,273.097,2023-07-13 16:47:48
2022-06-01,271.925,2023-07-13 16:47:48
2022-05-01,270.844,2023-07-13 16:47:48
2022-04-01,270.419,2023-07-13 16:47:48
2022-03-01,269.621,2023-07-13 16:47:48
2022-02-01,269.521,2023-07-13 16:47:48
2022-01-01,268.128,2023-07-13 16:47:48
2021-12-01,265.365,2023-07-13 16:47:48
2021-11-01,264.58,2023-07-13 16:47:48
2021-10-01,264.278,2023-07-13 16:47:48
2021-09-01,263.747,2023-07-13 16:47:48
2021-08-01,262.81,2023-07-13 16:47:48
2021-07-01,261.706,2023-07-13 16:47:48
2021-06-01,260.4,2023-07-13 16:47:48
2021-05-01,259.542,2023-07-13 16:47:48
2021-04-01,259.581,2023-07-13 16:47:48
2021-03-01,259.204,2023-07-13 16:47:48
2021-02-01,258.763,2023-07-13 16:47:48
2021-01-01,257.722,2023-07-13 16:47:48
2020-12-01,256.456,2023-07-13 16:47:48
2020-11-01,255.65,2023-07-13 16:47:48
2020-10-01,254.781,2023-07-13 16:47:48
2020-09-01,254.266,2023-07-13 16:47:48
2020-08-01,253.974,2023-07-13 16:47:48
2020-07-01,252.401,2023-07-13 16:47:48
2020-06-01,251.435,2023-07-13 16:47:48
2020-05-01,250.921,2023-07-13 16:47:48
2020-04-01,250.673,2023-07-13 16:47:48
2020-03-01,250.359,2023-07-13 16:47:48
2020-02-01,249.751,2023-07-13 16:47:48
2020-01-01,248.846,2023-07-13 16:47:48
2019-12-01,247.567,2023-07-13 16:47:48
2019-11-01,247.364,2023-07-13 16:47:48
2019-10-01,246.741,2023-07-13 16:47:48
2019-09-01,245.903,2023-07-13 16:47:48
2019-08-01,245.549,2023-07-13 16:47:48
2019-07-01,244.943,2023-07-13 16:47:48
2019-06-01,244.322,2023-07-13 16:47:48
2019-05-01,243.774,2023-07-13 16:47:48
2019-04-01,243.49,2023-07-13 16:47:48
2019-03-01,242.611,2023-07-13 16:47:48
2019-02-01,242.011,2023-07-13 16:47:48
2019-01-01,241.606,2023-07-13 16:47:48
2018-12-01,242.204,2023-07-13 16:47:48
2018-11-01,241.774,2023-07-13 16:47:48
2018-10-01,238.936,2023-07-13 16:47:48
2018-09-01,238.512,2023-07-13 16:47:48
2018-08-01,238.439,2023-07-13 16:47:48
2018-07-01,237.186,2023-07-13 16:47:48
2018-06-01,236.493,2023-07-13 16:47:48
2018-05-01,235.878,2023-07-13 16:47:48
2018-04-01,235.141,2023-07-13 16:47:48
2018-03-01,234.215,2023-07-13 16:47:48
2018-02-01,233.858,2023-07-13 16:47:48
2018-01-01,232.977,2023-07-13 16:47:48
2017-12-01,231.842,2023-07-13 16:47:48
2017-11-01,231.522,2023-07-13 16:47:48
2017-10-01,230.614,2023-07-13 16:47:48
2017-09-01,230.142,2023-07-13 16:47:48
2017-08-01,229.772,2023-07-13 16:47:48
2017-07-01,229.008,2023-07-13 16:47:48
2017-06-01,228.599,2023-07-13 16:47:48
2017-05-01,228.396,2023-07-13 16:47:48
2017-04-01,228.133,2023-07-13 16:47:48
2017-03-01,227.553,2023-07-13 16:47:48
2017-02-01,227.277,2023-07-13 16:47:48
2017-01-01,226.411,2023-07-13 16:47:48
2016-12-01,224.745,2023-07-13 16:47:48
2016-11-01,224.399,2023-07-13 16:47:48
2016-10-01,223.42,2023-07-13 16:47:48
2016-09-01,223.111,2023-07-13 16:47:48
2016-08-01,222.554,2023-07-13 16:47:48
2016-07-01,221.358,2023-07-13 16:47:48
2016-06-01,221.396,2023-07-13 16:47:48
2016-05-01,221.36,2023-07-13 16:47:48
2016-04-01,220.506,2023-07-13 16:47:48
2016-03-01,219.649,2023-07-13 16:47:48
2016-02-01,219.036,2023-07-13 16:47:48
2016-01-01,218.37,2023-07-13 16:47:48
2015-12-01,217.386,2023-07-13 16:47:48
2015-11-01,217.004,2023-07-13 16:47:48
2015-10-01,216.38,2023-07-13 16:47:48
2015-09-01,216.173,2023-07-13 16:47:48
2015-08-01,215.844,2023-07-13 16:47:48
2015-07-01,213.873,2023-07-13 16:47:48
2015-06-01,212.863,2023-07-13 16:47:48
2015-05-01,212.542,2023-07-13 16:47:48
2015-04-01,212.153,2023-07-13 16:47:48
2015-03-01,211.738,2023-07-13 16:47:48
2015-02-01,211.397,2023-07-13 16:47:48
