date,value,created_at
2023-12-01,15.73,2024-02-29 15:59:33
2023-11-01,16.19,2024-02-25 13:03:54
2023-10-01,16.2,2024-02-29 15:59:33
2023-10-01,16.21,2023-12-31 23:00:54
2023-09-01,16.29,2023-11-29 23:00:30
2023-08-01,15.93,2023-10-24 23:02:07
2023-07-01,15.89,2023-10-24 23:02:07
2023-07-01,15.91,2023-09-28 23:01:12
2023-06-01,16.11,2023-09-06 16:00:45
2023-05-01,16.15,2023-10-24 23:02:07
2023-05-01,16.14,2023-07-27 23:00:14
2023-05-01,16.14,2023-07-26 23:00:14
2023-05-01,16.14,2023-07-25 23:00:15
2023-04-01,16.1,2023-10-24 23:02:07
2023-04-01,16.11,2023-07-27 23:00:14
2023-04-01,16.11,2023-07-26 23:00:14
2023-04-01,16.11,2023-07-25 23:00:15
2023-04-01,16.11,2023-07-24 23:00:14
2023-04-01,16.11,2023-07-23 23:00:08
2023-04-01,16.11,2023-07-22 23:00:09
2023-04-01,16.11,2023-07-21 23:00:09
2023-04-01,16.11,2023-07-19 23:00:13
2023-04-01,16.11,2023-07-18 23:00:13
2023-04-01,16.11,2023-07-17 23:00:15
2023-04-01,16.11,2023-07-16 23:00:05
2023-04-01,16.11,2023-07-15 23:00:15
2023-04-01,16.11,2023-07-14 23:00:09
2023-04-01,16.11,2023-07-13 04:15:06
2023-03-01,15.91,2023-10-24 23:02:07
2023-03-01,15.85,2023-07-27 23:00:14
2023-03-01,15.85,2023-07-26 23:00:14
2023-03-01,15.85,2023-07-25 23:00:15
2023-03-01,15.85,2023-07-24 23:00:14
2023-03-01,15.85,2023-07-23 23:00:08
2023-03-01,15.85,2023-07-22 23:00:09
2023-03-01,15.85,2023-07-21 23:00:09
2023-03-01,15.85,2023-07-19 23:00:13
2023-03-01,15.85,2023-07-18 23:00:13
2023-03-01,15.85,2023-07-17 23:00:15
2023-03-01,15.85,2023-07-16 23:00:05
2023-03-01,15.85,2023-07-15 23:00:15
2023-03-01,15.85,2023-07-14 23:00:09
2023-03-01,15.85,2023-07-13 04:15:06
2023-02-01,15.98,2023-10-24 23:02:07
2023-02-01,15.96,2023-07-27 23:00:14
2023-02-01,15.96,2023-07-26 23:00:14
2023-02-01,15.96,2023-07-25 23:00:15
2023-02-01,15.96,2023-07-24 23:00:14
2023-02-01,15.96,2023-07-23 23:00:08
2023-02-01,15.96,2023-07-22 23:00:09
2023-02-01,15.96,2023-07-21 23:00:09
2023-02-01,15.96,2023-07-19 23:00:13
2023-02-01,15.96,2023-07-18 23:00:13
2023-02-01,15.96,2023-07-17 23:00:15
2023-02-01,15.96,2023-07-16 23:00:05
2023-02-01,15.96,2023-07-15 23:00:15
2023-02-01,15.96,2023-07-14 23:00:09
2023-02-01,15.96,2023-07-13 04:15:06
2023-01-01,15.47,2023-07-27 23:00:14
2023-01-01,15.47,2023-07-26 23:00:14
2023-01-01,15.47,2023-07-25 23:00:15
2023-01-01,15.47,2023-07-24 23:00:14
2023-01-01,15.47,2023-07-23 23:00:08
2023-01-01,15.47,2023-07-22 23:00:09
2023-01-01,15.47,2023-07-21 23:00:09
2023-01-01,15.47,2023-07-19 23:00:13
2023-01-01,15.47,2023-07-18 23:00:13
2023-01-01,15.47,2023-07-17 23:00:15
2023-01-01,15.47,2023-07-16 23:00:05
2023-01-01,15.47,2023-07-15 23:00:15
2023-01-01,15.47,2023-07-14 23:00:09
2023-01-01,15.47,2023-07-13 04:15:06
2022-12-01,14.94,2023-10-24 23:02:07
2022-12-01,14.96,2023-07-27 23:00:14
2022-12-01,14.96,2023-07-26 23:00:14
2022-12-01,14.96,2023-07-25 23:00:15
2022-12-01,14.96,2023-07-24 23:00:14
2022-12-01,14.96,2023-07-23 23:00:08
2022-12-01,14.96,2023-07-22 23:00:09
2022-12-01,14.96,2023-07-21 23:00:09
2022-12-01,14.96,2023-07-19 23:00:13
2022-12-01,14.96,2023-07-18 23:00:13
2022-12-01,14.96,2023-07-17 23:00:15
2022-12-01,14.96,2023-07-16 23:00:05
2022-12-01,14.96,2023-07-15 23:00:15
2022-12-01,14.96,2023-07-14 23:00:09
2022-12-01,14.96,2023-07-13 04:15:06
2022-11-01,15.55,2023-10-24 23:02:07
2022-11-01,15.64,2023-07-27 23:00:14
2022-11-01,15.64,2023-07-26 23:00:14
