date,value,created_at
2023-12-01,12.94,2024-03-02 00:31:31
2023-11-01,13.37,2024-03-02 00:31:31
2023-11-01,13.36,2024-01-31 23:00:20
2023-10-01,16.71,2024-03-02 00:31:31
2023-10-01,16.69,2024-01-31 23:00:20
2023-10-01,16.7,2023-12-31 23:00:55
2023-09-01,21.86,2023-12-31 23:00:55
2023-09-01,21.85,2023-11-30 23:00:24
2023-08-01,23.23,2023-11-30 23:00:24
2023-08-01,23.22,2023-10-31 23:00:59
2023-07-01,21.85,2023-09-29 23:01:59
2023-07-01,21.98,2023-10-31 23:00:59
2023-06-01,20.12,2023-10-31 23:00:59
2023-06-01,20.16,2023-09-01 16:07:08
2023-06-01,20.11,2023-12-31 23:00:55
2023-06-01,20.13,2023-09-29 23:01:59
2023-05-01,16.69,2023-09-29 23:01:59
2023-05-01,16.7,2023-11-30 23:00:24
2023-05-01,16.71,2023-08-01 23:00:09
2023-04-01,14.47,2023-07-13 04:15:07
2023-04-01,14.45,2023-08-01 23:00:09
2023-04-01,14.41,2023-09-29 23:01:59
2023-04-01,14.4,2023-11-30 23:00:24
2023-03-01,13.8,2023-07-13 04:15:07
2023-03-01,13.76,2023-08-01 23:00:09
2023-03-01,13.75,2023-09-29 23:01:59
2023-02-01,15.01,2023-07-13 04:15:07
2023-02-01,15.0,2023-08-01 23:00:09
2023-02-01,14.98,2023-09-29 23:01:59
2023-01-01,15.28,2023-07-13 04:15:07
2023-01-01,15.25,2023-10-31 23:00:59
2023-01-01,15.22,2023-09-29 23:01:59
2022-12-01,14.74,2023-07-13 04:15:07
2022-12-01,14.68,2023-09-29 23:01:59
2022-11-01,15.63,2023-07-13 04:15:07
2022-11-01,15.55,2023-09-29 23:01:59
2022-10-01,18.61,2023-09-29 23:01:59
2022-10-01,18.72,2023-07-13 04:15:07
2022-09-01,24.5,2023-09-29 23:01:59
2022-09-01,24.65,2023-07-13 04:15:07
2022-08-01,25.34,2023-09-29 23:01:59
2022-08-01,25.52,2023-07-13 04:15:07
2022-07-01,24.55,2023-09-29 23:01:59
2022-07-01,24.73,2023-07-13 04:15:07
2022-06-01,22.69,2023-07-13 04:15:07
2022-06-01,22.5,2023-09-29 23:01:59
2022-05-01,17.76,2023-07-13 04:15:07
2022-05-01,17.67,2023-09-29 23:01:59
2022-04-01,13.97,2023-09-29 23:01:59
2022-04-01,14.01,2023-07-13 04:15:07
2022-03-01,12.98,2023-07-13 04:15:07
2022-03-01,12.94,2023-09-29 23:01:59
2022-02-01,12.18,2023-07-13 04:15:07
2022-02-01,12.14,2023-09-29 23:01:59
2022-01-01,12.02,2023-07-13 04:15:07
2022-01-01,12.04,2023-09-29 23:01:59
2021-12-01,13.08,2023-07-13 04:15:07
2021-11-01,13.12,2023-07-13 04:15:07
2021-11-01,13.11,2023-09-29 23:01:59
2021-10-01,17.4,2023-09-29 23:01:59
2021-10-01,17.41,2023-07-13 04:15:07
2021-09-01,20.15,2023-07-13 04:15:07
2021-09-01,20.13,2023-09-29 23:01:59
2021-08-01,20.86,2023-09-29 23:01:59
2021-08-01,20.88,2023-07-13 04:15:07
2021-07-01,19.83,2023-07-13 04:15:07
2021-07-01,19.81,2023-09-29 23:01:59
2021-06-01,17.74,2023-09-29 23:01:59
2021-06-01,17.64,2023-07-13 04:15:07
2021-05-01,14.08,2023-07-13 04:15:07
2021-05-01,14.07,2023-09-29 23:01:59
2021-04-01,12.27,2023-09-29 23:01:59
2021-04-01,12.21,2023-07-13 04:15:07
2021-03-01,10.48,2023-07-13 04:15:07
2021-03-01,10.47,2023-09-29 23:01:59
2021-02-01,9.28,2023-09-29 23:01:59
2021-02-01,9.29,2023-07-13 04:15:07
2021-01-01,9.62,2023-09-29 23:01:59
2021-01-01,9.63,2023-07-13 04:15:07
2020-12-01,9.75,2023-07-13 04:15:07
2020-11-01,10.99,2023-07-13 04:15:07
2020-10-01,12.26,2023-07-13 04:15:07
2020-09-01,16.85,2023-07-13 04:15:07
2020-08-01,18.27,2023-07-13 04:15:07
2020-07-01,17.49,2023-07-13 04:15:07
2020-06-01,15.33,2023-07-13 04:15:07
2020-05-01,11.79,2023-07-13 04:15:07
2020-04-01,10.42,2023-07-13 04:15:07
2020-03-01,9.8,2023-07-13 04:15:07
2020-02-01,9.19,2023-07-13 04:15:07
2020-01-01,9.43,2023-07-13 04:15:07
2019-12-01,9.3,2023-07-13 04:15:07
2019-11-01,9.33,2023-07-13 04:15:07
2019-10-01,12.5,2023-07-13 04:15:07
2019-09-01,17.61,2023-07-13 04:15:07
2019-08-01,18.37,2023-07-13 04:15:07
2019-07-01,17.74,2023-07-13 04:15:07
2019-06-01,15.6,2023-07-13 04:15:07
2019-05-01,12.76,2023-07-13 04:15:07
2019-04-01,10.85,2023-07-13 04:15:07
2019-03-01,9.42,2023-07-13 04:15:07
2019-02-01,9.4,2023-07-13 04:15:07
2019-01-01,9.36,2023-07-13 04:15:07
2018-12-01,9.62,2023-07-13 04:15:07
2018-11-01,9.42,2023-07-13 04:15:07
2018-10-01,12.22,2023-07-13 04:15:07
2018-09-01,17.23,2023-07-13 04:15:07
2018-08-01,18.56,2023-07-13 04:15:07
2018-07-01,17.85,2023-07-13 04:15:07
2018-06-01,16.47,2023-07-13 04:15:07
2018-05-01,13.52,2023-07-13 04:15:07
2018-04-01,10.05,2023-07-13 04:15:07
2018-03-01,9.76,2023-07-13 04:15:07
2018-02-01,9.63,2023-07-13 04:15:07
2018-01-01,8.9,2023-07-13 04:15:07
2017-12-01,9.29,2023-07-13 04:15:07
2017-11-01,10.14,2023-07-13 04:15:07
2017-10-01,13.39,2023-07-13 04:15:07
2017-09-01,16.92,2023-07-13 04:15:07
2017-08-01,18.22,2023-07-13 04:15:07
2017-07-01,17.86,2023-07-13 04:15:07
2017-06-01,16.06,2023-07-13 04:15:07
2017-05-01,13.25,2023-07-13 04:15:07
2017-04-01,11.34,2023-07-13 04:15:07
2017-03-01,9.86,2023-07-13 04:15:07
2017-02-01,10.01,2023-07-13 04:15:07
2017-01-01,9.32,2023-07-13 04:15:07
2016-12-01,9.06,2023-07-13 04:15:07
2016-11-01,10.77,2023-07-13 04:15:07
2016-10-01,13.74,2023-07-13 04:15:07
2016-09-01,16.78,2023-07-13 04:15:07
2016-08-01,17.6,2023-07-13 04:15:07
2016-07-01,16.56,2023-07-13 04:15:07
2016-06-01,14.43,2023-07-13 04:15:07
2016-05-01,11.62,2023-07-13 04:15:07
2016-04-01,9.65,2023-07-13 04:15:07
2016-03-01,9.19,2023-07-13 04:15:07
2016-02-01,8.36,2023-07-13 04:15:07
2016-01-01,8.28,2023-07-13 04:15:07
2015-12-01,9.27,2023-07-13 04:15:07
2015-11-01,10.02,2023-07-13 04:15:07
2015-10-01,12.6,2023-07-13 04:15:07
2015-09-01,16.4,2023-07-13 04:15:07
2015-08-01,16.88,2023-07-13 04:15:07
2015-07-01,16.28,2023-07-13 04:15:07
2015-06-01,15.07,2023-07-13 04:15:07
2015-05-01,12.73,2023-07-13 04:15:07
2015-04-01,10.43,2023-07-13 04:15:07
2015-03-01,9.28,2023-07-13 04:15:07
2015-02-01,9.08,2023-07-13 04:15:07
2015-01-01,9.5,2023-07-13 04:15:07
2014-12-01,10.01,2023-07-13 04:15:07
2014-11-01,10.19,2023-07-13 04:15:07
2014-10-01,13.11,2023-07-13 04:15:07
2014-09-01,16.27,2023-07-13 04:15:07
2014-08-01,17.41,2023-07-13 04:15:07
2014-07-01,17.23,2023-07-13 04:15:07
2014-06-01,16.13,2023-07-13 04:15:07
2014-05-01,13.6,2023-07-13 04:15:07
2014-04-01,11.76,2023-07-13 04:15:07
2014-03-01,10.7,2023-07-13 04:15:07
2014-02-01,9.77,2023-07-13 04:15:07
2014-01-01,9.26,2023-07-13 04:15:07
2013-12-01,9.14,2023-07-13 04:15:07
2013-11-01,10.04,2023-07-13 04:15:07
2013-10-01,12.38,2023-07-13 04:15:07
2013-09-01,15.69,2023-07-13 04:15:07
2013-08-01,16.43,2023-07-13 04:15:07
2013-07-01,16.3,2023-07-13 04:15:07
2013-06-01,15.02,2023-07-13 04:15:07
2013-05-01,12.61,2023-07-13 04:15:07
2013-04-01,10.43,2023-07-13 04:15:07
2013-03-01,9.35,2023-07-13 04:15:07
2013-02-01,9.23,2023-07-13 04:15:07
2013-01-01,9.15,2023-07-13 04:15:07
2012-12-01,9.8,2023-07-13 04:15:07
2012-11-01,9.99,2023-07-13 04:15:07
2012-10-01,11.68,2023-07-13 04:15:07
2012-09-01,14.72,2023-07-13 04:15:07
2012-08-01,15.82,2023-07-13 04:15:07
2012-07-01,15.13,2023-07-13 04:15:07
2012-06-01,14.18,2023-07-13 04:15:07
2012-05-01,12.61,2023-07-13 04:15:07
2012-04-01,10.94,2023-07-13 04:15:07
2012-03-01,10.41,2023-07-13 04:15:07
2012-02-01,9.47,2023-07-13 04:15:07
2012-01-01,9.62,2023-07-13 04:15:07
2011-12-01,9.83,2023-07-13 04:15:07
2011-11-01,10.78,2023-07-13 04:15:07
2011-10-01,12.85,2023-07-13 04:15:07
2011-09-01,15.63,2023-07-13 04:15:07
2011-08-01,16.67,2023-07-13 04:15:07
2011-07-01,16.14,2023-07-13 04:15:07
2011-06-01,14.7,2023-07-13 04:15:07
2011-05-01,12.5,2023-07-13 04:15:07
2011-04-01,11.27,2023-07-13 04:15:07
2011-03-01,10.43,2023-07-13 04:15:07
2011-02-01,10.14,2023-07-13 04:15:07
2011-01-01,9.9,2023-07-13 04:15:07
2010-12-01,9.98,2023-07-13 04:15:07
