date,value,created_at
2024-01-01,111.346,2024-02-14 23:00:21
2023-12-01,112.161,2024-01-17 23:00:25
2023-11-01,113.159,2023-12-13 23:00:21
2023-10-01,113.791,2023-11-16 13:36:12
2023-09-01,114.952,2023-10-22 23:00:14
2023-08-01,114.498,2023-09-13 23:00:15
2023-07-01,113.166,2023-08-10 23:00:19
2023-06-01,114.498,2023-07-13 16:47:46
2023-05-01,114.653,2023-07-13 16:47:46
2023-04-01,115.183,2023-07-13 16:47:46
2023-03-01,115.515,2023-07-13 16:47:46
2023-02-01,115.078,2023-07-13 16:47:46
2023-01-01,112.205,2023-07-13 16:47:46
2022-12-01,111.158,2023-07-13 16:47:46
2022-11-01,110.04,2023-07-13 16:47:46
2022-10-01,109.181,2023-07-13 16:47:46
2022-09-01,108.115,2023-07-13 16:47:46
2022-08-01,106.653,2023-07-13 16:47:46
2022-07-01,105.362,2023-07-13 16:47:46
2022-06-01,105.23,2023-07-13 16:47:46
2022-05-01,105.362,2023-07-13 16:47:46
2022-04-01,104.103,2023-07-13 16:47:46
2022-03-01,103.766,2023-07-13 16:47:46
2022-02-01,102.933,2023-07-13 16:47:46
2022-01-01,102.35,2023-07-13 16:47:46
2021-12-01,100.522,2023-07-13 16:47:46
2021-11-01,100.055,2023-07-13 16:47:46
2021-10-01,99.181,2023-07-13 16:47:46
2021-09-01,96.124,2023-07-13 16:47:46
2021-08-01,95.479,2023-07-13 16:47:46
2021-07-01,95.124,2023-07-13 16:47:46
2021-06-01,95.255,2023-07-13 16:47:46
2021-05-01,94.921,2023-07-13 16:47:46
2021-04-01,93.601,2023-07-13 16:47:46
2021-03-01,93.636,2023-07-13 16:47:46
2021-02-01,93.046,2023-07-13 16:47:46
2021-01-01,92.441,2023-07-13 16:47:46
2020-12-01,93.749,2023-07-13 16:47:46
2020-11-01,93.573,2023-07-13 16:47:46
2020-10-01,93.251,2023-07-13 16:47:46
2020-09-01,93.188,2023-07-13 16:47:46
2020-08-01,92.926,2023-07-13 16:47:46
2020-07-01,92.889,2023-07-13 16:47:46
2020-06-01,93.034,2023-07-13 16:47:46
2020-05-01,92.333,2023-07-13 16:47:46
2020-04-01,92.062,2023-07-13 16:47:46
2020-03-01,91.602,2023-07-13 16:47:46
2020-02-01,91.3,2023-07-13 16:47:46
2020-01-01,90.925,2023-07-13 16:47:46
2019-12-01,90.42,2023-07-13 16:47:46
2019-11-01,90.424,2023-07-13 16:47:46
2019-10-01,91.484,2023-07-13 16:47:46
2019-09-01,91.687,2023-07-13 16:47:46
2019-08-01,91.195,2023-07-13 16:47:46
2019-07-01,90.838,2023-07-13 16:47:46
2019-06-01,90.425,2023-07-13 16:47:46
2019-05-01,90.372,2023-07-13 16:47:46
2019-04-01,90.607,2023-07-13 16:47:46
2019-03-01,91.232,2023-07-13 16:47:46
2019-02-01,91.566,2023-07-13 16:47:46
2019-01-01,90.537,2023-07-13 16:47:46
2018-12-01,89.619,2023-07-13 16:47:46
2018-11-01,89.094,2023-07-13 16:47:46
2018-10-01,89.29,2023-07-13 16:47:46
2018-09-01,89.145,2023-07-13 16:47:46
2018-08-01,89.172,2023-07-13 16:47:46
2018-07-01,89.624,2023-07-13 16:47:46
2018-06-01,89.473,2023-07-13 16:47:46
2018-05-01,89.58,2023-07-13 16:47:46
2018-04-01,90.313,2023-07-13 16:47:46
2018-03-01,90.136,2023-07-13 16:47:46
2018-02-01,89.789,2023-07-13 16:47:46
2018-01-01,89.134,2023-07-13 16:47:46
2017-12-01,88.625,2023-07-13 16:47:46
2017-11-01,89.2,2023-07-13 16:47:46
2017-10-01,88.965,2023-07-13 16:47:46
2017-09-01,88.566,2023-07-13 16:47:46
2017-08-01,89.05,2023-07-13 16:47:46
2017-07-01,89.685,2023-07-13 16:47:46
2017-06-01,90.142,2023-07-13 16:47:46
2017-05-01,90.424,2023-07-13 16:47:46
2017-04-01,90.15,2023-07-13 16:47:46
2017-03-01,90.132,2023-07-13 16:47:46
2017-02-01,90.003,2023-07-13 16:47:46
2017-01-01,89.965,2023-07-13 16:47:46
2016-12-01,89.854,2023-07-13 16:47:46
2016-11-01,89.785,2023-07-13 16:47:46
2016-10-01,89.68,2023-07-13 16:47:46
2016-09-01,89.727,2023-07-13 16:47:46
2016-08-01,89.76,2023-07-13 16:47:46
2016-07-01,90.257,2023-07-13 16:47:46
2016-06-01,90.279,2023-07-13 16:47:46
2016-05-01,90.111,2023-07-13 16:47:46
2016-04-01,90.348,2023-07-13 16:47:46
2016-03-01,90.791,2023-07-13 16:47:46
2016-02-01,90.613,2023-07-13 16:47:46
2016-01-01,90.357,2023-07-13 16:47:46
2015-12-01,90.253,2023-07-13 16:47:46
2015-11-01,90.632,2023-07-13 16:47:46
2015-10-01,91.074,2023-07-13 16:47:46
2015-09-01,90.624,2023-07-13 16:47:46
2015-08-01,90.508,2023-07-13 16:47:46
2015-07-01,90.968,2023-07-13 16:47:46
2015-06-01,91.521,2023-07-13 16:47:46
2015-05-01,91.874,2023-07-13 16:47:46
2015-04-01,91.704,2023-07-13 16:47:46
2015-03-01,91.45,2023-07-13 16:47:46
2015-02-01,91.388,2023-07-13 16:47:46
2015-01-01,90.977,2023-07-13 16:47:46
2014-12-01,90.985,2023-07-13 16:47:46
2014-11-01,90.966,2023-07-13 16:47:46
2014-10-01,91.109,2023-07-13 16:47:46
2014-09-01,90.837,2023-07-13 16:47:46
2014-08-01,90.756,2023-07-13 16:47:46
2014-07-01,90.768,2023-07-13 16:47:46
2014-06-01,91.025,2023-07-13 16:47:46
2014-05-01,91.37,2023-07-13 16:47:46
2014-04-01,91.622,2023-07-13 16:47:46
2014-03-01,92.11,2023-07-13 16:47:46
2014-02-01,92.236,2023-07-13 16:47:46
2014-01-01,91.524,2023-07-13 16:47:46
2013-12-01,90.914,2023-07-13 16:47:46
2013-11-01,91.086,2023-07-13 16:47:46
2013-10-01,91.604,2023-07-13 16:47:46
2013-09-01,92.367,2023-07-13 16:47:46
2013-08-01,92.276,2023-07-13 16:47:46
2013-07-01,92.345,2023-07-13 16:47:46
2013-06-01,92.379,2023-07-13 16:47:46
2013-05-01,92.603,2023-07-13 16:47:46
2013-04-01,92.592,2023-07-13 16:47:46
2013-03-01,92.04,2023-07-13 16:47:46
2013-02-01,92.254,2023-07-13 16:47:46
2013-01-01,91.946,2023-07-13 16:47:46
