date,value,created_at
2024-01-01,377.611,2024-02-14 23:00:21
2023-09-01,370.645,2023-10-22 23:00:15
2023-08-01,364.272,2023-09-13 23:00:16
2023-07-01,374.579,2023-08-10 23:00:21
2023-05-01,343.642,2023-07-13 16:47:47
2023-03-01,324.894,2023-07-13 16:47:47
2023-01-01,319.469,2023-07-13 16:47:47
2022-10-01,310.581,2023-07-13 16:47:47
2021-05-01,282.589,2023-07-13 16:47:47
2021-04-01,282.25,2023-07-13 16:47:47
2021-03-01,275.549,2023-07-13 16:47:47
2021-02-01,274.327,2023-07-13 16:47:47
2021-01-01,272.086,2023-07-13 16:47:47
2020-11-01,269.549,2023-07-13 16:47:47
2020-09-01,269.794,2023-07-13 16:47:47
2020-08-01,268.646,2023-07-13 16:47:47
2020-07-01,268.305,2023-07-13 16:47:47
2020-06-01,268.257,2023-07-13 16:47:47
2020-05-01,268.205,2023-07-13 16:47:47
2020-04-01,271.813,2023-07-13 16:47:47
2020-03-01,271.169,2023-07-13 16:47:47
2020-02-01,270.914,2023-07-13 16:47:47
2020-01-01,271.638,2023-07-13 16:47:47
2019-12-01,270.42,2023-07-13 16:47:47
2019-11-01,270.743,2023-07-13 16:47:47
2019-10-01,269.956,2023-07-13 16:47:47
2019-08-01,274.062,2023-07-13 16:47:47
2019-06-01,278.908,2023-07-13 16:47:47
2019-05-01,272.648,2023-07-13 16:47:47
2019-04-01,272.979,2023-07-13 16:47:47
2019-03-01,256.536,2023-07-13 16:47:47
2019-02-01,256.638,2023-07-13 16:47:47
2019-01-01,257.577,2023-07-13 16:47:47
2018-12-01,254.597,2023-07-13 16:47:47
2018-11-01,250.96,2023-07-13 16:47:47
2018-10-01,251.014,2023-07-13 16:47:47
2018-09-01,252.618,2023-07-13 16:47:47
2018-08-01,252.093,2023-07-13 16:47:47
2018-07-01,258.458,2023-07-13 16:47:47
2018-06-01,256.267,2023-07-13 16:47:47
2018-05-01,256.137,2023-07-13 16:47:47
2018-04-01,256.069,2023-07-13 16:47:47
2018-03-01,255.99,2023-07-13 16:47:47
2018-02-01,255.99,2023-07-13 16:47:47
2018-01-01,243.743,2023-07-13 16:47:47
2017-12-01,243.743,2023-07-13 16:47:47
2017-11-01,241.137,2023-07-13 16:47:47
2017-10-01,241.137,2023-07-13 16:47:47
2017-09-01,241.426,2023-07-13 16:47:47
2017-08-01,241.062,2023-07-13 16:47:47
2017-07-01,241.755,2023-07-13 16:47:47
2017-06-01,241.242,2023-07-13 16:47:47
2017-05-01,239.669,2023-07-13 16:47:47
2017-04-01,237.093,2023-07-13 16:47:47
2017-03-01,236.522,2023-07-13 16:47:47
2017-02-01,233.894,2023-07-13 16:47:47
2017-01-01,233.279,2023-07-13 16:47:47
2016-12-01,233.676,2023-07-13 16:47:47
2016-11-01,230.704,2023-07-13 16:47:47
2016-10-01,229.143,2023-07-13 16:47:47
2016-09-01,225.912,2023-07-13 16:47:47
2016-08-01,225.818,2023-07-13 16:47:47
2016-07-01,225.592,2023-07-13 16:47:47
2016-06-01,225.431,2023-07-13 16:47:47
2016-05-01,224.956,2023-07-13 16:47:47
2016-04-01,221.927,2023-07-13 16:47:47
2016-03-01,224.991,2023-07-13 16:47:47
2016-02-01,224.699,2023-07-13 16:47:47
