date,value,created_at
2024-01-01,252.347,2024-02-14 23:00:22
2023-12-01,250.092,2024-01-17 23:00:27
2023-11-01,260.699,2023-12-13 23:00:22
2023-10-01,259.852,2023-11-16 13:36:13
2023-09-01,252.991,2023-10-22 23:00:16
2023-08-01,252.113,2023-09-13 23:00:16
2023-07-01,257.946,2023-08-10 23:00:23
2023-06-01,276.382,2023-07-13 16:47:47
2023-05-01,290.442,2023-07-13 16:47:47
2023-04-01,287.398,2023-07-13 16:47:47
2023-03-01,281.448,2023-07-13 16:47:47
2023-02-01,277.142,2023-07-13 16:47:47
2023-01-01,265.099,2023-07-13 16:47:47
2022-12-01,268.746,2023-07-13 16:47:47
2022-11-01,283.705,2023-07-13 16:47:47
2022-10-01,285.095,2023-07-13 16:47:47
2022-09-01,278.88,2023-07-13 16:47:47
2022-08-01,278.352,2023-07-13 16:47:47
2022-07-01,297.077,2023-07-13 16:47:47
2022-06-01,318.712,2023-07-13 16:47:47
2022-05-01,318.823,2023-07-13 16:47:47
2022-04-01,286.601,2023-07-13 16:47:47
2022-03-01,250.489,2023-07-13 16:47:47
2022-02-01,234.857,2023-07-13 16:47:47
2022-01-01,226.308,2023-07-13 16:47:47
2021-12-01,225.937,2023-07-13 16:47:47
2021-11-01,229.161,2023-07-13 16:47:47
2021-10-01,222.577,2023-07-13 16:47:47
2021-09-01,219.394,2023-07-13 16:47:47
2021-08-01,229.893,2023-07-13 16:47:47
2021-07-01,249.703,2023-07-13 16:47:47
2021-06-01,257.579,2023-07-13 16:47:47
2021-05-01,252.454,2023-07-13 16:47:47
2021-04-01,235.401,2023-07-13 16:47:47
2021-03-01,218.036,2023-07-13 16:47:47
2021-02-01,216.869,2023-07-13 16:47:47
2021-01-01,217.5,2023-07-13 16:47:47
2020-12-01,220.685,2023-07-13 16:47:47
2020-11-01,230.478,2023-07-13 16:47:47
2020-10-01,224.953,2023-07-13 16:47:47
2020-09-01,215.875,2023-07-13 16:47:47
2020-08-01,212.132,2023-07-13 16:47:47
2020-07-01,219.055,2023-07-13 16:47:47
2020-06-01,219.68,2023-07-13 16:47:47
2020-05-01,217.731,2023-07-13 16:47:47
2020-04-01,219.993,2023-07-13 16:47:47
2020-03-01,237.553,2023-07-13 16:47:47
2020-02-01,258.708,2023-07-13 16:47:47
2020-01-01,252.59,2023-07-13 16:47:47
2019-12-01,250.902,2023-07-13 16:47:47
2019-11-01,261.77,2023-07-13 16:47:47
2019-10-01,261.927,2023-07-13 16:47:47
2019-09-01,258.612,2023-07-13 16:47:47
2019-08-01,257.167,2023-07-13 16:47:47
2019-07-01,261.165,2023-07-13 16:47:47
2019-06-01,269.935,2023-07-13 16:47:47
2019-05-01,271.37,2023-07-13 16:47:47
2019-04-01,261.903,2023-07-13 16:47:47
2019-03-01,256.023,2023-07-13 16:47:47
2019-02-01,254.643,2023-07-13 16:47:47
2019-01-01,248.142,2023-07-13 16:47:47
2018-12-01,248.489,2023-07-13 16:47:47
2018-11-01,256.986,2023-07-13 16:47:47
2018-10-01,258.42,2023-07-13 16:47:47
2018-09-01,254.266,2023-07-13 16:47:47
2018-08-01,253.387,2023-07-13 16:47:47
2018-07-01,259.36,2023-07-13 16:47:47
2018-06-01,266.978,2023-07-13 16:47:47
2018-05-01,268.864,2023-07-13 16:47:47
2018-04-01,264.99,2023-07-13 16:47:47
2018-03-01,261.019,2023-07-13 16:47:47
2018-02-01,259.261,2023-07-13 16:47:47
2018-01-01,253.228,2023-07-13 16:47:47
2017-12-01,252.719,2023-07-13 16:47:47
2017-11-01,259.341,2023-07-13 16:47:47
2017-10-01,259.699,2023-07-13 16:47:47
2017-09-01,254.65,2023-07-13 16:47:47
2017-08-01,253.737,2023-07-13 16:47:47
2017-07-01,263.345,2023-07-13 16:47:47
2017-06-01,274.514,2023-07-13 16:47:47
2017-05-01,276.569,2023-07-13 16:47:47
2017-04-01,273.206,2023-07-13 16:47:47
2017-03-01,266.591,2023-07-13 16:47:47
2017-02-01,264.47,2023-07-13 16:47:47
2017-01-01,258.551,2023-07-13 16:47:47
2016-12-01,256.802,2023-07-13 16:47:47
2016-11-01,261.563,2023-07-13 16:47:47
2016-10-01,259.062,2023-07-13 16:47:47
2016-09-01,257.462,2023-07-13 16:47:47
2016-08-01,258.167,2023-07-13 16:47:47
2016-07-01,266.626,2023-07-13 16:47:47
2016-06-01,280.801,2023-07-13 16:47:47
2016-05-01,280.676,2023-07-13 16:47:47
2016-04-01,272.167,2023-07-13 16:47:47
2016-03-01,265.017,2023-07-13 16:47:47
2016-02-01,264.528,2023-07-13 16:47:47
2016-01-01,261.893,2023-07-13 16:47:47
2015-12-01,262.787,2023-07-13 16:47:47
2015-11-01,270.809,2023-07-13 16:47:47
2015-10-01,266.338,2023-07-13 16:47:47
2015-09-01,259.43,2023-07-13 16:47:47
2015-08-01,261.386,2023-07-13 16:47:47
2015-07-01,272.505,2023-07-13 16:47:47
2015-06-01,287.358,2023-07-13 16:47:47
2015-05-01,283.64,2023-07-13 16:47:47
2015-04-01,269.266,2023-07-13 16:47:47
2015-03-01,264.248,2023-07-13 16:47:47
2015-02-01,264.757,2023-07-13 16:47:47
2015-01-01,262.179,2023-07-13 16:47:47
2014-12-01,265.356,2023-07-13 16:47:47
2014-11-01,275.645,2023-07-13 16:47:47
2014-10-01,272.47,2023-07-13 16:47:47
2014-09-01,267.142,2023-07-13 16:47:47
2014-08-01,269.167,2023-07-13 16:47:47
2014-07-01,281.288,2023-07-13 16:47:47
2014-06-01,296.981,2023-07-13 16:47:47
2014-05-01,295.848,2023-07-13 16:47:47
2014-04-01,282.623,2023-07-13 16:47:47
2014-03-01,273.384,2023-07-13 16:47:47
