parent_stream,stream,weight
vehicle_purchases_net_outlay,gov_bls_other_vehicles,151000
vehicle_purchases_net_outlay,cmnme_styta_corolla_sedan_3m_avg,210850
vehicle_purchases_net_outlay,com_jdpower_us_cars_and_trucks,1588000
vehicle_purchases_net_outlay,cmnmeo_us_volkswagen_golf_3m_avg,210850
vehicle_purchases_net_outlay,com_kbb_us_cars_and_trucks,1897700
vehicle_purchases_net_outlay,gov_bls_cars_and_trucks,1897600
vehicle_purchases_net_outlay,com_cargurus_cars_and_trucks,1588000
vehicle_purchases_net_outlay,cmmiheim_us_used_cars_and_trucks,1588000
gsline_other_fuels_and_motor_oil,com_aaa_us_gasoline,1516500
gsline_other_fuels_and_motor_oil,gov_eia_gasoline,1516500
gsline_other_fuels_and_motor_oil,com_numbeo_us_gasoline_3m_avg,66000
gsline_other_fuels_and_motor_oil,gov_bls_other_fuels,33000
gsline_other_fuels_and_motor_oil,com_aaa_us_other_fuels,33000
other_vehicle_expenses,gov_bls_maintenance_and_repairs,1597000
other_vehicle_expenses,com_nielseniq_us_maintenance,177000
other_vehicle_expenses,gov_bls_vehicle_rental_3252,229000
other_vehicle_expenses,gov_bls_vehicle_rental_3255,1301000
other_vehicle_expenses,gov_bls_vehicle_insurance,3179000
other_vehicle_expenses,gov_bls_vehicle_finance_charges,521000
public_and_other_transportation,cm_numbeo_us_monthly_pass_3m_avg,53100
public_and_other_transportation,cmnmbeo_us_one_way_ticket_3m_avg,53100
public_and_other_transportation,cmnme_staxi_1hour_waiting_3m_avg,53100
public_and_other_transportation,com_numbeo_us_taxi_1km_3m_avg,53100
public_and_other_transportation,com_numbeo_us_taxi_start_3m_avg,53100
public_and_other_transportation,gvbspbi_and_other_transportation,265500
natural_gas,cmnmeo_us_basic_utilities_3m_avg,89900
natural_gas,gov_bls_natural_gas,359600
natural_gas,gov_eia_natural_gas,449500
electricity,cmnmeo_us_basic_utilities_3m_avg,329100
electricity,gov_bls_electricity,1316400
electricity,gov_eia_electricity,1645500
fuel_oil_and_other_fuels,gov_bls_fuel_oil,205200
fuel_oil_and_other_fuels,cmnmeo_us_basic_utilities_3m_avg,22800
water_and_other_public_services,cmnmeo_us_basic_utilities_3m_avg,148100
water_and_other_public_services,gov_bls_water,1332900
health_insurance,gov_bls_medical_care,6052000
medical_services,gov_bls_medical_care,1426000
drugs,gov_bls_drugs,786000
medical_supplies,gov_bls_medical_supplies,281000
household_operations,gvbsoher_household_expenses_3233,284000
household_operations,gvbsoher_household_expenses_3234,572000
household_operations,gov_bls_personal_services,535000
