date,value,created_at
2024-02-17,1472.859,2024-02-27 23:02:02
2024-02-10,1474.768,2024-02-20 23:01:47
2024-02-03,1470.513,2024-02-13 23:01:49
2024-01-27,1470.748,2024-02-06 23:01:59
2024-01-20,1478.822,2024-02-01 23:02:05
2024-01-13,1478.604,2024-01-24 23:01:46
2024-01-06,1484.948,2024-01-18 04:21:12
2023-12-30,1472.015,2024-01-18 04:21:12
2023-12-23,1503.824,2024-01-02 23:01:50
2023-12-16,1477.587,2023-12-28 23:01:45
2023-12-09,1475.938,2023-12-20 23:01:37
2023-12-02,1475.558,2023-12-12 23:01:54
2023-11-25,1465.911,2023-12-05 23:01:24
2023-11-18,1467.5,2023-12-05 23:01:24
2023-11-11,1467.325,2023-11-22 23:01:35
2023-11-04,1469.528,2023-11-14 23:01:55
2023-10-28,1459.901,2023-11-07 23:01:51
2023-10-21,1460.365,2023-11-02 23:01:42
2023-10-14,1463.281,2023-10-25 23:01:29
2023-10-07,1465.388,2023-10-18 23:01:27
2023-09-30,1455.956,2023-10-10 23:01:31
2023-09-23,1455.127,2023-10-03 23:01:39
2023-09-16,1457.116,2023-09-28 23:01:22
2023-09-09,1457.244,2023-09-19 23:01:32
2023-09-02,1461.258,2023-09-13 23:01:26
2023-08-26,1454.062,2023-09-06 16:01:49
2023-08-19,1454.632,2023-09-04 12:01:49
2023-08-12,1451.244,2023-08-24 23:01:30
2023-08-05,1452.284,2023-08-16 23:01:16
2023-07-29,1445.226,2023-08-09 23:01:13
2023-07-22,1448.419,2023-08-04 23:01:04
2023-07-15,1449.75,2023-07-25 23:01:01
2023-07-08,1470.893,2023-07-19 23:00:50
2023-07-01,1448.481,2023-07-13 04:16:18
2023-06-24,1445.239682649505,2023-07-13 04:16:18
2023-06-17,1445.392442057103,2023-07-13 04:16:18
2023-06-10,1443.4023686912826,2023-07-13 04:16:18
2023-06-03,1447.50590517758,2023-07-13 04:16:18
2023-05-27,1444.957,2023-07-13 04:16:18
2023-05-20,1441.42,2023-07-13 04:16:18
2023-05-13,1441.212,2023-07-13 04:16:18
2023-05-06,1441.053,2023-07-13 04:16:18
2023-04-29,1432.995,2023-07-13 04:16:18
2023-04-22,1430.944,2023-07-13 04:16:18
2023-04-15,1430.334,2023-07-13 04:16:18
2023-04-08,1436.133,2023-07-13 04:16:18
2023-04-01,1426.414,2023-07-13 04:16:18
2023-03-25,1424.9,2023-07-13 04:16:18
2023-03-18,1423.753,2023-07-13 04:16:18
2023-03-11,1423.789,2023-07-13 04:16:18
2023-03-04,1425.23,2023-07-13 04:16:18
2023-02-25,1413.204,2023-07-13 04:16:18
2023-02-18,1412.459,2023-07-13 04:16:18
2023-02-11,1412.532,2023-07-13 04:16:18
2023-02-04,1410.347,2023-07-13 04:16:18
2023-01-28,1400.066,2023-07-13 04:16:18
2023-01-21,1399.749,2023-07-13 04:16:18
2023-01-14,1397.82,2023-07-13 04:16:18
2023-01-07,1404.633,2023-07-13 04:16:18
2022-12-31,1403.949,2023-07-13 04:16:18
2022-12-24,1437.928,2023-07-13 04:16:18
2022-12-17,1404.95,2023-07-13 04:16:18
2022-12-10,1400.701,2023-07-13 04:16:18
2022-12-03,1395.329,2023-07-13 04:16:18
2022-11-26,1392.973,2023-07-13 04:16:18
2022-11-19,1397.905,2023-07-13 04:16:18
2022-11-12,1393.547,2023-07-13 04:16:18
2022-11-05,1396.55,2023-07-13 04:16:18
2022-10-29,1386.453,2023-07-13 04:16:18
2022-10-22,1387.234,2023-07-13 04:16:18
2022-10-15,1384.756,2023-07-13 04:16:18
2022-10-08,1388.406,2023-07-13 04:16:18
2022-10-01,1391.862,2023-07-13 04:16:18
