date,value,created_at
2024-02-01,2.333333,2024-03-01 23:00:31
2024-01-01,2.883333,2024-02-01 23:04:50
2024-01-01,2.5,2024-02-06 23:04:43
2024-01-01,2.516667,2024-02-02 23:00:33
2023-12-01,2.925,2024-01-23 23:06:18
2023-12-01,2.533333,2024-02-02 23:00:33
2023-12-01,2.95,2024-01-01 23:04:55
2023-12-01,2.516667,2024-02-06 23:04:43
2023-12-01,2.916667,2024-02-01 23:04:50
2023-11-01,2.891667,2024-01-23 23:06:18
2023-11-01,2.916667,2024-01-01 23:04:55
2023-11-01,2.938333,2023-12-22 02:32:50
2023-11-01,2.883333,2024-02-01 23:04:50
2023-11-01,2.65,2024-02-02 23:00:33
2023-11-01,2.666667,2024-02-03 23:07:20
2023-11-01,2.608333,2024-02-06 23:04:43
2023-10-01,2.733333,2024-02-02 23:00:33
2023-10-01,2.883333,2024-01-01 23:04:55
2023-10-01,2.75,2024-02-03 23:07:20
2023-10-01,2.888333,2023-12-22 02:32:50
2023-10-01,2.691667,2024-02-06 23:04:43
2023-09-01,2.7,2024-02-02 23:00:33
2023-09-01,2.716667,2023-10-27 12:40:39
2023-09-01,2.675,2024-02-06 23:04:43
2023-08-01,2.583333,2023-10-27 12:40:39
2023-07-01,2.333333,2023-10-27 12:40:39
2023-06-01,2.333333,2023-10-27 12:40:39
2023-05-01,2.333333,2023-10-27 12:40:39
2023-04-01,2.5,2023-10-27 12:40:39
2023-03-01,2.5,2023-10-27 12:40:39
2023-02-01,2.5,2023-10-27 12:40:39
2023-01-01,2.5,2023-10-27 12:40:39
2022-12-01,2.5,2023-10-27 12:40:39
2022-11-01,2.5,2023-10-27 12:40:39
2022-10-01,2.583333,2023-10-27 12:40:39
2022-09-01,2.583333,2023-10-27 12:40:39
2022-08-01,2.525,2023-10-27 12:40:39
2022-08-01,2.5,2023-12-22 02:32:50
2022-07-01,2.416667,2023-12-22 02:32:50
2022-07-01,2.441667,2023-10-27 12:40:39
2022-06-01,2.416667,2023-12-22 02:32:50
2022-06-01,2.441667,2023-10-27 12:40:39
2022-05-01,2.416667,2023-10-27 12:40:39
2022-04-01,2.416667,2023-10-27 12:40:39
2022-03-01,2.416667,2023-10-27 12:40:39
2022-02-01,2.5,2023-10-27 12:40:39
2022-01-01,2.466667,2023-12-22 02:32:50
2022-01-01,2.441667,2023-10-27 12:40:39
2021-12-01,2.441667,2023-10-27 12:40:39
2021-12-01,2.466667,2023-12-22 02:32:50
2021-11-01,2.466667,2023-12-22 02:32:50
2021-11-01,2.441667,2023-10-27 12:40:39
2021-10-01,2.5,2023-10-27 12:40:39
2021-09-01,2.5,2023-10-27 12:40:39
2021-08-01,2.5,2023-10-27 12:40:39
2021-07-01,2.5,2023-10-27 12:40:39
2021-06-01,2.5,2023-10-27 12:40:39
2021-05-01,2.5,2023-10-27 12:40:39
2021-04-01,2.5,2023-10-27 12:40:39
2021-03-01,2.5,2023-10-27 12:40:39
2021-02-01,2.5,2023-10-27 12:40:39
2021-01-01,2.466667,2023-10-27 12:40:39
2020-12-01,2.466667,2023-10-27 12:40:39
2020-11-01,2.466667,2023-10-27 12:40:39
2020-10-01,2.5,2023-10-27 12:40:39
2020-09-01,2.5,2023-10-27 12:40:39
2020-08-01,2.5,2023-10-27 12:40:39
2020-07-01,2.5,2023-10-27 12:40:39
2020-06-01,2.5,2023-10-27 12:40:39
2020-05-01,2.5,2023-10-27 12:40:39
2020-04-01,2.5,2023-10-27 12:40:39
2020-03-01,2.5,2023-10-27 12:40:39
2020-02-01,2.5,2023-10-27 12:40:39
2020-01-01,2.5,2023-10-27 12:40:39
2019-12-01,2.5,2023-10-27 12:40:39
2019-11-01,2.5,2023-10-27 12:40:39
2019-10-01,2.5,2023-10-27 12:40:39
2019-09-01,2.583333,2023-10-27 12:40:39
2019-08-01,2.583333,2023-10-27 12:40:39
2019-07-01,2.583333,2023-10-27 12:40:39
2019-06-01,2.5,2023-10-27 12:40:39
2019-05-01,2.5,2023-10-27 12:40:39
2019-04-01,2.5,2023-10-27 12:40:39
2019-03-01,2.5,2023-10-27 12:40:39
2019-02-01,2.5,2023-10-27 12:40:39
2019-01-01,2.5,2023-10-27 12:40:39
2018-12-01,2.5,2023-10-27 12:40:39
2018-11-01,2.5,2023-10-27 12:40:39
