date,value,created_at
2024-02-01,205.679438,2024-03-01 23:00:33
2024-02-01,201.197348,2024-03-02 15:08:28
2024-01-01,243.681361,2024-02-01 23:04:51
2024-01-01,204.660818,2024-02-02 23:00:34
2024-01-01,200.740492,2024-02-06 23:04:44
2024-01-01,200.108162,2024-02-07 23:05:26
2023-12-01,261.024665,2024-01-01 23:04:56
2023-12-01,253.006939,2024-01-23 23:06:19
2023-12-01,204.526553,2024-02-06 23:04:44
2023-12-01,209.299523,2024-02-02 23:00:34
2023-12-01,247.270934,2024-02-01 23:04:51
2023-12-01,204.106016,2024-02-07 23:05:26
2023-11-01,260.587042,2024-01-01 23:04:56
2023-11-01,219.192234,2024-02-02 23:00:34
2023-11-01,262.777339,2023-12-22 02:32:51
2023-11-01,253.828345,2024-02-01 23:04:51
2023-11-01,213.604245,2024-02-06 23:04:44
2023-11-01,258.558101,2024-01-23 23:06:19
2023-10-01,239.756214,2024-02-01 23:04:51
2023-10-01,242.069213,2024-01-01 23:04:56
2023-10-01,241.66218,2024-01-23 23:06:19
2023-10-01,243.455947,2023-12-22 02:32:51
2023-10-01,212.419884,2024-02-06 23:04:44
2023-10-01,215.639181,2024-02-02 23:00:34
2023-09-01,208.047757,2024-02-06 23:04:44
2023-09-01,219.267039,2023-12-22 02:32:51
2023-09-01,209.347846,2024-02-02 23:00:34
2023-09-01,218.838861,2023-10-27 12:40:40
2023-08-01,210.820527,2023-12-22 02:32:51
2023-08-01,210.755366,2023-10-27 12:40:40
2023-08-01,207.73789,2024-02-06 23:04:44
2023-08-01,208.722277,2024-02-02 23:00:34
2023-07-01,214.709503,2023-10-27 12:40:40
2023-07-01,214.774665,2023-12-22 02:32:51
2023-07-01,212.318616,2024-02-02 23:00:34
2023-07-01,211.819299,2024-02-06 23:04:44
2023-06-01,217.83298,2023-12-22 02:32:51
2023-06-01,216.487645,2024-02-06 23:04:44
2023-06-01,216.986961,2024-02-02 23:00:34
2023-06-01,217.547234,2023-10-27 12:40:40
2023-05-01,211.048339,2023-10-27 12:40:40
2023-05-01,211.334674,2023-12-22 02:32:51
2023-05-01,210.976876,2024-02-02 23:00:34
2023-04-01,209.126045,2023-12-22 02:32:51
2023-04-01,208.83971,2023-10-27 12:40:40
2023-03-01,211.946346,2023-12-22 02:32:51
2023-03-01,212.309399,2024-02-07 23:05:26
2023-03-01,212.034529,2023-10-27 12:40:40
2023-02-01,227.361475,2024-02-07 23:05:26
2023-02-01,226.998422,2023-12-22 02:32:51
2023-02-01,227.10104,2023-10-27 12:40:40
2023-01-01,221.901973,2023-10-27 12:40:40
2023-01-01,221.799356,2023-12-22 02:32:51
2023-01-01,222.162409,2024-02-07 23:05:26
2022-12-01,222.287515,2023-12-22 02:32:51
2022-12-01,222.30136,2023-10-27 12:40:40
2022-11-01,214.527501,2023-10-27 12:40:40
