date,value,created_at
2024-02-01,2.677493,2024-03-02 15:08:25
2024-02-01,2.687184,2024-03-01 23:00:28
2024-01-01,2.940893,2024-02-01 23:04:48
2024-01-01,2.697471,2024-02-06 23:04:42
2024-01-01,2.693017,2024-02-07 23:05:24
2024-01-01,2.722728,2024-02-02 23:00:30
2023-12-01,2.974057,2024-02-01 23:04:48
2023-12-01,3.102024,2024-01-01 23:04:53
2023-12-01,2.593651,2024-02-02 23:00:30
2023-12-01,3.002031,2024-01-23 23:06:16
2023-12-01,2.554632,2024-02-07 23:05:24
2023-12-01,2.559086,2024-02-06 23:04:42
2023-11-01,2.97646,2023-12-22 02:32:49
2023-11-01,2.911479,2024-02-01 23:04:48
2023-11-01,2.50412,2024-02-06 23:04:42
2023-11-01,2.542225,2024-02-02 23:00:30
2023-11-01,2.939453,2024-01-23 23:06:16
2023-10-01,2.533922,2024-02-02 23:00:30
2023-10-01,2.84247,2024-01-23 23:06:16
2023-10-01,2.521073,2024-02-06 23:04:42
2023-10-01,2.86278,2023-12-22 02:32:49
2023-10-01,2.83271,2024-02-01 23:04:48
2023-09-01,2.714968,2023-10-27 12:40:37
2023-09-01,2.725148,2023-12-22 02:32:49
2023-09-01,2.660248,2024-02-02 23:00:30
2023-09-01,2.65337,2024-02-06 23:04:42
2023-08-01,2.423818,2023-10-27 12:40:37
2023-08-01,2.423124,2023-12-22 02:32:49
2023-08-01,2.403618,2024-02-06 23:04:42
2023-08-01,2.406954,2024-02-02 23:00:30
2023-07-01,2.521069,2023-10-27 12:40:37
2023-07-01,2.535073,2023-12-22 02:32:49
2023-07-01,2.518903,2024-02-02 23:00:30
2023-07-01,2.515568,2024-02-06 23:04:42
2023-06-01,2.599387,2023-10-27 12:40:37
2023-06-01,2.613391,2023-12-22 02:32:49
2023-05-01,3.1111,2023-12-22 02:32:49
2023-05-01,3.097095,2023-10-27 12:40:37
2023-04-01,3.069179,2023-10-27 12:40:37
2023-03-01,3.05743,2023-10-27 12:40:37
2023-02-01,2.950717,2023-10-27 12:40:37
2023-01-01,2.965046,2023-10-27 12:40:37
2022-12-01,2.901274,2024-01-01 23:04:53
2022-12-01,2.873263,2023-10-27 12:40:37
2022-11-01,2.922169,2023-10-27 12:40:37
2022-11-01,2.950181,2024-01-01 23:04:53
2022-10-01,2.695293,2023-10-27 12:40:37
2022-10-01,2.723304,2024-01-01 23:04:53
2022-09-01,2.61286,2023-10-27 12:40:37
2022-08-01,2.402789,2023-10-27 12:40:37
2022-07-01,2.50995,2023-10-27 12:40:37
2022-06-01,2.635071,2023-10-27 12:40:37
2022-05-01,2.682543,2023-10-27 12:40:37
2022-04-01,2.691769,2023-10-27 12:40:37
2022-03-01,2.62008,2023-10-27 12:40:37
2022-02-01,2.745651,2023-10-27 12:40:37
2022-01-01,2.701426,2023-10-27 12:40:37
2021-12-01,2.81578,2023-10-27 12:40:37
2021-11-01,2.65666,2023-10-27 12:40:37
2021-10-01,2.725555,2023-10-27 12:40:37
2021-09-01,2.702955,2023-10-27 12:40:37
2021-08-01,2.750472,2023-10-27 12:40:37
2021-07-01,2.663841,2023-10-27 12:40:37
2021-06-01,2.630592,2023-10-27 12:40:37
2021-05-01,2.615931,2023-10-27 12:40:37
2021-04-01,2.60692,2023-10-27 12:40:37
2021-03-01,2.606858,2023-10-27 12:40:37
2021-02-01,2.606771,2023-10-27 12:40:37
2021-01-01,2.51374,2023-10-27 12:40:37
2020-12-01,2.449689,2023-10-27 12:40:37
2020-11-01,2.437546,2023-10-27 12:40:37
2020-10-01,2.544656,2023-10-27 12:40:37
2020-09-01,2.470699,2023-10-27 12:40:37
2020-08-01,2.427293,2023-10-27 12:40:37
2020-07-01,2.384107,2023-10-27 12:40:37
2020-06-01,2.439981,2023-10-27 12:40:37
2020-05-01,2.45697,2023-10-27 12:40:37
2020-04-01,2.43738,2023-10-27 12:40:37
2020-03-01,2.468872,2023-10-27 12:40:37
2020-02-01,2.531562,2023-10-27 12:40:37
2020-01-01,2.669225,2023-10-27 12:40:37
2019-12-01,2.677593,2023-10-27 12:40:37
2019-11-01,2.678569,2023-10-27 12:40:37
2019-10-01,2.626468,2023-10-27 12:40:37
2019-09-01,2.68287,2023-10-27 12:40:37
2019-08-01,2.695817,2023-10-27 12:40:37
2019-07-01,2.615132,2023-10-27 12:40:37
2019-06-01,2.459883,2023-10-27 12:40:37
2019-05-01,2.343603,2023-10-27 12:40:37
2019-04-01,2.43162,2023-10-27 12:40:37
2019-03-01,2.481098,2023-10-27 12:40:37
2019-02-01,2.328694,2023-10-27 12:40:37
2019-01-01,2.141822,2023-10-27 12:40:37
2018-12-01,1.793636,2023-10-27 12:40:37
2018-11-01,1.750341,2023-10-27 12:40:37
2018-10-01,1.679861,2023-10-27 12:40:37
2018-09-01,1.806964,2023-10-27 12:40:37
2018-08-01,1.801187,2023-10-27 12:40:37
2018-07-01,1.922482,2023-10-27 12:40:37
2018-06-01,1.972961,2023-10-27 12:40:37
2018-05-01,2.068067,2023-10-27 12:40:37
2018-04-01,2.040527,2023-10-27 12:40:37
2018-03-01,2.124241,2023-10-27 12:40:37
2018-02-01,2.176554,2023-10-27 12:40:37
2018-01-01,2.156213,2023-10-27 12:40:37
2017-12-01,2.075078,2023-10-27 12:40:37
2017-11-01,2.131249,2023-10-27 12:40:37
2017-10-01,2.063328,2023-10-27 12:40:37
2017-09-01,2.149344,2023-10-27 12:40:37
2017-08-01,2.053249,2023-10-27 12:40:37
2017-07-01,2.118886,2023-10-27 12:40:37
2017-06-01,2.126013,2023-10-27 12:40:37
2017-05-01,2.1512,2023-10-27 12:40:37
2017-04-01,2.101911,2023-10-27 12:40:37
2017-03-01,2.0394,2023-10-27 12:40:37
2017-02-01,2.073917,2023-10-27 12:40:37
2017-01-01,2.137968,2023-10-27 12:40:37
2016-12-01,2.12551,2023-10-27 12:40:37
2016-11-01,2.111756,2023-10-27 12:40:37
2016-10-01,2.132082,2023-10-27 12:40:37
2016-09-01,2.15937,2023-10-27 12:40:37
2016-08-01,2.167056,2023-10-27 12:40:37
2016-07-01,2.074212,2023-10-27 12:40:37
2016-06-01,2.078935,2023-10-27 12:40:37
2016-05-01,2.050936,2023-10-27 12:40:37
2016-04-01,2.150205,2023-10-27 12:40:37
2016-03-01,2.148282,2023-10-27 12:40:37
2016-02-01,2.150449,2023-10-27 12:40:37
2016-01-01,2.147363,2023-10-27 12:40:37
2015-12-01,2.118629,2023-10-27 12:40:37
2015-11-01,2.066734,2023-10-27 12:40:37
2015-10-01,2.036572,2023-10-27 12:40:37
