date,value,created_at
2024-02-28,125.952,2024-02-29 23:01:56
2024-02-27,125.037,2024-02-28 23:01:54
2024-02-26,124.207,2024-02-27 23:01:57
2024-02-25,123.92,2024-02-26 23:01:50
2024-02-24,123.888,2024-02-25 23:01:50
2024-02-23,123.973,2024-02-24 23:01:55
2024-02-22,124.083,2024-02-23 23:01:53
2024-02-21,124.193,2024-02-22 23:01:54
2024-02-20,124.33,2024-02-21 23:02:01
2024-02-19,124.386,2024-02-20 23:01:42
2024-02-18,124.502,2024-02-19 23:01:51
2024-02-17,124.528,2024-02-18 23:01:43
2024-02-16,124.635,2024-02-17 23:01:46
2024-02-15,124.698,2024-02-16 23:01:44
2024-02-14,124.457,2024-02-15 23:01:42
2024-02-13,123.658,2024-02-14 23:01:49
2024-02-12,122.516,2024-02-13 23:01:45
2024-02-11,121.446,2024-02-12 23:01:48
2024-02-10,121.218,2024-02-11 23:01:56
2024-02-09,120.985,2024-02-10 23:01:57
2024-02-08,120.366,2024-02-09 23:02:04
2024-02-07,119.904,2024-02-08 23:01:54
2024-02-06,119.726,2024-02-07 23:01:52
2024-02-05,119.594,2024-02-06 23:01:55
2024-02-04,119.704,2024-02-05 23:02:01
2024-02-03,119.699,2024-02-04 23:01:55
2024-02-02,119.804,2024-02-03 23:01:52
2024-02-01,119.941,2024-02-02 23:02:03
2024-01-31,119.794,2024-02-01 23:01:59
2024-01-30,119.447,2024-01-31 23:01:59
2024-01-29,118.847,2024-01-30 23:01:47
2024-01-28,118.18,2024-01-29 23:01:47
2024-01-27,118.071,2024-01-28 23:01:54
2024-01-26,118.081,2024-01-27 23:01:43
2024-01-25,118.086,2024-01-26 23:01:46
2024-01-24,118.059,2024-01-25 23:01:45
2024-01-23,117.839,2024-01-24 23:01:41
2024-01-22,117.387,2024-01-24 23:01:41
2024-01-21,117.113,2024-01-22 23:01:43
2024-01-20,117.173,2024-01-21 23:01:44
2024-01-19,117.345,2024-01-20 23:01:36
2024-01-18,117.55,2024-01-19 23:01:47
2024-01-17,117.767,2024-01-18 23:01:47
2024-01-16,117.546,2024-01-17 23:01:48
2024-01-15,116.941,2024-01-16 23:01:33
2024-01-14,116.773,2024-01-15 23:01:36
2024-01-13,116.852,2024-01-14 23:01:43
2024-01-12,116.951,2024-01-13 23:01:40
2024-01-11,117.061,2024-01-13 23:01:40
2024-01-10,117.186,2024-01-11 23:01:50
2024-01-09,117.209,2024-01-10 23:01:46
2024-01-08,117.191,2024-01-09 23:01:49
2024-01-07,117.128,2024-01-08 23:01:41
2024-01-06,117.249,2024-01-07 23:01:40
2024-01-05,117.406,2024-01-06 14:51:19
2024-01-04,117.564,2024-01-05 23:01:44
2024-01-03,117.636,2024-01-04 23:01:51
2024-01-02,117.775,2024-01-03 23:01:45
2024-01-01,118.115,2024-01-02 23:01:45
2023-12-31,118.351,2024-01-01 23:01:42
2023-12-30,118.469,2023-12-31 23:01:47
