date,value,created_at
2024-02-28,27343.753156,2024-02-29 23:04:28
2024-02-27,27356.17078,2024-02-28 23:04:19
2024-02-26,27364.357549,2024-02-27 23:03:56
2024-02-25,27369.502585,2024-02-26 23:04:02
2024-02-24,27368.528007,2024-02-25 23:04:07
2024-02-23,27368.229509,2024-02-24 23:03:50
2024-02-22,27369.049525,2024-02-23 23:04:27
2024-02-20,27395.183778,2024-02-21 23:03:53
2024-02-19,27404.63066,2024-02-20 23:04:03
2024-02-18,27404.363081,2024-02-19 23:04:35
2024-02-17,27401.116921,2024-02-18 23:04:23
2024-02-16,27407.974224,2024-02-17 23:04:04
2024-02-15,27421.585923,2024-02-16 23:04:21
2024-02-14,27442.011075,2024-02-15 23:03:36
2024-02-13,27466.518703,2024-02-14 23:03:40
2024-02-12,27478.027707,2024-02-13 23:04:10
2024-02-11,27479.07805,2024-02-12 23:04:32
2024-02-10,27479.632602,2024-02-11 23:04:32
2024-02-09,27487.485391,2024-02-10 23:04:15
2024-02-08,27498.099923,2024-02-09 23:04:35
2024-02-07,27512.220683,2024-02-08 23:04:50
2024-02-06,27531.725232,2024-02-07 23:04:00
2024-02-05,27541.213205,2024-02-06 23:04:41
2024-02-04,27540.615495,2024-02-05 23:04:25
2024-02-03,27540.451822,2024-02-04 23:03:56
2024-02-02,27543.557373,2024-02-03 23:04:53
2024-02-01,27555.09533,2024-02-02 23:04:16
2024-01-31,27581.858211,2024-02-01 23:04:43
2024-01-30,27625.543003,2024-01-31 23:04:19
2024-01-29,27670.755154,2024-01-30 23:04:20
2024-01-28,27700.661907,2024-01-29 23:04:46
2024-01-27,27723.644409,2024-01-28 23:04:03
2024-01-26,27749.012199,2024-01-27 23:03:40
2024-01-25,27774.353081,2024-01-26 23:04:10
2024-01-24,27801.721306,2024-01-25 23:04:46
2024-01-23,27833.826832,2024-01-24 23:03:49
2024-01-22,27855.563701,2024-01-23 23:03:53
2024-01-21,27869.947302,2024-01-22 23:04:25
2024-01-20,27885.796806,2024-01-21 23:03:57
2024-01-19,27903.086275,2024-01-20 23:03:17
2024-01-18,27922.716468,2024-01-19 23:03:37
2024-01-17,27947.995054,2024-01-18 23:03:57
2024-01-16,27978.406783,2024-01-17 23:03:34
2024-01-15,27995.08395,2024-01-16 23:03:49
2024-01-14,28002.698756,2024-01-15 23:03:37
2024-01-13,28014.071392,2024-01-14 23:03:49
2024-01-12,28035.2648,2024-01-13 23:04:03
2024-01-11,28059.390261,2024-01-12 23:05:26
2024-01-10,28085.038837,2024-01-11 23:04:34
2024-01-09,28115.63793,2024-01-10 23:04:44
2024-01-08,28134.789908,2024-01-09 23:04:57
2024-01-07,28144.908366,2024-01-08 23:04:14
2024-01-06,28160.996629,2024-01-07 23:04:16
2024-01-05,28180.3432,2024-01-06 23:03:57
2024-01-04,28196.557503,2024-01-05 23:04:19
2024-01-03,28218.392778,2024-01-04 23:04:34
2024-01-02,28235.798167,2024-01-03 23:04:54
2024-01-01,28246.719926,2024-01-02 23:04:04
