date,value,created_at
2024-02-17,226.889,2024-02-27 23:02:00
2024-02-10,225.536,2024-02-20 23:01:45
2024-02-03,223.848,2024-02-13 23:01:48
2024-01-27,224.903,2024-02-06 23:01:58
2024-01-20,225.333,2024-02-01 23:02:04
2024-01-13,224.691,2024-01-24 23:01:45
2024-01-06,224.131,2024-01-18 04:21:11
2023-12-30,229.084,2024-01-18 04:21:11
2023-12-23,236.831,2024-01-02 23:01:49
2023-12-16,232.704,2023-12-28 23:01:43
2023-12-09,230.368,2023-12-20 23:01:36
2023-12-02,230.192,2023-12-12 23:01:53
2023-11-25,227.512,2023-12-05 23:01:23
2023-11-18,226.226,2023-12-05 23:01:23
2023-11-11,225.258,2023-11-22 23:01:34
2023-11-04,226.261,2023-11-14 23:01:54
2023-10-28,223.26,2023-11-07 23:01:49
2023-10-21,225.152,2023-11-02 23:01:41
2023-10-14,224.051,2023-10-25 23:01:28
2023-10-07,221.815,2023-10-18 23:01:26
2023-09-30,223.689,2023-10-10 23:01:29
2023-09-23,222.625,2023-10-03 23:01:38
2023-09-16,221.128,2023-09-28 23:01:21
2023-09-09,219.943,2023-09-19 23:01:31
2023-09-02,219.42,2023-09-13 23:01:25
2023-08-26,220.202,2023-09-06 16:01:48
2023-08-19,219.546,2023-09-04 12:01:48
2023-08-12,219.719,2023-08-24 23:01:28
2023-08-05,220.277,2023-08-16 23:01:15
2023-07-29,219.796,2023-08-09 23:01:12
2023-07-22,219.23,2023-08-04 23:01:03
2023-07-15,219.263,2023-07-25 23:01:00
2023-07-08,219.531,2023-07-19 23:00:49
2023-07-01,220.093,2023-07-13 04:16:17
2023-06-24,221.0859768833556,2023-07-13 04:16:17
2023-06-17,219.27276236017642,2023-07-13 04:16:17
2023-06-10,219.3103260906747,2023-07-13 04:16:17
2023-06-03,220.66759766533792,2023-07-13 04:16:17
2023-05-27,221.22,2023-07-13 04:16:17
2023-05-20,222.374,2023-07-13 04:16:17
2023-05-13,222.221,2023-07-13 04:16:17
2023-05-06,223.102,2023-07-13 04:16:17
2023-04-29,222.367,2023-07-13 04:16:17
2023-04-22,220.137,2023-07-13 04:16:17
2023-04-15,220.247,2023-07-13 04:16:17
2023-04-08,222.555,2023-07-13 04:16:17
2023-04-01,222.032,2023-07-13 04:16:17
2023-03-25,221.797,2023-07-13 04:16:17
2023-03-18,222.066,2023-07-13 04:16:17
2023-03-11,221.701,2023-07-13 04:16:17
2023-03-04,223.017,2023-07-13 04:16:17
2023-02-25,221.378,2023-07-13 04:16:17
2023-02-18,226.424,2023-07-13 04:16:17
2023-02-11,220.398,2023-07-13 04:16:17
2023-02-04,221.967,2023-07-13 04:16:17
2023-01-28,222.048,2023-07-13 04:16:17
2023-01-21,220.639,2023-07-13 04:16:17
2023-01-14,219.253,2023-07-13 04:16:17
2023-01-07,220.294,2023-07-13 04:16:17
2022-12-31,223.776,2023-07-13 04:16:17
2022-12-24,231.833,2023-07-13 04:16:17
2022-12-17,227.643,2023-07-13 04:16:17
2022-12-10,226.027,2023-07-13 04:16:17
2022-12-03,223.952,2023-07-13 04:16:17
2022-11-26,222.658,2023-07-13 04:16:17
2022-11-19,221.097,2023-07-13 04:16:17
2022-11-12,220.031,2023-07-13 04:16:17
2022-11-05,220.333,2023-07-13 04:16:17
2022-10-29,220.34,2023-07-13 04:16:17
2022-10-22,217.379,2023-07-13 04:16:17
2022-10-15,217.699,2023-07-13 04:16:17
2022-10-08,215.696,2023-07-13 04:16:17
2022-10-01,215.669,2023-07-13 04:16:17
2022-09-24,215.508,2023-07-13 04:16:17
2022-09-17,214.596,2023-07-13 04:16:17
2022-09-10,212.734,2023-07-13 04:16:17
2022-09-03,211.982,2023-07-13 04:16:17
2022-08-27,212.218,2023-07-13 04:16:17
2022-08-20,211.889,2023-07-13 04:16:17
2022-08-13,211.356,2023-07-13 04:16:17
2022-08-06,210.233,2023-07-13 04:16:17
2022-07-30,210.078,2023-07-13 04:16:17
2022-07-23,208.233,2023-07-13 04:16:17
2022-07-16,207.352,2023-07-13 04:16:17
2022-07-09,206.412,2023-07-13 04:16:17
2022-07-02,206.962,2023-07-13 04:16:17
2022-06-25,207.656,2023-07-13 04:16:17
2022-06-18,205.617,2023-07-13 04:16:17
2022-06-11,202.894,2023-07-13 04:16:17
2022-06-04,203.868,2023-07-13 04:16:17
2022-05-28,203.703,2023-07-13 04:16:17
2022-05-21,202.917,2023-07-13 04:16:17
2022-05-14,202.655,2023-07-13 04:16:17
2022-05-07,203.71,2023-07-13 04:16:17
2022-04-30,203.314,2023-07-13 04:16:17
2022-04-23,201.871,2023-07-13 04:16:17
2022-04-16,201.207,2023-07-13 04:16:17
2022-04-09,200.031,2023-07-13 04:16:17
2022-04-02,199.339,2023-07-13 04:16:17
2022-03-26,199.584,2023-07-13 04:16:17
2022-03-19,199.776,2023-07-13 04:16:17
2022-03-12,198.032,2023-07-13 04:16:17
2022-03-05,198.76,2023-07-13 04:16:17
2022-02-26,199.686,2023-07-13 04:16:17
2022-02-19,198.514,2023-07-13 04:16:17
2022-02-12,198.045,2023-07-13 04:16:17
2022-02-05,195.125,2023-07-13 04:16:17
2022-01-29,197.236,2023-07-13 04:16:17
2022-01-22,196.09,2023-07-13 04:16:17
2022-01-15,195.486,2023-07-13 04:16:17
2022-01-08,194.447,2023-07-13 04:16:17
2022-01-01,195.427,2023-07-13 04:16:17
2021-12-25,201.198,2023-07-13 04:16:17
2021-12-18,199.711,2023-07-13 04:16:17
2021-12-11,196.606,2023-07-13 04:16:17
2021-12-04,196.294,2023-07-13 04:16:17
2021-11-27,195.522,2023-07-13 04:16:17
2021-11-20,194.179,2023-07-13 04:16:17
2021-11-13,193.392,2023-07-13 04:16:17
2021-11-06,193.967,2023-07-13 04:16:17
2021-10-30,193.126,2023-07-13 04:16:17
2021-10-23,192.692,2023-07-13 04:16:17
2021-10-16,191.15,2023-07-13 04:16:17
2021-10-09,190.195,2023-07-13 04:16:17
2021-10-02,190.278,2023-07-13 04:16:17
2021-09-25,189.462,2023-07-13 04:16:17
2021-09-18,188.194,2023-07-13 04:16:17
2021-09-11,187.311,2023-07-13 04:16:17
2021-09-04,186.91,2023-07-13 04:16:17
2021-08-28,187.599,2023-07-13 04:16:17
2021-08-21,188.027,2023-07-13 04:16:17
2021-08-14,186.51,2023-07-13 04:16:17
2021-08-07,186.227,2023-07-13 04:16:17
2021-07-31,185.81,2023-07-13 04:16:17
2021-07-24,184.776,2023-07-13 04:16:17
2021-07-17,184.94,2023-07-13 04:16:17
2021-07-10,182.329,2023-07-13 04:16:17
2021-07-03,183.991,2023-07-13 04:16:17
2021-06-26,184.451,2023-07-13 04:16:17
2021-06-19,184.42,2023-07-13 04:16:17
2021-06-12,182.948,2023-07-13 04:16:17
2021-06-05,183.829,2023-07-13 04:16:17
2021-05-29,183.496,2023-07-13 04:16:17
2021-05-22,183.556,2023-07-13 04:16:17
2021-05-15,181.968,2023-07-13 04:16:17
2021-05-08,185.217,2023-07-13 04:16:17
2021-05-01,183.327,2023-07-13 04:16:17
2021-04-24,182.57,2023-07-13 04:16:17
2021-04-17,183.27,2023-07-13 04:16:17
2021-04-10,182.277,2023-07-13 04:16:17
2021-04-03,184.124,2023-07-13 04:16:17
2021-03-27,183.789,2023-07-13 04:16:17
2021-03-20,182.885,2023-07-13 04:16:17
2021-03-13,181.986,2023-07-13 04:16:17
2021-03-06,182.822,2023-07-13 04:16:17
2021-02-27,182.633,2023-07-13 04:16:17
2021-02-20,181.79,2023-07-13 04:16:17
2021-02-13,181.619,2023-07-13 04:16:17
2021-02-06,180.875,2023-07-13 04:16:17
2021-01-30,180.871,2023-07-13 04:16:17
2021-01-23,180.062,2023-07-13 04:16:17
2021-01-16,180.062,2023-07-13 04:16:17
2021-01-09,179.652,2023-07-13 04:16:17
2021-01-02,179.789,2023-07-13 04:16:17
2021-01-01,179.789,2023-07-13 04:16:17
2020-12-01,177.539,2023-07-13 04:16:17
2020-11-01,175.869,2023-07-13 04:16:17
2020-10-01,178.4,2023-07-13 04:16:17
2020-09-01,177.848,2023-07-13 04:16:17
2020-08-01,178.684,2023-07-13 04:16:17
2020-07-01,178.167,2023-07-13 04:16:17
2020-06-01,179.19,2023-07-13 04:16:17
2020-05-01,178.234,2023-07-13 04:16:17
2020-04-01,179.235,2023-07-13 04:16:17
2020-03-01,174.454,2023-07-13 04:16:17
2020-02-01,173.194,2023-07-13 04:16:17
2020-01-01,172.313,2023-07-13 04:16:17
2019-12-01,170.006,2023-07-13 04:16:17
2019-11-01,170.675,2023-07-13 04:16:17
2019-10-01,170.842,2023-07-13 04:16:17
2019-09-01,170.63,2023-07-13 04:16:17
2019-08-01,170.067,2023-07-13 04:16:17
2019-07-01,169.685,2023-07-13 04:16:17
2019-06-01,170.23,2023-07-13 04:16:17
2019-05-01,171.26,2023-07-13 04:16:17
2019-04-01,170.727,2023-07-13 04:16:17
2019-03-01,172.06,2023-07-13 04:16:17
2019-02-01,172.488,2023-07-13 04:16:17
2019-01-01,171.354,2023-07-13 04:16:17
2018-12-01,168.339,2023-07-13 04:16:17
2018-11-01,167.891,2023-07-13 04:16:17
2018-10-01,169.57,2023-07-13 04:16:17
2018-09-01,168.428,2023-07-13 04:16:17
2018-08-01,167.231,2023-07-13 04:16:17
2018-07-01,166.577,2023-07-13 04:16:17
2018-06-01,166.431,2023-07-13 04:16:17
2018-05-01,166.401,2023-07-13 04:16:17
2018-04-01,167.041,2023-07-13 04:16:17
2018-03-01,167.758,2023-07-13 04:16:17
2018-02-01,167.736,2023-07-13 04:16:17
