date,value,created_at
2024-02-01,5.266426,2024-03-01 23:00:39
2024-02-01,5.228198,2024-03-02 15:08:32
2024-01-01,5.58778,2024-02-01 23:04:54
2024-01-01,5.287011,2024-02-02 23:00:39
2024-01-01,5.243556,2024-02-07 23:05:29
2024-01-01,5.246712,2024-02-06 23:04:47
2023-12-01,5.256922,2024-02-02 23:00:39
2023-12-01,5.218463,2024-02-06 23:04:47
2023-12-01,5.537281,2024-02-01 23:04:54
2023-12-01,5.653345,2024-01-01 23:04:59
2023-12-01,5.215307,2024-02-07 23:05:29
2023-12-01,5.588496,2024-01-23 23:06:22
2023-11-01,5.302917,2024-02-02 23:00:39
2023-11-01,5.601509,2024-02-01 23:04:54
2023-11-01,5.64734,2024-01-23 23:06:22
2023-11-01,5.667316,2024-01-01 23:04:59
2023-11-01,5.256124,2024-02-06 23:04:47
2023-11-01,5.690087,2023-12-22 02:32:53
2023-10-01,5.233887,2024-02-06 23:04:47
2023-10-01,5.506289,2024-02-01 23:04:54
2023-10-01,5.541327,2023-12-22 02:32:53
2023-10-01,5.267653,2024-02-02 23:00:39
2023-10-01,5.532462,2024-01-23 23:06:22
2023-10-01,5.535128,2024-01-01 23:04:59
2023-09-01,5.321952,2024-01-23 23:06:22
2023-09-01,5.319555,2024-02-01 23:04:54
2023-09-01,5.318715,2023-10-27 12:40:42
2023-09-01,5.318307,2023-12-22 02:32:53
2023-09-01,5.217515,2024-02-06 23:04:47
2023-09-01,5.230567,2024-02-02 23:00:39
2023-08-01,5.287852,2023-12-22 02:32:53
2023-08-01,5.284274,2023-10-27 12:40:42
2023-08-01,5.285456,2024-02-01 23:04:54
2023-08-01,5.254007,2024-02-02 23:00:39
2023-08-01,5.243126,2024-02-06 23:04:47
2023-07-01,5.240323,2023-12-22 02:32:53
2023-07-01,5.204757,2024-02-02 23:00:39
2023-07-01,5.236744,2023-10-27 12:40:42
2023-07-01,5.196319,2024-02-06 23:04:47
2023-06-01,5.301299,2024-02-06 23:04:47
2023-06-01,5.328139,2023-10-27 12:40:42
2023-06-01,5.307462,2024-02-02 23:00:39
2023-05-01,5.230746,2023-12-22 02:32:53
2023-05-01,5.226628,2024-02-02 23:00:39
2023-05-01,5.235462,2023-10-27 12:40:42
2023-04-01,5.264595,2023-10-27 12:40:42
2023-04-01,5.263725,2023-12-22 02:32:53
2023-03-01,5.132536,2023-12-22 02:32:53
2023-03-01,5.131194,2023-10-27 12:40:42
2023-02-01,5.229769,2023-10-27 12:40:42
2023-02-01,5.238876,2024-02-17 23:04:54
2023-02-01,5.235827,2023-12-22 02:32:53
2023-01-01,5.163811,2024-02-17 23:04:54
2023-01-01,5.160762,2023-12-22 02:32:53
2023-01-01,5.15855,2023-10-27 12:40:42
2022-12-01,5.092995,2023-10-27 12:40:42
2022-12-01,5.089252,2023-12-22 02:32:53
2022-12-01,5.092301,2024-02-17 23:04:54
2022-11-01,4.997055,2023-12-22 02:32:53
2022-11-01,5.000522,2023-10-27 12:40:42
2022-10-01,4.998087,2023-12-22 02:32:53
2022-10-01,5.006936,2023-10-27 12:40:42
2022-09-01,5.012741,2024-02-07 23:05:29
