date,value,created_at
2024-02-01,14.166667,2024-03-01 23:00:36
2024-01-01,14.833333,2024-02-01 23:04:52
2024-01-01,14.333333,2024-02-06 23:04:45
2024-01-01,14.5,2024-02-02 23:00:36
2023-12-01,14.333333,2024-02-06 23:04:45
2023-12-01,14.833333,2024-01-01 23:04:57
2023-12-01,14.5,2024-02-02 23:00:36
2023-11-01,14.833333,2023-12-22 02:32:52
2023-11-01,14.5,2024-02-02 23:00:36
2023-11-01,14.333333,2024-02-06 23:04:45
2023-10-01,14.3575,2024-02-02 23:00:36
2023-10-01,14.190833,2024-02-06 23:04:45
2023-10-01,14.690833,2023-12-22 02:32:52
2023-09-01,14.666667,2023-10-27 12:40:41
2023-09-01,14.690833,2023-12-22 02:32:52
2023-09-01,14.524167,2024-02-02 23:00:36
2023-08-01,14.666667,2023-10-27 12:40:41
2023-08-01,14.690833,2023-12-22 02:32:52
2023-07-01,14.333333,2023-10-27 12:40:41
2023-07-01,14.3575,2023-12-22 02:32:52
2023-06-01,14.3575,2023-12-22 02:32:52
2023-06-01,14.333333,2023-10-27 12:40:41
2023-05-01,14.3575,2023-12-22 02:32:52
2023-05-01,14.333333,2023-10-27 12:40:41
2023-04-01,14.5,2023-10-27 12:40:41
2023-03-01,14.333333,2023-10-27 12:40:41
2023-02-01,14.166667,2023-10-27 12:40:41
2023-01-01,14.333333,2023-10-27 12:40:41
2022-12-01,14.165833,2023-10-27 12:40:41
2022-11-01,13.999167,2023-10-27 12:40:41
2022-11-01,13.949167,2023-12-22 02:32:52
2022-10-01,13.7825,2023-12-22 02:32:52
2022-10-01,13.8325,2023-10-27 12:40:41
2022-09-01,13.573333,2023-12-22 02:32:52
2022-09-01,13.623333,2023-10-27 12:40:41
2022-08-01,13.74,2023-12-22 02:32:52
2022-08-01,13.79,2023-10-27 12:40:41
2022-07-01,13.406667,2023-12-22 02:32:52
2022-07-01,13.456667,2023-10-27 12:40:41
2022-06-01,13.405833,2023-10-27 12:40:41
2022-06-01,13.355833,2023-12-22 02:32:52
2022-05-01,13.0725,2023-10-27 12:40:41
2022-04-01,12.9775,2023-10-27 12:40:41
2022-03-01,12.853333,2023-10-27 12:40:41
2022-02-01,12.67,2023-10-27 12:40:41
2022-01-01,12.836667,2023-10-27 12:40:41
2021-12-01,12.555,2023-10-27 12:40:41
2021-11-01,12.721667,2023-10-27 12:40:41
2021-10-01,12.65,2023-10-27 12:40:41
2021-09-01,12.65,2023-10-27 12:40:41
2021-08-01,12.5,2023-10-27 12:40:41
2021-07-01,12.333333,2023-10-27 12:40:41
2021-06-01,12.333333,2023-10-27 12:40:41
2021-05-01,12.166667,2023-10-27 12:40:41
2021-04-01,12.0,2023-10-27 12:40:41
2021-03-01,12.083333,2023-10-27 12:40:41
2021-02-01,12.083333,2023-10-27 12:40:41
2021-01-01,12.083333,2023-10-27 12:40:41
2020-12-01,12.083333,2023-10-27 12:40:41
2020-11-01,12.083333,2023-10-27 12:40:41
2020-10-01,12.083333,2023-10-27 12:40:41
2020-09-01,12.0,2023-10-27 12:40:41
2020-08-01,12.0,2023-10-27 12:40:41
2020-07-01,12.083333,2023-10-27 12:40:41
2020-06-01,12.083333,2023-10-27 12:40:41
2020-05-01,12.083333,2023-10-27 12:40:41
2020-04-01,12.083333,2023-10-27 12:40:41
2020-03-01,12.166667,2023-10-27 12:40:41
2020-02-01,12.166667,2023-10-27 12:40:41
2020-01-01,12.151667,2023-10-27 12:40:41
2019-12-01,12.151667,2023-10-27 12:40:41
2019-11-01,12.151667,2023-10-27 12:40:41
2019-10-01,12.151667,2023-10-27 12:40:41
2019-09-01,12.068333,2023-10-27 12:40:41
2019-08-01,12.068333,2023-10-27 12:40:41
2019-07-01,12.0,2023-10-27 12:40:41
2019-06-01,12.0,2023-10-27 12:40:41
2019-05-01,12.0,2023-10-27 12:40:41
2019-04-01,12.0,2023-10-27 12:40:41
2019-03-01,12.0,2023-10-27 12:40:41
2019-02-01,12.0,2023-10-27 12:40:41
2019-01-01,12.0,2023-10-27 12:40:41
2018-12-01,12.0,2023-10-27 12:40:41
2018-11-01,12.0,2023-10-27 12:40:41
2018-10-01,12.0,2023-10-27 12:40:41
2018-09-01,12.0,2023-10-27 12:40:41
2018-08-01,12.0,2023-10-27 12:40:41
2018-07-01,12.0,2023-10-27 12:40:41
2018-06-01,12.0,2023-10-27 12:40:41
2018-05-01,12.0,2023-10-27 12:40:41
2018-04-01,12.0,2023-10-27 12:40:41
2018-03-01,12.0,2023-10-27 12:40:41
2018-02-01,12.0,2023-10-27 12:40:41
2018-01-01,12.0,2023-10-27 12:40:41
2017-12-01,12.0,2023-10-27 12:40:41
2017-11-01,12.0,2023-10-27 12:40:41
2017-10-01,12.0,2023-10-27 12:40:41
2017-09-01,12.0,2023-10-27 12:40:41
2017-08-01,12.0,2023-10-27 12:40:41
2017-07-01,12.0,2023-10-27 12:40:41
2017-06-01,12.0,2023-10-27 12:40:41
2017-05-01,12.0,2023-10-27 12:40:41
2017-04-01,12.0,2023-10-27 12:40:41
2017-03-01,11.833333,2023-10-27 12:40:41
2017-02-01,11.833333,2023-10-27 12:40:41
2017-01-01,11.833333,2023-10-27 12:40:41
2016-12-01,11.833333,2023-10-27 12:40:41
2016-11-01,11.833333,2023-10-27 12:40:41
2016-10-01,11.833333,2023-10-27 12:40:41
2016-09-01,12.0,2023-10-27 12:40:41
2016-08-01,12.0,2023-10-27 12:40:41
2016-07-01,12.0,2023-10-27 12:40:41
2016-06-01,12.0,2023-10-27 12:40:41
2016-05-01,12.0,2023-10-27 12:40:41
2016-04-01,12.0,2023-10-27 12:40:41
2016-03-01,11.833333,2023-10-27 12:40:41
2016-02-01,11.833333,2023-10-27 12:40:41
2016-01-01,11.75,2023-10-27 12:40:41
2015-12-01,11.583333,2023-10-27 12:40:41
2015-11-01,11.416667,2023-10-27 12:40:41
2015-10-01,11.25,2023-10-27 12:40:41
2015-09-01,11.25,2023-10-27 12:40:41
2015-08-01,11.083333,2023-10-27 12:40:41
2015-07-01,11.0,2023-10-27 12:40:41
2015-06-01,10.833333,2023-10-27 12:40:41
2015-05-01,10.833333,2023-10-27 12:40:41
2015-04-01,10.75,2023-10-27 12:40:41
2015-03-01,10.625,2023-10-27 12:40:41
2015-02-01,10.458333,2023-10-27 12:40:41
2015-01-01,10.520833,2023-10-27 12:40:41
2014-12-01,10.6875,2023-10-27 12:40:41
2014-11-01,10.6875,2023-10-27 12:40:41
2014-10-01,10.604167,2023-10-27 12:40:41
2014-09-01,10.583333,2023-10-27 12:40:41
2014-08-01,10.749167,2023-10-27 12:40:41
2014-07-01,10.52,2023-10-27 12:40:41
2014-06-01,10.436667,2023-10-27 12:40:41
2014-05-01,10.436667,2023-10-27 12:40:41
2014-04-01,10.561667,2023-10-27 12:40:41
2014-03-01,10.665833,2023-10-27 12:40:41
2014-02-01,10.5,2023-10-27 12:40:41
2014-01-01,10.583333,2023-10-27 12:40:41
2013-12-01,10.5,2023-10-27 12:40:41
2013-11-01,10.333333,2023-10-27 12:40:41
2013-10-01,10.208333,2023-10-27 12:40:41
2013-09-01,10.083333,2023-10-27 12:40:41
2013-08-01,10.083333,2023-10-27 12:40:41
2013-07-01,10.083333,2023-10-27 12:40:41
2013-06-01,10.083333,2023-10-27 12:40:41
2013-05-01,10.083333,2023-10-27 12:40:41
2013-04-01,10.083333,2023-10-27 12:40:41
2013-03-01,10.083333,2023-10-27 12:40:41
2013-02-01,10.083333,2023-10-27 12:40:41
2013-01-01,10.0,2023-10-27 12:40:41
2012-12-01,10.0,2023-10-27 12:40:41
2012-11-01,10.041667,2023-10-27 12:40:41
2012-10-01,10.129167,2023-10-27 12:40:41
2012-09-01,10.129167,2023-10-27 12:40:41
2012-08-01,10.129167,2023-10-27 12:40:41
2012-07-01,10.129167,2023-10-27 12:40:41
2012-06-01,10.2125,2023-10-27 12:40:41
2012-05-01,10.205,2023-10-27 12:40:41
2012-04-01,10.125,2023-10-27 12:40:41
2012-03-01,10.166667,2023-10-27 12:40:41
2012-02-01,10.25,2023-10-27 12:40:41
2012-01-01,10.5,2023-10-27 12:40:41
