date,value,created_at
2024-02-01,1.036326,2024-03-01 23:00:29
2024-02-01,1.034341,2024-03-02 15:08:26
2024-01-01,1.071226,2024-02-01 23:04:49
2024-01-01,1.039814,2024-02-06 23:04:42
2024-01-01,1.044298,2024-02-02 23:00:31
2024-01-01,1.034976,2024-02-07 23:05:24
2023-12-01,1.065899,2024-02-02 23:00:31
2023-12-01,1.109054,2024-01-23 23:06:17
2023-12-01,1.10469,2024-02-01 23:04:49
2023-12-01,1.120979,2024-01-01 23:04:54
2023-12-01,1.053912,2024-02-07 23:05:24
2023-12-01,1.057366,2024-02-06 23:04:42
2023-11-01,1.090825,2024-02-01 23:04:49
2023-11-01,1.055764,2024-02-02 23:00:31
2023-11-01,1.098403,2023-12-22 02:32:49
2023-11-01,1.046283,2024-02-06 23:04:42
2023-11-01,1.044379,2024-02-07 23:05:24
2023-11-01,1.095188,2024-01-23 23:06:17
2023-10-01,1.078394,2024-01-23 23:06:17
2023-10-01,1.07511,2024-02-01 23:04:49
2023-10-01,1.041582,2024-02-06 23:04:42
2023-10-01,1.079733,2023-12-22 02:32:49
2023-10-01,1.047231,2024-02-02 23:00:31
2023-09-01,1.046549,2024-02-01 23:04:49
2023-09-01,1.04664,2023-10-27 12:40:38
2023-09-01,1.047391,2023-12-22 02:32:49
2023-09-01,1.036403,2024-02-02 23:00:31
2023-09-01,1.035089,2024-02-06 23:04:42
2023-08-01,1.074368,2023-10-27 12:40:38
2023-08-01,1.069661,2024-02-06 23:04:42
2023-08-01,1.07398,2023-12-22 02:32:49
2023-08-01,1.073139,2024-02-01 23:04:49
2023-08-01,1.070025,2024-02-02 23:00:31
2023-07-01,1.066368,2024-02-06 23:04:42
2023-07-01,1.067924,2024-02-02 23:00:31
2023-07-01,1.071832,2023-12-22 02:32:49
2023-07-01,1.071996,2023-10-27 12:40:38
2023-06-01,1.099785,2024-02-02 23:00:31
2023-06-01,1.101494,2023-10-27 12:40:38
2023-06-01,1.102029,2023-12-22 02:32:49
2023-06-01,1.098593,2024-02-06 23:04:42
2023-05-01,1.09127,2023-10-27 12:40:38
2023-05-01,1.088655,2024-02-06 23:04:42
2023-05-01,1.089847,2024-02-02 23:00:31
2023-05-01,1.090642,2023-12-22 02:32:49
2023-04-01,1.108773,2024-02-17 23:04:50
2023-04-01,1.107647,2023-10-27 12:40:38
2023-04-01,1.108052,2023-12-22 02:32:49
2023-03-01,1.085113,2024-02-17 23:04:50
2023-03-01,1.084392,2023-12-22 02:32:49
2023-03-01,1.083987,2023-10-27 12:40:38
2023-02-01,1.089831,2023-12-22 02:32:49
2023-02-01,1.090552,2024-02-17 23:04:50
2023-02-01,1.088114,2023-10-27 12:40:38
2023-01-01,1.101298,2023-10-27 12:40:38
2023-01-01,1.101759,2023-12-22 02:32:49
2022-12-01,1.104952,2023-10-27 12:40:38
2022-12-01,1.106045,2023-12-22 02:32:49
2022-11-01,1.115984,2023-10-27 12:40:38
2022-11-01,1.117504,2023-12-22 02:32:49
2022-10-01,1.098247,2023-12-22 02:32:49
2022-10-01,1.097597,2023-10-27 12:40:38
2022-09-01,1.097878,2023-10-27 12:40:38
2022-09-01,1.097896,2023-12-22 02:32:49
2022-08-01,1.073487,2023-12-22 02:32:49
2022-08-01,1.0748,2023-10-27 12:40:38
