date,value,created_at
2024-02-01,3.006877,2024-03-01 23:00:38
2024-02-01,3.007286,2024-03-02 15:08:31
2024-01-01,3.315396,2024-02-01 23:04:54
2024-01-01,2.908335,2024-02-07 23:05:29
2024-01-01,2.97989,2024-02-06 23:04:47
2024-01-01,3.050793,2024-02-02 23:00:38
2023-12-01,2.946461,2024-02-06 23:04:47
2023-12-01,3.057566,2024-02-02 23:00:38
2023-12-01,3.498085,2024-02-01 23:04:54
2023-12-01,3.655745,2024-01-01 23:04:59
2023-12-01,3.560829,2024-01-23 23:06:22
2023-12-01,2.90433,2024-02-07 23:05:29
2023-11-01,3.18537,2024-02-07 23:05:29
2023-11-01,3.80345,2024-02-01 23:04:54
2023-11-01,3.342998,2024-02-02 23:00:38
2023-11-01,3.217291,2024-02-06 23:04:47
2023-11-01,3.866194,2024-01-23 23:06:22
2023-11-01,3.924219,2023-12-22 02:32:53
2023-10-01,3.727324,2023-12-22 02:32:53
2023-10-01,3.299836,2024-02-02 23:00:38
2023-10-01,3.233062,2024-02-06 23:04:47
2023-10-01,3.710592,2024-01-23 23:06:22
2023-10-01,3.666777,2024-02-01 23:04:54
2023-09-01,3.284306,2024-02-02 23:00:38
2023-09-01,3.368879,2023-12-22 02:32:53
2023-09-01,3.360576,2024-02-01 23:04:54
2023-09-01,3.348641,2023-10-27 12:40:42
2023-09-01,3.254901,2024-02-06 23:04:47
2023-08-01,3.156315,2024-02-06 23:04:47
2023-08-01,3.168563,2024-02-15 23:04:53
2023-08-01,3.18543,2024-02-01 23:04:54
2023-08-01,3.193733,2023-12-22 02:32:53
2023-08-01,3.19173,2023-10-27 12:40:42
2023-08-01,3.171119,2024-02-02 23:00:38
2023-07-01,3.201346,2023-12-22 02:32:53
2023-07-01,3.147746,2024-02-06 23:04:47
2023-07-01,3.174877,2024-02-02 23:00:38
2023-07-01,3.191716,2023-10-27 12:40:42
2023-07-01,3.159994,2024-02-15 23:04:53
2023-06-01,3.168617,2024-02-15 23:04:53
2023-06-01,3.168696,2024-02-02 23:00:38
2023-06-01,3.156369,2024-02-06 23:04:47
2023-06-01,3.171237,2023-10-27 12:40:42
2023-06-01,3.180854,2023-12-22 02:32:53
2023-05-01,3.060455,2023-10-27 12:40:42
2023-05-01,3.068082,2023-12-22 02:32:53
2023-05-01,3.055924,2024-02-02 23:00:38
2023-05-01,3.043597,2024-02-06 23:04:47
2023-04-01,3.096784,2023-12-22 02:32:53
