date,value,created_at
2024-02-01,2.238465,2024-03-02 15:08:26
2024-02-01,2.248526,2024-03-01 23:00:29
2024-01-01,2.231711,2024-02-06 23:04:42
2024-01-01,2.349012,2024-02-01 23:04:49
2024-01-01,2.226344,2024-02-07 23:05:24
2024-01-01,2.252012,2024-02-02 23:00:31
2023-12-01,2.381587,2024-01-23 23:06:17
2023-12-01,2.417935,2024-01-01 23:04:54
2023-12-01,2.233287,2024-02-02 23:00:31
2023-12-01,2.361344,2024-02-01 23:04:49
2023-12-01,2.18337,2024-02-06 23:04:42
2023-12-01,2.17391,2024-02-07 23:05:24
2023-11-01,2.352468,2024-02-01 23:04:49
2023-11-01,2.38609,2023-12-22 02:32:49
2023-11-01,2.149072,2024-02-07 23:05:24
2023-11-01,2.156105,2024-02-06 23:04:42
2023-11-01,2.211849,2024-02-02 23:00:31
2023-11-01,2.372712,2024-01-23 23:06:17
2023-10-01,2.358846,2024-01-23 23:06:17
2023-10-01,2.36541,2023-12-22 02:32:49
2023-10-01,2.340214,2024-02-01 23:04:49
2023-10-01,2.181503,2024-02-06 23:04:42
2023-10-01,2.22421,2024-02-02 23:00:31
2023-09-01,2.252079,2023-10-27 12:40:38
2023-09-01,2.210828,2024-02-06 23:04:42
2023-09-01,2.214176,2024-02-02 23:00:31
2023-09-01,2.254547,2023-12-22 02:32:49
2023-09-01,2.249805,2024-02-01 23:04:49
2023-08-01,2.236557,2024-02-01 23:04:49
2023-08-01,2.244564,2023-10-27 12:40:38
2023-08-01,2.234704,2024-02-06 23:04:42
2023-08-01,2.2413,2023-12-22 02:32:49
2023-08-01,2.232225,2024-02-02 23:00:31
2023-07-01,2.270133,2024-02-02 23:00:31
2023-07-01,2.269835,2024-02-06 23:04:42
2023-07-01,2.271821,2023-10-27 12:40:38
2023-07-01,2.271825,2023-12-22 02:32:49
2023-06-01,2.351781,2023-10-27 12:40:38
2023-06-01,2.362274,2024-02-06 23:04:42
2023-06-01,2.365052,2024-02-02 23:00:31
2023-06-01,2.362411,2023-12-22 02:32:49
2023-05-01,2.341498,2023-12-22 02:32:49
2023-05-01,2.330868,2023-10-27 12:40:38
2023-05-01,2.34136,2024-02-06 23:04:42
2023-05-01,2.344138,2024-02-02 23:00:31
2023-04-01,2.314902,2023-12-22 02:32:49
2023-04-01,2.323534,2023-10-27 12:40:38
2023-03-01,2.224184,2023-10-27 12:40:38
2023-03-01,2.208189,2023-12-22 02:32:49
2023-02-01,2.286403,2023-10-27 12:40:38
2023-02-01,2.270408,2023-12-22 02:32:49
2023-01-01,2.235474,2023-10-27 12:40:38
2023-01-01,2.230509,2023-12-22 02:32:49
2022-12-01,2.240424,2023-10-27 12:40:38
2022-12-01,2.235459,2023-12-22 02:32:49
2022-11-01,2.189051,2023-10-27 12:40:38
2022-11-01,2.18438,2023-12-22 02:32:49
2022-10-01,2.164798,2023-12-22 02:32:49
2022-10-01,2.171954,2023-10-27 12:40:38
2022-09-01,2.143679,2023-10-27 12:40:38
2022-09-01,2.136523,2023-12-22 02:32:49
2022-08-01,2.149358,2023-10-27 12:40:38
2022-08-01,2.141907,2023-12-22 02:32:49
2022-07-01,2.136142,2023-10-27 12:40:38
2022-06-01,2.062337,2023-10-27 12:40:38
2022-05-01,1.945735,2023-12-22 02:32:49
2022-05-01,1.941888,2023-10-27 12:40:38
2022-04-01,1.922535,2023-12-22 02:32:49
2022-04-01,1.918688,2023-10-27 12:40:38
2022-03-01,1.976709,2023-12-22 02:32:49
2022-03-01,1.972861,2023-10-27 12:40:38
2022-02-01,2.005846,2023-10-27 12:40:38
2022-01-01,1.963177,2023-10-27 12:40:38
2021-12-01,1.910095,2023-10-27 12:40:38
2021-11-01,1.856503,2023-10-27 12:40:38
2021-10-01,1.806386,2023-10-27 12:40:38
2021-09-01,1.74236,2023-10-27 12:40:38
2021-08-01,1.748808,2023-10-27 12:40:38
2021-07-01,1.765882,2023-10-27 12:40:38
2021-06-01,1.829318,2023-10-27 12:40:38
2021-05-01,1.834601,2023-10-27 12:40:38
2021-04-01,1.911484,2023-10-27 12:40:38
2021-03-01,1.846757,2023-10-27 12:40:38
2021-02-01,1.839327,2023-10-27 12:40:38
2021-01-01,1.682499,2023-10-27 12:40:38
2020-12-01,1.683155,2023-10-27 12:40:38
2020-11-01,1.657226,2023-10-27 12:40:38
2020-10-01,1.746206,2023-10-27 12:40:38
2020-09-01,1.776558,2023-10-27 12:40:38
2020-08-01,1.769832,2023-10-27 12:40:38
2020-07-01,1.770733,2023-10-27 12:40:38
2020-06-01,1.724594,2023-10-27 12:40:38
2020-05-01,1.904157,2023-10-27 12:40:38
2020-04-01,1.933239,2023-10-27 12:40:38
2020-03-01,1.985883,2023-10-27 12:40:38
2020-02-01,1.928544,2023-10-27 12:40:38
2020-01-01,2.015449,2023-10-27 12:40:38
2019-12-01,2.013948,2023-10-27 12:40:38
2019-11-01,2.015495,2023-10-27 12:40:38
2019-10-01,2.001923,2023-10-27 12:40:38
2019-09-01,2.027001,2023-10-27 12:40:38
2019-08-01,2.023383,2023-10-27 12:40:38
2019-07-01,1.922976,2023-10-27 12:40:38
2019-06-01,1.914137,2023-10-27 12:40:38
2019-05-01,1.805807,2023-10-27 12:40:38
2019-04-01,1.798622,2023-10-27 12:40:38
2019-03-01,1.78391,2023-10-27 12:40:38
2019-02-01,1.873108,2023-10-27 12:40:38
2019-01-01,1.914938,2023-10-27 12:40:38
2018-12-01,1.875107,2023-10-27 12:40:38
2018-11-01,1.800467,2023-10-27 12:40:38
2018-10-01,1.719527,2023-10-27 12:40:38
2018-09-01,1.776145,2023-10-27 12:40:38
2018-08-01,1.859731,2023-10-27 12:40:38
2018-07-01,1.93612,2023-10-27 12:40:38
2018-06-01,1.9201,2023-10-27 12:40:38
2018-05-01,1.85416,2023-10-27 12:40:38
2018-04-01,1.770111,2023-10-27 12:40:38
2018-03-01,1.761759,2023-10-27 12:40:38
2018-02-01,1.788191,2023-10-27 12:40:38
2018-01-01,1.843331,2023-10-27 12:40:38
2017-12-01,1.87854,2023-10-27 12:40:38
2017-11-01,1.910877,2023-10-27 12:40:38
2017-10-01,1.873641,2023-10-27 12:40:38
2017-09-01,1.804662,2023-10-27 12:40:38
2017-08-01,1.793701,2023-10-27 12:40:38
2017-07-01,1.829604,2023-10-27 12:40:38
2017-06-01,1.865138,2023-10-27 12:40:38
2017-05-01,1.811923,2023-10-27 12:40:38
2017-04-01,1.807775,2023-10-27 12:40:38
2017-03-01,1.917551,2023-10-27 12:40:38
2017-02-01,1.904115,2023-10-27 12:40:38
2017-01-01,1.90506,2023-10-27 12:40:38
2016-12-01,1.764113,2023-10-27 12:40:38
2016-11-01,1.810456,2023-10-27 12:40:38
2016-10-01,1.825593,2023-10-27 12:40:38
2016-09-01,1.862905,2023-10-27 12:40:38
2016-08-01,1.806953,2023-10-27 12:40:38
2016-07-01,1.851483,2023-10-27 12:40:38
2016-06-01,1.835911,2023-10-27 12:40:38
2016-05-01,1.894453,2023-10-27 12:40:38
2016-04-01,1.843601,2023-10-27 12:40:38
2016-03-01,1.902158,2023-10-27 12:40:38
2016-02-01,1.862004,2023-10-27 12:40:38
2016-01-01,1.879774,2023-10-27 12:40:38
2015-12-01,1.809045,2023-10-27 12:40:38
2015-11-01,1.777108,2023-10-27 12:40:38
2015-10-01,1.707959,2023-10-27 12:40:38
2015-09-01,1.761241,2023-10-27 12:40:38
2015-08-01,1.789858,2023-10-27 12:40:38
2015-07-01,1.871179,2023-10-27 12:40:38
2015-06-01,1.826173,2023-10-27 12:40:38
2015-05-01,1.855139,2023-10-27 12:40:38
2015-04-01,1.730442,2023-10-27 12:40:38
2015-03-01,1.778569,2023-10-27 12:40:38
2015-02-01,1.724326,2023-10-27 12:40:38
2015-01-01,1.827087,2023-10-27 12:40:38
2014-12-01,1.803461,2023-10-27 12:40:38
2014-11-01,1.840176,2023-10-27 12:40:38
2014-10-01,1.801978,2023-10-27 12:40:38
2014-09-01,1.781756,2023-10-27 12:40:38
2014-08-01,1.905523,2023-10-27 12:40:38
2014-07-01,1.899186,2023-10-27 12:40:38
2014-06-01,1.963297,2023-10-27 12:40:38
2014-05-01,1.892768,2023-10-27 12:40:38
2014-04-01,1.914377,2023-10-27 12:40:38
2014-03-01,1.861534,2023-10-27 12:40:38
2014-02-01,1.781311,2023-10-27 12:40:38
2014-01-01,1.771728,2023-10-27 12:40:38
2013-12-01,1.776916,2023-10-27 12:40:38
2013-11-01,1.822068,2023-10-27 12:40:38
2013-10-01,1.78675,2023-10-27 12:40:38
2013-09-01,1.773467,2023-10-27 12:40:38
2013-08-01,1.791967,2023-10-27 12:40:38
2013-07-01,1.885862,2023-10-27 12:40:38
2013-06-01,1.867867,2023-10-27 12:40:38
2013-05-01,1.845825,2023-10-27 12:40:38
2013-04-01,1.768235,2023-10-27 12:40:38
2013-03-01,1.735109,2023-10-27 12:40:38
2013-02-01,1.700611,2023-10-27 12:40:38
2013-01-01,1.708683,2023-10-27 12:40:38
2012-12-01,1.737567,2023-10-27 12:40:38
2012-11-01,1.699041,2023-10-27 12:40:38
2012-10-01,1.660112,2023-10-27 12:40:38
2012-09-01,1.74162,2023-10-27 12:40:38
2012-08-01,1.849404,2023-10-27 12:40:38
2012-07-01,1.935801,2023-10-27 12:40:38
2012-06-01,1.907771,2023-10-27 12:40:38
2012-05-01,1.887474,2023-10-27 12:40:38
2012-04-01,1.798169,2023-10-27 12:40:38
2012-03-01,1.781395,2023-10-27 12:40:38
2012-02-01,1.719461,2023-10-27 12:40:38
2012-01-01,1.810588,2023-10-27 12:40:38
