date,value,created_at
2024-02-19,2671.0,2024-03-01 23:02:12
2024-02-12,2636.0,2024-02-26 23:01:56
2024-02-05,2608.0,2024-02-17 23:01:51
2024-01-29,2607.0,2024-02-13 23:01:49
2024-01-22,2595.0,2024-02-02 23:02:08
2024-01-15,2525.0,2024-01-29 23:01:52
2024-01-08,2456.0,2024-01-22 23:01:48
2024-01-01,2399.0,2024-01-18 04:21:12
2023-12-25,2361.0,2024-01-18 04:21:12
2023-12-18,2401.0,2024-01-02 23:01:51
2023-12-11,2472.0,2023-12-23 23:01:42
2023-12-04,2503.0,2023-12-15 23:01:43
2023-11-27,2561.0,2023-12-11 23:01:47
2023-11-20,2575.0,2023-12-04 11:03:10
2023-11-13,2616.0,2023-11-24 23:01:40
2023-11-06,2670.0,2023-11-20 23:01:47
2023-10-30,2732.0,2023-11-11 23:01:48
2023-10-23,2757.0,2023-11-06 23:01:39
2023-10-16,2773.0,2023-11-06 23:01:39
2023-10-16,2738.0,2023-10-27 23:01:29
2023-10-09,2730.0,2023-10-20 23:01:27
2023-10-05,2736.0,2023-10-13 23:01:21
2023-09-28,2750.0,2023-10-13 23:01:21
2023-09-28,2710.0,2023-10-09 23:01:29
2023-09-21,2666.0,2023-09-29 23:01:25
2023-09-14,2661.0,2023-09-24 23:01:32
2023-09-07,2632.0,2023-09-19 23:01:32
2023-08-31,2612.0,2023-09-11 08:01:44
2023-08-24,2649.0,2023-09-01 16:06:39
2023-08-17,2700.0,2023-08-25 23:01:19
2023-08-10,2650.0,2023-08-25 23:01:19
2023-08-03,2602.0,2023-08-12 23:00:59
2023-07-27,2605.0,2023-08-09 23:01:13
2023-07-20,2599.0,2023-07-28 23:00:51
2023-07-13,2656.0,2023-07-21 23:00:51
2023-07-06,2627.0,2023-07-17 23:01:08
2023-06-29,2622.0,2023-07-13 04:16:18
2023-06-22,2630.0,2023-07-13 04:16:18
2023-06-15,2628.0,2023-07-13 04:16:18
2023-06-08,2640.0,2023-07-13 04:16:18
2023-06-01,2651.0,2023-07-13 04:16:18
2023-06-01,2654.0,2023-07-28 23:00:51
2023-05-25,2651.0,2023-07-13 04:16:18
2023-05-18,2614.0,2023-07-13 04:16:18
2023-05-11,2573.0,2023-07-13 04:16:18
2023-05-04,2566.0,2023-07-13 04:16:18
2023-04-27,2555.0,2023-07-13 04:16:18
2023-04-20,2555.0,2023-07-13 04:16:18
2023-04-13,2538.0,2023-07-13 04:16:18
2023-04-06,2502.0,2023-07-13 04:16:18
2023-03-30,2508.0,2023-07-13 04:16:18
2023-03-23,2518.0,2023-07-13 04:16:18
2023-03-16,2518.0,2023-07-13 04:16:18
2023-03-09,2556.0,2023-07-13 04:16:18
2023-03-02,2563.0,2023-07-13 04:16:18
2023-02-23,2520.0,2023-07-13 04:16:18
2023-02-16,2486.0,2023-07-13 04:16:18
2023-02-09,2428.0,2023-07-13 04:16:18
2023-02-02,2376.0,2023-07-13 04:16:18
2023-02-01,2349.0,2023-07-13 04:16:18
2023-01-01,2254.0,2023-07-13 04:16:18
2022-12-01,2342.0,2023-07-13 04:16:18
2022-11-01,2524.0,2023-07-13 04:16:18
2022-10-01,2547.0,2023-07-13 04:16:18
2022-09-01,2306.0,2023-07-13 04:16:18
2022-08-01,2267.0,2023-07-13 04:16:18
2022-07-01,2459.0,2023-07-13 04:16:18
2022-06-01,2316.0,2023-07-13 04:16:18
2022-05-01,2252.0,2023-07-13 04:16:18
2022-04-01,2157.0,2023-07-13 04:16:18
2022-03-01,1903.0,2023-07-13 04:16:18
2022-02-01,1708.0,2023-07-13 04:16:18
2022-01-01,1595.0,2023-07-13 04:16:18
2021-12-01,1548.0,2023-07-13 04:16:18
2021-11-01,1546.0,2023-07-13 04:16:18
