date,value,created_at
2024-01-01,168.919,2024-02-26 23:01:57
2023-12-01,170.067,2024-01-29 23:01:53
2023-12-01,169.023,2024-02-26 23:01:57
2023-11-01,168.611,2024-02-26 23:01:57
2023-11-01,169.286,2024-01-29 23:01:53
2023-11-01,167.09,2023-12-26 23:01:48
2023-10-01,166.924,2023-12-26 23:01:48
2023-10-01,166.367,2023-11-21 23:01:36
2023-10-01,168.144,2024-02-26 23:01:57
2023-10-01,168.484,2024-01-29 23:01:53
2023-09-01,167.992,2024-01-29 23:01:53
2023-09-01,167.855,2024-02-26 23:01:57
2023-09-01,166.889,2023-11-21 23:01:36
2023-09-01,166.969,2023-12-26 23:01:48
2023-09-01,168.605,2023-11-13 11:46:35
2023-08-01,166.68,2023-11-21 23:01:36
2023-08-01,167.862,2023-11-13 11:46:35
2023-08-01,166.544,2023-12-26 23:01:48
2023-08-01,167.155,2024-02-26 23:01:57
2023-08-01,167.217,2024-01-29 23:01:53
2023-07-01,166.367,2024-02-26 23:01:57
2023-07-01,167.855,2023-10-22 23:01:38
2023-07-01,166.117,2023-12-26 23:01:48
2023-07-01,166.475,2023-11-21 23:01:36
2023-06-01,165.819,2023-12-26 23:01:48
2023-06-01,166.981,2023-10-22 23:01:38
2023-06-01,166.306,2023-11-21 23:01:36
2023-06-01,165.955,2024-01-29 23:01:53
2023-06-01,165.832,2024-02-26 23:01:57
2023-05-01,165.029,2024-02-26 23:01:57
2023-05-01,165.188,2024-01-29 23:01:53
2023-05-01,165.623,2023-11-21 23:01:36
2023-05-01,165.845,2023-10-22 23:01:38
2023-05-01,165.148,2023-12-26 23:01:48
2023-04-01,164.535,2023-12-26 23:01:48
2023-04-01,165.004,2023-11-21 23:01:36
2023-04-01,164.848,2023-10-22 23:01:38
2023-04-01,164.523,2024-01-29 23:01:53
2023-04-01,164.352,2024-02-26 23:01:57
2023-03-01,163.987,2024-02-26 23:01:57
2023-03-01,164.155,2024-01-29 23:01:53
2023-03-01,164.182,2023-12-26 23:01:48
2023-03-01,164.651,2023-11-21 23:01:36
2023-03-01,164.334,2023-10-22 23:01:38
2023-02-01,164.323,2023-10-22 23:01:38
2023-02-01,164.784,2023-11-21 23:01:36
2023-02-01,164.348,2023-12-26 23:01:48
2023-02-01,164.311,2024-01-29 23:01:53
2023-02-01,164.166,2024-02-26 23:01:57
2023-01-01,165.528,2024-01-29 23:01:53
2023-01-01,165.388,2024-02-26 23:01:57
2023-01-01,165.952,2023-11-21 23:01:36
2023-01-01,165.56,2023-12-26 23:01:48
2023-01-01,165.4,2023-10-22 23:01:38
2022-12-01,167.548,2023-11-21 23:01:36
2022-12-01,167.067,2023-10-22 23:01:38
2022-12-01,167.186,2023-12-26 23:01:48
2022-12-01,167.148,2024-01-29 23:01:53
2022-12-01,167.044,2024-02-26 23:01:57
2022-11-01,169.196,2024-02-26 23:01:57
2022-11-01,169.264,2024-01-29 23:01:53
2022-11-01,169.22,2023-10-22 23:01:38
2022-11-01,169.329,2023-12-26 23:01:48
2022-11-01,169.607,2023-11-21 23:01:36
2022-10-01,171.611,2023-11-21 23:01:36
2022-10-01,171.399,2023-10-22 23:01:38
2022-10-01,171.391,2023-12-26 23:01:48
2022-10-01,171.29,2024-01-29 23:01:53
2022-10-01,171.243,2024-02-26 23:01:57
2022-09-01,172.918,2024-01-29 23:01:53
2022-09-01,172.877,2024-02-26 23:01:57
2022-09-01,173.042,2023-12-26 23:01:48
2022-09-01,173.217,2023-11-21 23:01:36
2022-09-01,173.118,2023-10-22 23:01:38
2022-08-01,174.146,2023-12-26 23:01:48
2022-08-01,174.345,2023-10-22 23:01:38
2022-08-01,174.331,2023-11-21 23:01:36
2022-08-01,174.014,2024-01-29 23:01:53
2022-08-01,173.99,2024-02-26 23:01:57
2022-07-01,174.36,2024-01-29 23:01:53
2022-07-01,174.373,2024-02-26 23:01:57
2022-07-01,174.784,2023-10-22 23:01:38
2022-07-01,174.486,2023-12-26 23:01:48
2022-07-01,174.726,2023-11-21 23:01:36
2022-06-01,174.128,2023-12-26 23:01:48
2022-06-01,174.525,2023-10-22 23:01:38
2022-06-01,174.473,2023-11-21 23:01:36
2022-06-01,174.039,2024-02-26 23:01:57
2022-06-01,174.016,2024-01-29 23:01:53
2022-05-01,173.395,2024-02-26 23:01:57
2022-05-01,173.39,2024-01-29 23:01:53
2022-05-01,173.471,2023-12-26 23:01:48
2022-05-01,173.992,2023-10-22 23:01:38
2022-05-01,173.924,2023-11-21 23:01:36
2022-04-01,173.273,2023-10-22 23:01:38
2022-04-01,172.639,2023-12-26 23:01:48
2022-04-01,173.148,2023-11-21 23:01:36
2022-04-01,172.533,2024-02-26 23:01:57
2022-04-01,172.579,2024-01-29 23:01:53
2022-03-01,171.903,2024-02-26 23:01:57
2022-03-01,171.995,2024-01-29 23:01:53
2022-03-01,172.559,2023-11-21 23:01:36
2022-03-01,172.798,2023-10-22 23:01:38
2022-03-01,172.05,2023-12-26 23:01:48
2022-02-01,172.205,2023-10-22 23:01:38
2022-02-01,171.865,2023-11-21 23:01:36
2022-02-01,171.397,2023-12-26 23:01:48
2022-02-01,171.343,2024-01-29 23:01:53
2022-02-01,171.221,2024-02-26 23:01:57
2022-01-01,170.13,2024-02-26 23:01:57
2022-01-01,170.259,2024-01-29 23:01:53
2022-01-01,171.145,2023-10-22 23:01:38
2022-01-01,170.755,2023-11-21 23:01:36
2022-01-01,170.329,2023-12-26 23:01:48
2021-12-01,168.908,2023-12-26 23:01:48
2021-12-01,169.641,2023-10-22 23:01:38
2021-12-01,169.308,2023-11-21 23:01:36
2021-12-01,168.7,2024-02-26 23:01:57
2021-12-01,168.826,2024-01-29 23:01:53
2021-11-01,167.08,2024-02-26 23:01:57
2021-11-01,167.183,2024-01-29 23:01:53
2021-11-01,167.691,2023-11-21 23:01:36
2021-11-01,167.27,2023-12-26 23:01:48
2021-11-01,167.952,2023-10-22 23:01:38
2021-10-01,166.238,2023-10-22 23:01:38
2021-10-01,165.637,2023-12-26 23:01:48
2021-10-01,166.06,2023-11-21 23:01:36
2021-10-01,165.537,2024-01-29 23:01:53
2021-10-01,165.447,2024-02-26 23:01:57
2021-09-01,163.688,2024-02-26 23:01:57
2021-09-01,163.769,2024-01-29 23:01:53
2021-09-01,163.882,2023-12-26 23:01:48
2021-09-01,164.305,2023-11-21 23:01:36
2021-09-01,164.466,2023-10-22 23:01:38
2021-08-01,162.576,2023-11-21 23:01:36
2021-08-01,162.693,2023-10-22 23:01:38
2021-08-01,162.175,2023-12-26 23:01:48
2021-08-01,162.04,2024-01-29 23:01:53
2021-08-01,161.969,2024-02-26 23:01:57
2021-07-01,160.32,2024-02-26 23:01:57
2021-07-01,160.387,2024-01-29 23:01:53
2021-07-01,161.038,2023-10-22 23:01:38
2021-07-01,160.925,2023-11-21 23:01:36
2021-07-01,160.546,2023-12-26 23:01:48
2021-06-01,159.158,2023-11-21 23:01:36
2021-06-01,158.757,2023-12-26 23:01:48
2021-06-01,159.28,2023-10-22 23:01:38
2021-06-01,158.534,2024-02-26 23:01:57
2021-06-01,158.584,2024-01-29 23:01:53
2021-05-01,156.922,2024-01-29 23:01:53
2021-05-01,156.886,2024-02-26 23:01:57
2021-05-01,157.104,2023-12-26 23:01:48
2021-05-01,157.541,2023-11-21 23:01:36
2021-05-01,157.667,2023-10-22 23:01:38
2021-04-01,156.267,2023-10-22 23:01:38
2021-04-01,155.652,2023-12-26 23:01:48
2021-04-01,156.125,2023-11-21 23:01:36
2021-04-01,155.486,2024-01-29 23:01:53
2021-04-01,155.467,2024-02-26 23:01:57
2021-03-01,154.18,2024-02-26 23:01:57
2021-03-01,154.197,2024-01-29 23:01:53
2021-03-01,154.818,2023-11-21 23:01:36
2021-03-01,154.33,2023-12-26 23:01:48
2021-03-01,154.978,2023-10-22 23:01:38
2021-02-01,154.088,2023-10-22 23:01:38
2021-02-01,153.474,2023-12-26 23:01:48
2021-02-01,153.938,2023-11-21 23:01:36
2021-02-01,153.377,2024-01-29 23:01:53
2021-02-01,153.352,2024-02-26 23:01:57
2021-01-01,152.66,2024-01-29 23:01:53
2021-01-01,152.632,2024-02-26 23:01:57
2021-01-01,152.719,2023-12-26 23:01:48
2021-01-01,153.268,2023-10-22 23:01:38
2021-01-01,153.131,2023-11-21 23:01:36
2020-12-01,152.642,2023-10-22 23:01:38
2020-12-01,152.515,2023-11-21 23:01:36
2020-12-01,152.164,2023-12-26 23:01:48
2020-12-01,152.114,2024-02-26 23:01:57
2020-12-01,152.14,2024-01-29 23:01:53
2020-11-01,151.932,2024-02-26 23:01:57
2020-11-01,151.95,2024-01-29 23:01:53
2020-11-01,152.252,2023-11-21 23:01:36
2020-11-01,152.387,2023-10-22 23:01:38
2020-11-01,151.958,2023-12-26 23:01:48
2020-10-01,151.862,2023-10-22 23:01:38
2020-10-01,151.486,2023-12-26 23:01:48
2020-10-01,151.739,2023-11-21 23:01:36
2020-10-01,151.48,2024-01-29 23:01:53
2020-10-01,151.473,2024-02-26 23:01:57
2020-09-01,151.266,2024-02-26 23:01:57
2020-09-01,151.26,2024-01-29 23:01:53
2020-09-01,151.287,2023-12-26 23:01:48
2020-09-01,151.525,2023-11-21 23:01:36
2020-09-01,151.628,2023-10-22 23:01:38
2020-08-01,151.246,2023-12-26 23:01:48
2020-08-01,151.468,2023-11-21 23:01:36
2020-08-01,151.574,2023-10-22 23:01:38
2020-08-01,151.196,2024-01-29 23:01:53
2020-08-01,151.208,2024-02-26 23:01:57
2020-07-01,151.286,2024-01-29 23:01:53
