date,value,created_at
2024-01-01,288.758,2024-02-14 23:00:16
2023-12-01,287.873,2024-01-17 23:00:17
2023-11-01,287.731,2023-12-13 23:00:17
2023-10-01,288.303,2023-11-16 13:36:09
2023-09-01,287.496,2023-10-22 23:00:11
2023-08-01,285.859,2023-09-13 23:00:12
2023-07-01,285.58,2023-08-10 23:00:11
2023-06-01,285.633,2023-07-26 23:00:12
2023-06-01,285.633,2023-07-21 23:00:18
2023-06-01,285.633,2023-07-19 23:00:10
2023-06-01,285.633,2023-07-17 23:00:11
2023-06-01,285.633,2023-07-14 23:00:11
2023-06-01,285.633,2023-07-13 16:47:44
2023-05-01,285.285,2023-07-26 23:00:12
2023-05-01,285.285,2023-07-21 23:00:18
2023-05-01,285.285,2023-07-19 23:00:10
2023-05-01,285.285,2023-07-17 23:00:11
2023-05-01,285.285,2023-07-14 23:00:11
2023-05-01,285.285,2023-07-13 16:47:44
2023-04-01,283.961,2023-07-26 23:00:12
2023-04-01,283.961,2023-07-21 23:00:18
2023-04-01,283.961,2023-07-19 23:00:10
2023-04-01,283.961,2023-07-17 23:00:11
2023-04-01,283.961,2023-07-14 23:00:11
2023-04-01,283.961,2023-07-13 16:47:44
2023-03-01,282.588,2023-07-26 23:00:12
2023-03-01,282.588,2023-07-21 23:00:18
2023-03-01,282.588,2023-07-19 23:00:10
2023-03-01,282.588,2023-07-17 23:00:11
2023-03-01,282.588,2023-07-14 23:00:11
2023-03-01,282.588,2023-07-13 16:47:44
2023-02-01,282.377,2023-07-26 23:00:12
2023-02-01,282.377,2023-07-21 23:00:18
2023-02-01,282.377,2023-07-19 23:00:10
2023-02-01,282.377,2023-07-17 23:00:11
2023-02-01,282.377,2023-07-14 23:00:11
2023-02-01,282.377,2023-07-13 16:47:44
2023-01-01,282.286,2023-07-26 23:00:12
2023-01-01,282.286,2023-07-21 23:00:18
2023-01-01,282.286,2023-07-19 23:00:10
2023-01-01,282.286,2023-07-17 23:00:11
2023-01-01,282.286,2023-07-14 23:00:11
2023-01-01,282.286,2023-07-13 16:47:44
2022-12-01,280.755,2023-07-26 23:00:12
2022-12-01,280.755,2023-07-21 23:00:18
2022-12-01,280.755,2023-07-19 23:00:10
2022-12-01,280.755,2023-07-17 23:00:11
2022-12-01,280.755,2023-07-14 23:00:11
2022-12-01,280.755,2023-07-13 16:47:44
2022-11-01,279.629,2023-07-26 23:00:12
2022-11-01,279.629,2023-07-21 23:00:18
2022-11-01,279.629,2023-07-19 23:00:10
2022-11-01,279.629,2023-07-17 23:00:11
2022-11-01,279.629,2023-07-14 23:00:11
2022-11-01,279.629,2023-07-13 16:47:44
2022-10-01,278.009,2023-07-26 23:00:12
2022-10-01,278.009,2023-07-21 23:00:18
2022-10-01,278.009,2023-07-19 23:00:10
2022-10-01,278.009,2023-07-17 23:00:11
2022-10-01,278.009,2023-07-14 23:00:11
