date,value,created_at
2024-01-01,141.055,2024-02-14 23:00:19
2023-12-01,140.108,2024-01-17 23:00:22
2023-11-01,139.919,2023-12-13 23:00:20
2023-10-01,139.802,2023-11-16 13:36:11
2023-09-01,139.758,2023-10-22 23:00:13
2023-08-01,137.017,2023-09-13 23:00:13
2023-07-01,135.817,2023-08-10 23:00:16
2023-06-01,135.831,2023-07-13 16:47:45
2023-05-01,135.959,2023-07-13 16:47:45
2023-04-01,135.592,2023-07-13 16:47:45
2023-03-01,135.723,2023-07-13 16:47:45
2023-02-01,137.14,2023-07-13 16:47:45
2023-01-01,135.521,2023-07-13 16:47:45
2022-12-01,131.904,2023-07-13 16:47:45
2022-11-01,132.186,2023-07-13 16:47:45
2022-10-01,131.575,2023-07-13 16:47:45
2022-09-01,131.163,2023-07-13 16:47:45
2022-08-01,130.574,2023-07-13 16:47:45
2022-07-01,128.77,2023-07-13 16:47:45
2022-06-01,129.63,2023-07-13 16:47:45
2022-05-01,130.255,2023-07-13 16:47:45
2022-04-01,129.713,2023-07-13 16:47:45
2022-03-01,127.398,2023-07-13 16:47:45
2022-02-01,126.29,2023-07-13 16:47:45
2022-01-01,125.879,2023-07-13 16:47:45
2021-12-01,124.677,2023-07-13 16:47:45
2021-11-01,126.589,2023-07-13 16:47:45
2021-10-01,123.495,2023-07-13 16:47:45
2021-09-01,123.267,2023-07-13 16:47:45
2021-08-01,123.208,2023-07-13 16:47:45
2021-07-01,123.984,2023-07-13 16:47:45
2021-06-01,122.753,2023-07-13 16:47:45
2021-05-01,123.379,2023-07-13 16:47:45
2021-04-01,123.257,2023-07-13 16:47:45
2021-03-01,123.61,2023-07-13 16:47:45
2021-02-01,124.256,2023-07-13 16:47:45
2021-01-01,121.776,2023-07-13 16:47:45
2020-12-01,120.926,2023-07-13 16:47:45
2020-11-01,123.269,2023-07-13 16:47:45
2020-10-01,123.711,2023-07-13 16:47:45
2020-09-01,122.913,2023-07-13 16:47:45
2020-08-01,121.448,2023-07-13 16:47:45
2020-07-01,122.215,2023-07-13 16:47:45
2020-06-01,122.546,2023-07-13 16:47:45
2020-05-01,119.533,2023-07-13 16:47:45
2020-04-01,120.201,2023-07-13 16:47:45
2020-03-01,122.544,2023-07-13 16:47:45
2020-02-01,122.303,2023-07-13 16:47:45
2020-01-01,118.892,2023-07-13 16:47:45
2019-12-01,118.627,2023-07-13 16:47:45
2019-11-01,118.919,2023-07-13 16:47:45
2019-10-01,119.006,2023-07-13 16:47:45
2019-09-01,117.602,2023-07-13 16:47:45
2019-08-01,117.877,2023-07-13 16:47:45
2019-07-01,120.114,2023-07-13 16:47:45
2019-06-01,120.11,2023-07-13 16:47:45
2019-05-01,121.261,2023-07-13 16:47:45
2019-04-01,120.359,2023-07-13 16:47:45
2019-03-01,121.887,2023-07-13 16:47:45
2019-02-01,122.25,2023-07-13 16:47:45
2019-01-01,122.532,2023-07-13 16:47:45
2018-12-01,124.814,2023-07-13 16:47:45
2018-11-01,124.712,2023-07-13 16:47:45
2018-10-01,122.944,2023-07-13 16:47:45
2018-09-01,123.414,2023-07-13 16:47:45
2018-08-01,122.518,2023-07-13 16:47:45
2018-07-01,121.688,2023-07-13 16:47:45
2018-06-01,121.844,2023-07-13 16:47:45
2018-05-01,121.553,2023-07-13 16:47:45
2018-04-01,120.744,2023-07-13 16:47:45
2018-03-01,120.56,2023-07-13 16:47:45
2018-02-01,121.581,2023-07-13 16:47:45
2018-01-01,121.86,2023-07-13 16:47:45
2017-12-01,123.066,2023-07-13 16:47:45
2017-11-01,124.083,2023-07-13 16:47:45
2017-10-01,124.114,2023-07-13 16:47:45
2017-09-01,124.487,2023-07-13 16:47:45
2017-08-01,123.87,2023-07-13 16:47:45
2017-07-01,123.973,2023-07-13 16:47:45
2017-06-01,123.275,2023-07-13 16:47:45
2017-05-01,123.432,2023-07-13 16:47:45
2017-04-01,123.804,2023-07-13 16:47:45
2017-03-01,124.336,2023-07-13 16:47:45
2017-02-01,124.744,2023-07-13 16:47:45
2017-01-01,124.352,2023-07-13 16:47:45
2016-12-01,124.945,2023-07-13 16:47:45
2016-11-01,125.61,2023-07-13 16:47:45
2016-10-01,125.593,2023-07-13 16:47:45
2016-09-01,125.728,2023-07-13 16:47:45
2016-08-01,125.65,2023-07-13 16:47:45
2016-07-01,125.261,2023-07-13 16:47:45
2016-06-01,124.929,2023-07-13 16:47:45
2016-05-01,125.037,2023-07-13 16:47:45
2016-04-01,124.366,2023-07-13 16:47:45
2016-03-01,124.732,2023-07-13 16:47:45
2016-02-01,125.054,2023-07-13 16:47:45
2016-01-01,124.702,2023-07-13 16:47:45
2015-12-01,124.36,2023-07-13 16:47:45
2015-11-01,123.959,2023-07-13 16:47:45
2015-10-01,124.9,2023-07-13 16:47:45
2015-09-01,122.926,2023-07-13 16:47:45
2015-08-01,121.42,2023-07-13 16:47:45
2015-07-01,122.048,2023-07-13 16:47:45
2015-06-01,120.97,2023-07-13 16:47:45
2015-05-01,121.659,2023-07-13 16:47:45
