date,value,created_at
2024-01-01,385.388,2024-02-14 23:00:20
2023-12-01,382.609,2024-01-17 23:00:23
2023-11-01,396.814,2023-12-13 23:00:20
2023-10-01,403.263,2023-11-16 13:36:11
2023-09-01,402.969,2023-10-22 23:00:13
2023-08-01,381.562,2023-09-13 23:00:14
2023-07-01,358.648,2023-08-10 23:00:17
2023-06-01,353.809,2023-07-13 16:47:45
2023-05-01,358.143,2023-07-13 16:47:45
2023-04-01,382.076,2023-07-13 16:47:45
2023-03-01,397.426,2023-07-13 16:47:45
2023-02-01,408.338,2023-07-13 16:47:45
2023-01-01,430.693,2023-07-13 16:47:45
2022-12-01,433.858,2023-07-13 16:47:45
2022-11-01,491.416,2023-07-13 16:47:45
2022-10-01,486.195,2023-07-13 16:47:45
2022-09-01,426.919,2023-07-13 16:47:45
2022-08-01,435.427,2023-07-13 16:47:45
2022-07-01,455.18,2023-07-13 16:47:45
2022-06-01,497.126,2023-07-13 16:47:45
2022-05-01,501.647,2023-07-13 16:47:45
2022-04-01,450.703,2023-07-13 16:47:45
2022-03-01,445.388,2023-07-13 16:47:45
2022-02-01,386.315,2023-07-13 16:47:45
2022-01-01,364.145,2023-07-13 16:47:45
2021-12-01,344.353,2023-07-13 16:47:45
2021-11-01,346.826,2023-07-13 16:47:45
2021-10-01,337.245,2023-07-13 16:47:45
2021-09-01,305.233,2023-07-13 16:47:45
2021-08-01,292.603,2023-07-13 16:47:45
2021-07-01,294.395,2023-07-13 16:47:45
2021-06-01,291.703,2023-07-13 16:47:45
2021-05-01,285.256,2023-07-13 16:47:45
2021-04-01,283.824,2023-07-13 16:47:45
2021-03-01,293.642,2023-07-13 16:47:45
2021-02-01,289.571,2023-07-13 16:47:45
2021-01-01,267.049,2023-07-13 16:47:45
2020-12-01,249.564,2023-07-13 16:47:45
2020-11-01,233.806,2023-07-13 16:47:45
2020-10-01,227.348,2023-07-13 16:47:45
2020-09-01,224.364,2023-07-13 16:47:45
2020-08-01,227.453,2023-07-13 16:47:45
2020-07-01,224.92,2023-07-13 16:47:45
2020-06-01,220.187,2023-07-13 16:47:45
2020-05-01,211.401,2023-07-13 16:47:45
2020-04-01,221.341,2023-07-13 16:47:45
2020-03-01,248.114,2023-07-13 16:47:45
