date,value,created_at
2024-01-01,109.506,2024-02-14 23:00:21
2023-12-01,111.067,2024-01-17 23:00:25
2023-11-01,109.718,2023-12-13 23:00:21
2023-10-01,109.127,2023-11-16 13:36:12
2023-09-01,111.037,2023-10-22 23:00:14
2023-08-01,110.453,2023-09-13 23:00:15
2023-07-01,110.558,2023-08-10 23:00:19
2023-06-01,110.93,2023-07-13 16:47:46
2023-05-01,110.885,2023-07-13 16:47:46
2023-04-01,108.365,2023-07-13 16:47:46
2023-03-01,107.376,2023-07-13 16:47:46
2023-02-01,106.114,2023-07-13 16:47:46
2023-01-01,105.862,2023-07-13 16:47:46
2022-12-01,106.664,2023-07-13 16:47:46
2022-11-01,104.3,2023-07-13 16:47:46
2022-10-01,102.574,2023-07-13 16:47:46
2022-09-01,103.225,2023-07-13 16:47:46
2022-08-01,102.264,2023-07-13 16:47:46
2022-07-01,101.914,2023-07-13 16:47:46
2022-06-01,101.129,2023-07-13 16:47:46
2022-05-01,100.542,2023-07-13 16:47:46
2022-04-01,98.593,2023-07-13 16:47:46
2022-03-01,98.274,2023-07-13 16:47:46
2022-02-01,98.487,2023-07-13 16:47:46
2022-01-01,98.971,2023-07-13 16:47:46
2021-12-01,97.692,2023-07-13 16:47:46
2021-11-01,97.192,2023-07-13 16:47:46
2021-10-01,97.624,2023-07-13 16:47:46
2021-09-01,97.362,2023-07-13 16:47:46
2021-08-01,96.435,2023-07-13 16:47:46
2021-07-01,95.572,2023-07-13 16:47:46
2021-06-01,95.452,2023-07-13 16:47:46
2021-05-01,96.003,2023-07-13 16:47:46
2021-04-01,94.864,2023-07-13 16:47:46
2021-03-01,95.379,2023-07-13 16:47:46
2021-02-01,95.782,2023-07-13 16:47:46
2021-01-01,95.402,2023-07-13 16:47:46
2020-12-01,92.219,2023-07-13 16:47:46
2020-11-01,92.429,2023-07-13 16:47:46
2020-10-01,97.591,2023-07-13 16:47:46
2020-09-01,98.982,2023-07-13 16:47:46
2020-08-01,100.979,2023-07-13 16:47:46
2020-07-01,102.184,2023-07-13 16:47:46
2020-06-01,101.831,2023-07-13 16:47:46
