date,value,created_at
2024-01-01,178.595,2024-02-14 23:00:18
2023-12-01,178.269,2024-01-17 23:00:20
2023-11-01,178.7,2023-12-13 23:00:19
2023-10-01,179.446,2023-11-16 13:36:10
2023-09-01,179.75,2023-10-22 23:00:11
2023-08-01,179.691,2023-09-13 23:00:12
2023-07-01,179.696,2023-08-10 23:00:13
2023-06-01,179.577,2023-07-13 16:47:44
2023-05-01,179.329,2023-07-13 16:47:44
2023-04-01,178.892,2023-07-13 16:47:44
2023-03-01,178.342,2023-07-13 16:47:44
2023-02-01,177.817,2023-07-13 16:47:44
2023-01-01,177.276,2023-07-13 16:47:44
2022-12-01,176.463,2023-07-13 16:47:44
2022-11-01,176.354,2023-07-13 16:47:44
2022-10-01,176.157,2023-07-13 16:47:44
2022-09-01,175.312,2023-07-13 16:47:44
2022-08-01,174.598,2023-07-13 16:47:44
2022-07-01,173.618,2023-07-13 16:47:44
2022-06-01,172.546,2023-07-13 16:47:44
2022-05-01,171.35,2023-07-13 16:47:44
2022-04-01,169.699,2023-07-13 16:47:44
2022-03-01,168.056,2023-07-13 16:47:44
2022-02-01,168.027,2023-07-13 16:47:44
2022-01-01,167.582,2023-07-13 16:47:44
2021-12-01,166.653,2023-07-13 16:47:44
2021-11-01,164.511,2023-07-13 16:47:44
2021-10-01,162.527,2023-07-13 16:47:44
2021-09-01,160.244,2023-07-13 16:47:44
2021-08-01,158.652,2023-07-13 16:47:44
2021-07-01,157.203,2023-07-13 16:47:44
2021-06-01,154.847,2023-07-13 16:47:44
2021-05-01,152.143,2023-07-13 16:47:44
2021-04-01,149.892,2023-07-13 16:47:44
2021-03-01,149.321,2023-07-13 16:47:44
2021-02-01,149.515,2023-07-13 16:47:44
2021-01-01,149.377,2023-07-13 16:47:44
2020-12-01,149.091,2023-07-13 16:47:44
2020-11-01,148.063,2023-07-13 16:47:44
2020-10-01,147.956,2023-07-13 16:47:44
2020-09-01,147.361,2023-07-13 16:47:44
2020-08-01,147.412,2023-07-13 16:47:44
2020-07-01,147.803,2023-07-13 16:47:44
2020-06-01,147.108,2023-07-13 16:47:44
2020-05-01,147.222,2023-07-13 16:47:44
2020-04-01,147.007,2023-07-13 16:47:44
2020-03-01,147.124,2023-07-13 16:47:44
2020-02-01,147.803,2023-07-13 16:47:44
2020-01-01,147.253,2023-07-13 16:47:44
2019-12-01,146.22,2023-07-13 16:47:44
2019-11-01,145.728,2023-07-13 16:47:44
2019-10-01,145.726,2023-07-13 16:47:44
2019-09-01,145.854,2023-07-13 16:47:44
2019-08-01,146.456,2023-07-13 16:47:44
2019-07-01,147.035,2023-07-13 16:47:44
2019-06-01,147.417,2023-07-13 16:47:44
2019-05-01,147.659,2023-07-13 16:47:44
2019-04-01,147.84,2023-07-13 16:47:44
2019-03-01,147.788,2023-07-13 16:47:44
2019-02-01,147.226,2023-07-13 16:47:44
2019-01-01,147.059,2023-07-13 16:47:44
2018-12-01,146.126,2023-07-13 16:47:44
