date,value,created_at
2024-01-01,177.546,2024-02-14 23:00:22
2023-12-01,176.62,2024-01-17 23:00:26
2023-11-01,178.553,2023-12-13 23:00:22
2023-10-01,179.617,2023-11-16 13:36:13
2023-09-01,178.898,2023-10-22 23:00:16
2023-08-01,178.14,2023-09-13 23:00:16
2023-07-01,177.651,2023-08-10 23:00:21
2023-06-01,176.846,2023-07-13 16:47:47
2023-05-01,176.484,2023-07-13 16:47:47
2023-04-01,174.724,2023-07-13 16:47:47
2023-03-01,173.801,2023-07-13 16:47:47
2023-02-01,172.394,2023-07-13 16:47:47
2023-01-01,171.539,2023-07-13 16:47:47
2022-12-01,171.058,2023-07-13 16:47:47
2022-11-01,171.226,2023-07-13 16:47:47
2022-10-01,170.89,2023-07-13 16:47:47
2022-09-01,170.217,2023-07-13 16:47:47
2022-08-01,169.576,2023-07-13 16:47:47
2022-07-01,167.052,2023-07-13 16:47:47
2022-06-01,165.353,2023-07-13 16:47:47
2022-05-01,164.174,2023-07-13 16:47:47
2022-04-01,163.713,2023-07-13 16:47:47
2022-03-01,163.175,2023-07-13 16:47:47
2022-02-01,161.496,2023-07-13 16:47:47
2022-01-01,160.224,2023-07-13 16:47:47
2021-12-01,159.06,2023-07-13 16:47:47
2021-11-01,159.359,2023-07-13 16:47:47
2021-10-01,160.038,2023-07-13 16:47:47
2021-09-01,159.755,2023-07-13 16:47:47
2021-08-01,159.966,2023-07-13 16:47:47
2021-07-01,159.111,2023-07-13 16:47:47
2021-06-01,159.296,2023-07-13 16:47:47
2021-05-01,159.678,2023-07-13 16:47:47
2021-04-01,160.308,2023-07-13 16:47:47
2021-03-01,159.962,2023-07-13 16:47:47
2021-02-01,160.214,2023-07-13 16:47:47
2021-01-01,159.785,2023-07-13 16:47:47
2020-12-01,158.846,2023-07-13 16:47:47
2020-11-01,159.758,2023-07-13 16:47:47
2020-10-01,159.704,2023-07-13 16:47:47
2020-09-01,159.878,2023-07-13 16:47:47
2020-08-01,160.328,2023-07-13 16:47:47
2020-07-01,160.218,2023-07-13 16:47:47
2020-06-01,159.331,2023-07-13 16:47:47
2020-05-01,160.212,2023-07-13 16:47:47
2020-04-01,160.797,2023-07-13 16:47:47
2020-03-01,161.018,2023-07-13 16:47:47
2020-02-01,161.196,2023-07-13 16:47:47
2020-01-01,159.47,2023-07-13 16:47:47
2019-12-01,159.352,2023-07-13 16:47:47
2019-11-01,161.193,2023-07-13 16:47:47
2019-10-01,161.103,2023-07-13 16:47:47
2019-09-01,160.662,2023-07-13 16:47:47
2019-08-01,161.094,2023-07-13 16:47:47
2019-07-01,161.071,2023-07-13 16:47:47
2019-06-01,160.148,2023-07-13 16:47:47
2019-05-01,160.588,2023-07-13 16:47:47
2019-04-01,160.868,2023-07-13 16:47:47
2019-03-01,160.19,2023-07-13 16:47:47
2019-02-01,160.772,2023-07-13 16:47:47
2019-01-01,161.397,2023-07-13 16:47:47
2018-12-01,160.727,2023-07-13 16:47:47
2018-11-01,160.79,2023-07-13 16:47:47
2018-10-01,161.101,2023-07-13 16:47:47
2018-09-01,161.457,2023-07-13 16:47:47
2018-08-01,161.302,2023-07-13 16:47:47
2018-07-01,161.265,2023-07-13 16:47:47
2018-06-01,161.122,2023-07-13 16:47:47
2018-05-01,161.707,2023-07-13 16:47:47
2018-04-01,161.929,2023-07-13 16:47:47
2018-03-01,161.995,2023-07-13 16:47:47
2018-02-01,162.089,2023-07-13 16:47:47
2018-01-01,161.939,2023-07-13 16:47:47
2017-12-01,161.303,2023-07-13 16:47:47
2017-11-01,162.223,2023-07-13 16:47:47
2017-10-01,161.685,2023-07-13 16:47:47
2017-09-01,161.511,2023-07-13 16:47:47
2017-08-01,160.678,2023-07-13 16:47:47
2017-07-01,161.577,2023-07-13 16:47:47
2017-06-01,161.602,2023-07-13 16:47:47
2017-05-01,161.04,2023-07-13 16:47:47
2017-04-01,161.915,2023-07-13 16:47:47
2017-03-01,161.555,2023-07-13 16:47:47
2017-02-01,162.497,2023-07-13 16:47:47
2017-01-01,162.379,2023-07-13 16:47:47
2016-12-01,162.566,2023-07-13 16:47:47
2016-11-01,162.264,2023-07-13 16:47:47
2016-10-01,162.69,2023-07-13 16:47:47
2016-09-01,163.164,2023-07-13 16:47:47
2016-08-01,163.351,2023-07-13 16:47:47
2016-07-01,162.878,2023-07-13 16:47:47
2016-06-01,162.509,2023-07-13 16:47:47
2016-05-01,163.162,2023-07-13 16:47:47
2016-04-01,163.459,2023-07-13 16:47:47
2016-03-01,163.554,2023-07-13 16:47:47
2016-02-01,163.692,2023-07-13 16:47:47
2016-01-01,163.313,2023-07-13 16:47:47
2015-12-01,163.026,2023-07-13 16:47:47
2015-11-01,163.143,2023-07-13 16:47:47
2015-10-01,163.474,2023-07-13 16:47:47
2015-09-01,162.437,2023-07-13 16:47:47
2015-08-01,161.877,2023-07-13 16:47:47
2015-07-01,162.404,2023-07-13 16:47:47
2015-06-01,162.617,2023-07-13 16:47:47
2015-05-01,163.185,2023-07-13 16:47:47
2015-04-01,163.446,2023-07-13 16:47:47
2015-03-01,164.086,2023-07-13 16:47:47
2015-02-01,164.615,2023-07-13 16:47:47
2015-01-01,164.83,2023-07-13 16:47:47
2014-12-01,162.901,2023-07-13 16:47:47
2014-11-01,163.239,2023-07-13 16:47:47
2014-10-01,164.538,2023-07-13 16:47:47
2014-09-01,164.603,2023-07-13 16:47:47
2014-08-01,164.195,2023-07-13 16:47:47
2014-07-01,163.702,2023-07-13 16:47:47
2014-06-01,162.924,2023-07-13 16:47:47
2014-05-01,162.929,2023-07-13 16:47:47
2014-04-01,163.345,2023-07-13 16:47:47
2014-03-01,163.19,2023-07-13 16:47:47
2014-02-01,163.024,2023-07-13 16:47:47
2014-01-01,162.744,2023-07-13 16:47:47
2013-12-01,162.399,2023-07-13 16:47:47
2013-11-01,161.937,2023-07-13 16:47:47
2013-10-01,161.844,2023-07-13 16:47:47
2013-09-01,162.529,2023-07-13 16:47:47
2013-08-01,162.377,2023-07-13 16:47:47
2013-07-01,161.324,2023-07-13 16:47:47
2013-06-01,161.834,2023-07-13 16:47:47
2013-05-01,161.184,2023-07-13 16:47:47
2013-04-01,162.017,2023-07-13 16:47:47
2013-03-01,162.72,2023-07-13 16:47:47
2013-02-01,160.794,2023-07-13 16:47:47
2013-01-01,160.566,2023-07-13 16:47:47
2012-12-01,161.147,2023-07-13 16:47:47
2012-11-01,162.363,2023-07-13 16:47:47
2012-10-01,162.697,2023-07-13 16:47:47
2012-09-01,163.135,2023-07-13 16:47:47
2012-08-01,163.072,2023-07-13 16:47:47
2012-07-01,162.39,2023-07-13 16:47:47
2012-06-01,162.079,2023-07-13 16:47:47
2012-05-01,161.538,2023-07-13 16:47:47
2012-04-01,163.147,2023-07-13 16:47:47
2012-03-01,162.62,2023-07-13 16:47:47
2012-02-01,160.616,2023-07-13 16:47:47
2012-01-01,161.256,2023-07-13 16:47:47
2011-12-01,160.825,2023-07-13 16:47:47
2011-11-01,161.585,2023-07-13 16:47:47
2011-10-01,160.705,2023-07-13 16:47:47
2011-09-01,160.162,2023-07-13 16:47:47
2011-08-01,159.017,2023-07-13 16:47:47
2011-07-01,159.763,2023-07-13 16:47:47
2011-06-01,160.163,2023-07-13 16:47:47
2011-05-01,159.478,2023-07-13 16:47:47
2011-04-01,161.418,2023-07-13 16:47:47
2011-03-01,160.981,2023-07-13 16:47:47
2011-02-01,161.325,2023-07-13 16:47:47
2011-01-01,160.92,2023-07-13 16:47:47
2010-12-01,160.656,2023-07-13 16:47:47
2010-11-01,160.401,2023-07-13 16:47:47
2010-10-01,159.951,2023-07-13 16:47:47
2010-09-01,160.985,2023-07-13 16:47:47
2010-08-01,161.337,2023-07-13 16:47:47
2010-07-01,161.372,2023-07-13 16:47:47
2010-06-01,160.061,2023-07-13 16:47:47
