date,value,created_at
2024-01-01,688.843,2024-02-14 23:00:22
2023-12-01,694.59,2024-01-17 23:00:28
2023-11-01,684.378,2023-12-13 23:00:22
2023-10-01,694.56,2023-11-16 13:36:13
2023-09-01,698.45,2023-10-22 23:00:17
2023-08-01,694.564,2023-09-13 23:00:17
2023-07-01,695.378,2023-08-10 23:00:23
2023-06-01,697.925,2023-07-13 16:47:47
2023-05-01,707.858,2023-07-13 16:47:47
2023-04-01,704.119,2023-07-13 16:47:47
2023-03-01,707.82,2023-07-13 16:47:47
2023-02-01,717.706,2023-07-13 16:47:47
2023-01-01,717.542,2023-07-13 16:47:47
2022-12-01,720.642,2023-07-13 16:47:47
2022-11-01,718.85,2023-07-13 16:47:47
2022-10-01,717.775,2023-07-13 16:47:47
2022-09-01,716.259,2023-07-13 16:47:47
2022-08-01,719.287,2023-07-13 16:47:47
2022-07-01,717.006,2023-07-13 16:47:47
2022-06-01,717.247,2023-07-13 16:47:47
2022-05-01,717.038,2023-07-13 16:47:47
2022-04-01,701.848,2023-07-13 16:47:47
2022-03-01,702.848,2023-07-13 16:47:47
2022-02-01,699.194,2023-07-13 16:47:47
2022-01-01,702.326,2023-07-13 16:47:47
2021-12-01,683.632,2023-07-13 16:47:47
2021-11-01,682.911,2023-07-13 16:47:47
2021-10-01,685.851,2023-07-13 16:47:47
2021-09-01,685.005,2023-07-13 16:47:47
2021-08-01,687.667,2023-07-13 16:47:47
2021-07-01,695.36,2023-07-13 16:47:47
2021-06-01,691.804,2023-07-13 16:47:47
2021-05-01,691.128,2023-07-13 16:47:47
2021-04-01,686.521,2023-07-13 16:47:47
2021-03-01,677.099,2023-07-13 16:47:47
2021-02-01,693.357,2023-07-13 16:47:47
2021-01-01,684.568,2023-07-13 16:47:47
2020-12-01,686.054,2023-07-13 16:47:47
2020-11-01,681.564,2023-07-13 16:47:47
2020-10-01,683.131,2023-07-13 16:47:47
2020-09-01,683.136,2023-07-13 16:47:47
2020-08-01,685.181,2023-07-13 16:47:47
2020-07-01,677.979,2023-07-13 16:47:47
2020-06-01,674.802,2023-07-13 16:47:47
2020-05-01,677.189,2023-07-13 16:47:47
2020-04-01,677.144,2023-07-13 16:47:47
2020-03-01,671.048,2023-07-13 16:47:47
2020-02-01,670.41,2023-07-13 16:47:47
2020-01-01,664.948,2023-07-13 16:47:47
2019-12-01,681.151,2023-07-13 16:47:47
2019-11-01,680.251,2023-07-13 16:47:47
2019-10-01,676.964,2023-07-13 16:47:47
2019-09-01,681.853,2023-07-13 16:47:47
2019-08-01,694.264,2023-07-13 16:47:47
2019-07-01,683.624,2023-07-13 16:47:47
2019-06-01,686.251,2023-07-13 16:47:47
2019-05-01,683.088,2023-07-13 16:47:47
2019-04-01,688.736,2023-07-13 16:47:47
2019-03-01,689.515,2023-07-13 16:47:47
2019-02-01,692.467,2023-07-13 16:47:47
2019-01-01,686.211,2023-07-13 16:47:47
2018-12-01,694.834,2023-07-13 16:47:47
2018-11-01,690.333,2023-07-13 16:47:47
2018-10-01,691.11,2023-07-13 16:47:47
2018-09-01,695.069,2023-07-13 16:47:47
2018-08-01,697.221,2023-07-13 16:47:47
2018-07-01,704.868,2023-07-13 16:47:47
2018-06-01,701.303,2023-07-13 16:47:47
2018-05-01,711.872,2023-07-13 16:47:47
2018-04-01,691.264,2023-07-13 16:47:47
2018-03-01,695.459,2023-07-13 16:47:47
2018-02-01,693.578,2023-07-13 16:47:47
2018-01-01,686.318,2023-07-13 16:47:47
2017-12-01,687.646,2023-07-13 16:47:47
2017-11-01,696.688,2023-07-13 16:47:47
2017-10-01,686.535,2023-07-13 16:47:47
2017-09-01,682.696,2023-07-13 16:47:47
2017-08-01,690.041,2023-07-13 16:47:47
2017-07-01,691.689,2023-07-13 16:47:47
2017-06-01,682.327,2023-07-13 16:47:47
2017-05-01,682.217,2023-07-13 16:47:47
2017-04-01,688.56,2023-07-13 16:47:47
2017-03-01,698.235,2023-07-13 16:47:47
2017-02-01,696.371,2023-07-13 16:47:47
2017-01-01,690.427,2023-07-13 16:47:47
2016-12-01,700.386,2023-07-13 16:47:47
2016-11-01,700.418,2023-07-13 16:47:47
2016-10-01,695.365,2023-07-13 16:47:47
2016-09-01,693.598,2023-07-13 16:47:47
2016-08-01,687.438,2023-07-13 16:47:47
2016-07-01,678.015,2023-07-13 16:47:47
2016-06-01,675.052,2023-07-13 16:47:47
2016-05-01,666.306,2023-07-13 16:47:47
2016-04-01,666.544,2023-07-13 16:47:47
2016-03-01,658.775,2023-07-13 16:47:47
2016-02-01,660.05,2023-07-13 16:47:47
2016-01-01,663.452,2023-07-13 16:47:47
2015-12-01,664.102,2023-07-13 16:47:47
2015-11-01,660.713,2023-07-13 16:47:47
2015-10-01,658.714,2023-07-13 16:47:47
2015-09-01,655.742,2023-07-13 16:47:47
2015-08-01,651.553,2023-07-13 16:47:47
2015-07-01,641.636,2023-07-13 16:47:47
2015-06-01,637.974,2023-07-13 16:47:47
2015-05-01,642.547,2023-07-13 16:47:47
2015-04-01,642.694,2023-07-13 16:47:47
2015-03-01,642.611,2023-07-13 16:47:47
2015-02-01,639.453,2023-07-13 16:47:47
2015-01-01,640.246,2023-07-13 16:47:47
2014-12-01,635.884,2023-07-13 16:47:47
2014-11-01,631.814,2023-07-13 16:47:47
2014-10-01,631.817,2023-07-13 16:47:47
2014-09-01,627.613,2023-07-13 16:47:47
2014-08-01,622.421,2023-07-13 16:47:47
2014-07-01,608.757,2023-07-13 16:47:47
2014-06-01,606.46,2023-07-13 16:47:47
2014-05-01,607.559,2023-07-13 16:47:47
2014-04-01,605.715,2023-07-13 16:47:47
2014-03-01,602.091,2023-07-13 16:47:47
2014-02-01,604.231,2023-07-13 16:47:47
2014-01-01,601.006,2023-07-13 16:47:47
2013-12-01,607.855,2023-07-13 16:47:47
2013-11-01,606.596,2023-07-13 16:47:47
2013-10-01,604.834,2023-07-13 16:47:47
2013-09-01,599.859,2023-07-13 16:47:47
2013-08-01,591.77,2023-07-13 16:47:47
2013-07-01,594.314,2023-07-13 16:47:47
2013-06-01,590.797,2023-07-13 16:47:47
2013-05-01,590.842,2023-07-13 16:47:47
2013-04-01,588.734,2023-07-13 16:47:47
2013-03-01,588.67,2023-07-13 16:47:47
2013-02-01,585.637,2023-07-13 16:47:47
2013-01-01,586.606,2023-07-13 16:47:47
2012-12-01,578.816,2023-07-13 16:47:47
2012-11-01,580.307,2023-07-13 16:47:47
2012-10-01,577.676,2023-07-13 16:47:47
2012-09-01,577.816,2023-07-13 16:47:47
