date,value,created_at
2024-01-01,154.879,2024-02-14 23:00:22
2023-12-01,152.712,2024-01-17 23:00:28
2023-11-01,151.521,2023-12-13 23:00:22
2023-10-01,151.478,2023-11-16 13:36:13
2023-09-01,150.149,2023-10-22 23:00:17
2023-08-01,150.646,2023-09-13 23:00:17
2023-07-01,151.355,2023-08-10 23:00:23
2023-06-01,150.035,2023-07-13 16:47:47
2023-05-01,149.77,2023-07-13 16:47:47
2023-04-01,150.279,2023-07-13 16:47:47
2023-03-01,150.178,2023-07-13 16:47:47
2023-02-01,150.698,2023-07-13 16:47:47
2023-01-01,148.163,2023-07-13 16:47:47
2022-12-01,145.719,2023-07-13 16:47:47
2022-11-01,144.694,2023-07-13 16:47:47
2022-10-01,143.642,2023-07-13 16:47:47
2022-09-01,142.877,2023-07-13 16:47:47
2022-08-01,142.026,2023-07-13 16:47:47
2022-07-01,141.55,2023-07-13 16:47:47
2022-06-01,141.735,2023-07-13 16:47:47
2022-05-01,141.536,2023-07-13 16:47:47
2022-04-01,141.694,2023-07-13 16:47:47
2022-03-01,140.64,2023-07-13 16:47:47
2022-02-01,140.97,2023-07-13 16:47:47
2022-01-01,140.232,2023-07-13 16:47:47
2021-12-01,138.89,2023-07-13 16:47:47
2021-11-01,138.62,2023-07-13 16:47:47
2021-10-01,138.884,2023-07-13 16:47:47
2021-09-01,137.938,2023-07-13 16:47:47
2021-08-01,138.643,2023-07-13 16:47:47
2021-07-01,136.898,2023-07-13 16:47:47
2021-06-01,136.346,2023-07-13 16:47:47
2021-05-01,135.191,2023-07-13 16:47:47
2021-04-01,133.687,2023-07-13 16:47:47
2021-03-01,133.94,2023-07-13 16:47:47
2021-02-01,133.303,2023-07-13 16:47:47
2021-01-01,132.04,2023-07-13 16:47:47
2020-12-01,131.237,2023-07-13 16:47:47
2020-11-01,131.126,2023-07-13 16:47:47
2020-10-01,130.917,2023-07-13 16:47:47
2020-09-01,128.526,2023-07-13 16:47:47
2020-08-01,127.899,2023-07-13 16:47:47
2020-07-01,128.038,2023-07-13 16:47:47
2020-06-01,128.169,2023-07-13 16:47:47
2020-05-01,128.518,2023-07-13 16:47:47
2020-04-01,129.071,2023-07-13 16:47:47
2020-03-01,127.995,2023-07-13 16:47:47
2020-02-01,127.916,2023-07-13 16:47:47
2020-01-01,127.489,2023-07-13 16:47:47
2019-12-01,125.437,2023-07-13 16:47:47
2019-11-01,125.027,2023-07-13 16:47:47
2019-10-01,123.474,2023-07-13 16:47:47
2019-09-01,122.137,2023-07-13 16:47:47
2019-08-01,120.669,2023-07-13 16:47:47
2019-07-01,120.449,2023-07-13 16:47:47
2019-06-01,119.688,2023-07-13 16:47:47
2019-05-01,119.25,2023-07-13 16:47:47
2019-04-01,118.711,2023-07-13 16:47:47
2019-03-01,118.592,2023-07-13 16:47:47
2019-02-01,118.186,2023-07-13 16:47:47
2019-01-01,117.866,2023-07-13 16:47:47
2018-12-01,117.321,2023-07-13 16:47:47
2018-11-01,117.06,2023-07-13 16:47:47
2018-10-01,116.666,2023-07-13 16:47:47
2018-09-01,117.942,2023-07-13 16:47:47
2018-08-01,117.499,2023-07-13 16:47:47
2018-07-01,117.791,2023-07-13 16:47:47
2018-06-01,117.117,2023-07-13 16:47:47
2018-05-01,116.807,2023-07-13 16:47:47
2018-04-01,116.52,2023-07-13 16:47:47
2018-03-01,116.726,2023-07-13 16:47:47
2018-02-01,117.67,2023-07-13 16:47:47
2018-01-01,117.473,2023-07-13 16:47:47
2017-12-01,117.34,2023-07-13 16:47:47
2017-11-01,116.526,2023-07-13 16:47:47
2017-10-01,115.944,2023-07-13 16:47:47
2017-09-01,115.888,2023-07-13 16:47:47
2017-08-01,116.174,2023-07-13 16:47:47
2017-07-01,116.037,2023-07-13 16:47:47
2017-06-01,115.642,2023-07-13 16:47:47
2017-05-01,115.7,2023-07-13 16:47:47
2017-04-01,116.37,2023-07-13 16:47:47
2017-03-01,116.158,2023-07-13 16:47:47
2017-02-01,116.453,2023-07-13 16:47:47
2017-01-01,115.005,2023-07-13 16:47:47
2016-12-01,114.835,2023-07-13 16:47:47
2016-11-01,114.418,2023-07-13 16:47:47
2016-10-01,113.778,2023-07-13 16:47:47
2016-09-01,113.779,2023-07-13 16:47:47
2016-08-01,114.71,2023-07-13 16:47:47
2016-07-01,114.023,2023-07-13 16:47:47
2016-06-01,114.225,2023-07-13 16:47:47
2016-05-01,114.882,2023-07-13 16:47:47
2016-04-01,114.877,2023-07-13 16:47:47
2016-03-01,114.896,2023-07-13 16:47:47
2016-02-01,115.143,2023-07-13 16:47:47
2016-01-01,114.603,2023-07-13 16:47:47
2015-12-01,113.862,2023-07-13 16:47:47
2015-11-01,113.904,2023-07-13 16:47:47
2015-10-01,113.998,2023-07-13 16:47:47
2015-09-01,113.943,2023-07-13 16:47:47
2015-08-01,113.83,2023-07-13 16:47:47
2015-07-01,113.632,2023-07-13 16:47:47
2015-06-01,113.484,2023-07-13 16:47:47
2015-05-01,113.279,2023-07-13 16:47:47
2015-04-01,113.029,2023-07-13 16:47:47
2015-03-01,113.104,2023-07-13 16:47:47
2015-02-01,112.696,2023-07-13 16:47:47
2015-01-01,112.316,2023-07-13 16:47:47
2014-12-01,111.372,2023-07-13 16:47:47
2014-11-01,111.041,2023-07-13 16:47:47
2014-10-01,111.195,2023-07-13 16:47:47
2014-09-01,111.249,2023-07-13 16:47:47
2014-08-01,111.089,2023-07-13 16:47:47
2014-07-01,111.091,2023-07-13 16:47:47
2014-06-01,111.001,2023-07-13 16:47:47
2014-05-01,111.14,2023-07-13 16:47:47
2014-04-01,110.784,2023-07-13 16:47:47
2014-03-01,110.822,2023-07-13 16:47:47
2014-02-01,110.814,2023-07-13 16:47:47
2014-01-01,111.112,2023-07-13 16:47:47
2013-12-01,109.35,2023-07-13 16:47:47
2013-11-01,109.202,2023-07-13 16:47:47
