date,value,created_at
2024-01-01,75.086,2024-02-14 23:00:23
2023-12-01,73.037,2024-01-17 23:00:28
2023-11-01,74.289,2023-12-13 23:00:22
2023-10-01,75.663,2023-11-16 13:36:13
2023-09-01,76.744,2023-10-22 23:00:17
2023-08-01,77.284,2023-09-13 23:00:17
2023-07-01,77.745,2023-08-10 23:00:23
2023-06-01,77.643,2023-07-13 16:47:47
2023-05-01,78.149,2023-07-13 16:47:47
2023-04-01,78.07,2023-07-13 16:47:47
2023-03-01,78.817,2023-07-13 16:47:47
2023-02-01,78.292,2023-07-13 16:47:47
2023-01-01,76.556,2023-07-13 16:47:47
2022-12-01,73.045,2023-07-13 16:47:47
2022-11-01,73.547,2023-07-13 16:47:47
2022-10-01,73.646,2023-07-13 16:47:47
2022-09-01,74.408,2023-07-13 16:47:47
2022-08-01,73.42,2023-07-13 16:47:47
2022-07-01,73.896,2023-07-13 16:47:47
2022-06-01,74.494,2023-07-13 16:47:47
2022-05-01,73.868,2023-07-13 16:47:47
2022-04-01,73.97,2023-07-13 16:47:47
2022-03-01,74.079,2023-07-13 16:47:47
2022-02-01,73.742,2023-07-13 16:47:47
2022-01-01,73.328,2023-07-13 16:47:47
2021-12-01,71.686,2023-07-13 16:47:47
2021-11-01,71.449,2023-07-13 16:47:47
2021-10-01,72.776,2023-07-13 16:47:47
2021-09-01,72.564,2023-07-13 16:47:47
2021-08-01,70.976,2023-07-13 16:47:47
2021-07-01,69.889,2023-07-13 16:47:47
2021-06-01,70.247,2023-07-13 16:47:47
2021-05-01,70.495,2023-07-13 16:47:47
2021-04-01,70.008,2023-07-13 16:47:47
2021-03-01,70.084,2023-07-13 16:47:47
2021-02-01,70.03,2023-07-13 16:47:47
2021-01-01,68.065,2023-07-13 16:47:47
2020-12-01,68.473,2023-07-13 16:47:47
2020-11-01,68.323,2023-07-13 16:47:47
2020-10-01,68.064,2023-07-13 16:47:47
2020-09-01,68.668,2023-07-13 16:47:47
2020-08-01,69.28,2023-07-13 16:47:47
2020-07-01,69.181,2023-07-13 16:47:47
2020-06-01,69.105,2023-07-13 16:47:47
2020-05-01,67.683,2023-07-13 16:47:47
2020-04-01,67.683,2023-07-13 16:47:47
2020-03-01,67.04,2023-07-13 16:47:47
2020-02-01,67.127,2023-07-13 16:47:47
2020-01-01,67.599,2023-07-13 16:47:47
2019-12-01,67.694,2023-07-13 16:47:47
2019-11-01,67.812,2023-07-13 16:47:47
2019-10-01,67.689,2023-07-13 16:47:47
2019-09-01,67.249,2023-07-13 16:47:47
2019-08-01,66.098,2023-07-13 16:47:47
2019-07-01,66.297,2023-07-13 16:47:47
2019-06-01,66.655,2023-07-13 16:47:47
2019-05-01,65.868,2023-07-13 16:47:47
2019-04-01,66.449,2023-07-13 16:47:47
2019-03-01,66.428,2023-07-13 16:47:47
2019-02-01,66.896,2023-07-13 16:47:47
2019-01-01,66.635,2023-07-13 16:47:47
2018-12-01,64.724,2023-07-13 16:47:47
2018-11-01,66.125,2023-07-13 16:47:47
2018-10-01,67.22,2023-07-13 16:47:47
2018-09-01,66.151,2023-07-13 16:47:47
2018-08-01,65.688,2023-07-13 16:47:47
2018-07-01,65.381,2023-07-13 16:47:47
2018-06-01,65.166,2023-07-13 16:47:47
2018-05-01,64.925,2023-07-13 16:47:47
2018-04-01,65.166,2023-07-13 16:47:47
2018-03-01,64.77,2023-07-13 16:47:47
2018-02-01,64.09,2023-07-13 16:47:47
2018-01-01,63.748,2023-07-13 16:47:47
