date,value,created_at
2024-01-01,109.689,2024-02-14 23:00:23
2023-09-01,116.609,2023-10-22 23:00:17
2023-08-01,116.786,2023-09-13 23:00:17
2023-07-01,115.476,2023-08-10 23:00:24
2023-06-01,115.583,2023-07-13 16:47:48
2023-05-01,114.904,2023-07-13 16:47:48
2023-04-01,116.765,2023-07-13 16:47:48
2023-03-01,117.69,2023-07-13 16:47:48
2023-01-01,111.465,2023-07-13 16:47:48
2022-12-01,110.411,2023-07-13 16:47:48
2022-11-01,108.744,2023-07-13 16:47:48
2022-10-01,110.885,2023-07-13 16:47:48
2022-09-01,111.488,2023-07-13 16:47:48
2022-07-01,104.258,2023-07-13 16:47:48
2022-06-01,103.603,2023-07-13 16:47:48
2021-01-01,82.018,2023-07-13 16:47:48
2020-08-01,83.676,2023-07-13 16:47:48
2020-05-01,85.792,2023-07-13 16:47:48
2020-03-01,84.83,2023-07-13 16:47:48
2020-02-01,85.321,2023-07-13 16:47:48
2020-01-01,85.101,2023-07-13 16:47:48
2019-12-01,85.24,2023-07-13 16:47:48
2019-11-01,85.841,2023-07-13 16:47:48
2019-10-01,86.396,2023-07-13 16:47:48
2019-09-01,86.407,2023-07-13 16:47:48
2019-08-01,86.095,2023-07-13 16:47:48
2019-07-01,86.112,2023-07-13 16:47:48
2019-06-01,86.196,2023-07-13 16:47:48
2019-05-01,86.809,2023-07-13 16:47:48
2019-04-01,87.892,2023-07-13 16:47:48
2019-03-01,87.964,2023-07-13 16:47:48
2019-02-01,88.488,2023-07-13 16:47:48
2019-01-01,89.925,2023-07-13 16:47:48
2018-12-01,90.136,2023-07-13 16:47:48
2018-11-01,89.249,2023-07-13 16:47:48
2018-10-01,89.41,2023-07-13 16:47:48
2018-09-01,90.505,2023-07-13 16:47:48
2018-08-01,90.272,2023-07-13 16:47:48
2018-07-01,90.242,2023-07-13 16:47:48
2018-06-01,89.612,2023-07-13 16:47:48
2018-05-01,88.225,2023-07-13 16:47:48
2018-04-01,87.743,2023-07-13 16:47:48
2018-03-01,88.242,2023-07-13 16:47:48
2018-02-01,88.773,2023-07-13 16:47:48
2018-01-01,87.673,2023-07-13 16:47:48
2017-12-01,86.583,2023-07-13 16:47:48
2017-11-01,86.12,2023-07-13 16:47:48
2017-10-01,85.175,2023-07-13 16:47:48
2017-09-01,84.311,2023-07-13 16:47:48
2017-08-01,84.336,2023-07-13 16:47:48
2017-07-01,84.803,2023-07-13 16:47:48
2017-06-01,84.802,2023-07-13 16:47:48
2017-05-01,85.131,2023-07-13 16:47:48
2017-04-01,84.69,2023-07-13 16:47:48
2017-03-01,83.83,2023-07-13 16:47:48
2017-02-01,84.727,2023-07-13 16:47:48
2017-01-01,83.08,2023-07-13 16:47:48
2016-12-01,83.252,2023-07-13 16:47:48
2016-11-01,83.177,2023-07-13 16:47:48
2016-10-01,83.799,2023-07-13 16:47:48
2016-09-01,83.416,2023-07-13 16:47:48
2016-08-01,84.095,2023-07-13 16:47:48
2016-07-01,85.51,2023-07-13 16:47:48
2016-06-01,84.817,2023-07-13 16:47:48
2016-05-01,85.081,2023-07-13 16:47:48
2016-04-01,85.471,2023-07-13 16:47:48
2016-03-01,84.978,2023-07-13 16:47:48
2016-02-01,85.224,2023-07-13 16:47:48
2016-01-01,85.636,2023-07-13 16:47:48
2015-12-01,85.614,2023-07-13 16:47:48
2015-11-01,84.495,2023-07-13 16:47:48
2015-10-01,83.628,2023-07-13 16:47:48
2015-09-01,83.13,2023-07-13 16:47:48
2015-08-01,82.614,2023-07-13 16:47:48
2015-07-01,83.306,2023-07-13 16:47:48
2015-06-01,83.292,2023-07-13 16:47:48
2015-05-01,83.93,2023-07-13 16:47:48
2015-04-01,85.266,2023-07-13 16:47:48
2015-03-01,85.371,2023-07-13 16:47:48
2015-02-01,84.422,2023-07-13 16:47:48
2015-01-01,85.608,2023-07-13 16:47:48
2014-12-01,85.35,2023-07-13 16:47:48
2014-11-01,85.096,2023-07-13 16:47:48
2014-10-01,85.541,2023-07-13 16:47:48
2014-09-01,84.475,2023-07-13 16:47:48
2014-08-01,83.842,2023-07-13 16:47:48
2014-07-01,84.015,2023-07-13 16:47:48
2014-06-01,84.211,2023-07-13 16:47:48
2014-05-01,84.898,2023-07-13 16:47:48
2014-04-01,84.923,2023-07-13 16:47:48
2014-03-01,85.198,2023-07-13 16:47:48
2014-02-01,84.924,2023-07-13 16:47:48
2014-01-01,84.909,2023-07-13 16:47:48
2013-12-01,85.476,2023-07-13 16:47:48
2013-11-01,87.142,2023-07-13 16:47:48
2013-10-01,87.464,2023-07-13 16:47:48
2013-09-01,86.481,2023-07-13 16:47:48
2013-08-01,85.797,2023-07-13 16:47:48
2013-07-01,86.616,2023-07-13 16:47:48
2013-06-01,86.286,2023-07-13 16:47:48
2013-05-01,86.203,2023-07-13 16:47:48
2013-04-01,86.752,2023-07-13 16:47:48
2013-03-01,87.224,2023-07-13 16:47:48
2013-02-01,87.8,2023-07-13 16:47:48
2013-01-01,87.709,2023-07-13 16:47:48
2012-12-01,88.319,2023-07-13 16:47:48
2012-11-01,87.922,2023-07-13 16:47:48
2012-10-01,88.552,2023-07-13 16:47:48
2012-09-01,89.281,2023-07-13 16:47:48
2012-08-01,88.345,2023-07-13 16:47:48
2012-07-01,89.069,2023-07-13 16:47:48
2012-06-01,89.953,2023-07-13 16:47:48
2012-05-01,89.776,2023-07-13 16:47:48
2012-04-01,90.422,2023-07-13 16:47:48
2012-03-01,90.388,2023-07-13 16:47:48
2012-02-01,90.385,2023-07-13 16:47:48
2012-01-01,91.452,2023-07-13 16:47:48
2011-12-01,92.041,2023-07-13 16:47:48
2011-11-01,92.942,2023-07-13 16:47:48
2011-10-01,93.927,2023-07-13 16:47:48
2011-09-01,94.266,2023-07-13 16:47:48
2011-08-01,94.045,2023-07-13 16:47:48
2011-07-01,95.389,2023-07-13 16:47:48
2011-06-01,96.164,2023-07-13 16:47:48
2011-05-01,95.528,2023-07-13 16:47:48
2011-04-01,94.797,2023-07-13 16:47:48
2011-03-01,94.481,2023-07-13 16:47:48
2011-02-01,94.06,2023-07-13 16:47:48
2011-01-01,94.683,2023-07-13 16:47:48
2010-12-01,94.799,2023-07-13 16:47:48
2010-11-01,95.631,2023-07-13 16:47:48
2010-10-01,95.833,2023-07-13 16:47:48
2010-09-01,95.899,2023-07-13 16:47:48
2010-08-01,95.991,2023-07-13 16:47:48
2010-07-01,96.563,2023-07-13 16:47:48
2010-06-01,96.901,2023-07-13 16:47:48
2010-05-01,97.349,2023-07-13 16:47:48
2010-04-01,97.71,2023-07-13 16:47:48
2010-03-01,98.952,2023-07-13 16:47:48
2010-02-01,99.362,2023-07-13 16:47:48
2010-01-01,98.482,2023-07-13 16:47:48
2009-12-01,99.045,2023-07-13 16:47:48
2009-11-01,100.983,2023-07-13 16:47:48
2009-10-01,101.43,2023-07-13 16:47:48
2009-09-01,101.929,2023-07-13 16:47:48
2009-08-01,102.551,2023-07-13 16:47:48
2009-07-01,102.048,2023-07-13 16:47:48
2009-06-01,102.111,2023-07-13 16:47:48
2009-05-01,104.603,2023-07-13 16:47:48
2009-04-01,105.337,2023-07-13 16:47:48
2009-03-01,103.898,2023-07-13 16:47:48
2009-02-01,104.23,2023-07-13 16:47:48
2009-01-01,100.801,2023-07-13 16:47:48
