date,value,created_at
2024-01-01,794.142,2024-02-14 23:00:23
2023-12-01,780.284,2024-01-17 23:00:28
2023-11-01,768.249,2023-12-13 23:00:23
2023-10-01,759.704,2023-11-16 13:36:14
2023-09-01,742.292,2023-10-22 23:00:17
2023-08-01,733.141,2023-09-13 23:00:17
2023-07-01,717.799,2023-08-10 23:00:24
2023-06-01,705.717,2023-07-13 16:47:48
2023-05-01,695.929,2023-07-13 16:47:48
2023-04-01,684.166,2023-07-13 16:47:48
2023-03-01,677.445,2023-07-13 16:47:48
2023-02-01,668.806,2023-07-13 16:47:48
2023-01-01,658.513,2023-07-13 16:47:48
2022-12-01,648.771,2023-07-13 16:47:48
2022-11-01,644.317,2023-07-13 16:47:48
2022-10-01,637.103,2023-07-13 16:47:48
2022-09-01,624.558,2023-07-13 16:47:48
2022-08-01,615.559,2023-07-13 16:47:48
2022-07-01,609.585,2023-07-13 16:47:48
2022-06-01,603.932,2023-07-13 16:47:48
2022-05-01,594.437,2023-07-13 16:47:48
2022-04-01,592.317,2023-07-13 16:47:48
2022-03-01,589.143,2023-07-13 16:47:48
2022-02-01,584.317,2023-07-13 16:47:48
2022-01-01,574.042,2023-07-13 16:47:48
2021-12-01,567.875,2023-07-13 16:47:48
2021-11-01,568.239,2023-07-13 16:47:48
2021-10-01,564.507,2023-07-13 16:47:48
2021-09-01,566.211,2023-07-13 16:47:48
2021-08-01,566.183,2023-07-13 16:47:48
2021-07-01,567.463,2023-07-13 16:47:48
2021-06-01,569.656,2023-07-13 16:47:48
2021-05-01,569.01,2023-07-13 16:47:48
2021-04-01,567.509,2023-07-13 16:47:48
2021-03-01,565.166,2023-07-13 16:47:48
2021-02-01,560.386,2023-07-13 16:47:48
2021-01-01,551.552,2023-07-13 16:47:48
2020-12-01,545.376,2023-07-13 16:47:48
2020-11-01,537.765,2023-07-13 16:47:48
2020-10-01,531.217,2023-07-13 16:47:48
2020-09-01,540.491,2023-07-13 16:47:48
2020-08-01,560.623,2023-07-13 16:47:48
2020-07-01,558.276,2023-07-13 16:47:48
2020-06-01,511.639,2023-07-13 16:47:48
2020-05-01,486.761,2023-07-13 16:47:48
2020-04-01,534.842,2023-07-13 16:47:48
2020-03-01,579.462,2023-07-13 16:47:48
2020-02-01,576.45,2023-07-13 16:47:48
2020-01-01,572.693,2023-07-13 16:47:48
2019-12-01,572.979,2023-07-13 16:47:48
2019-11-01,571.987,2023-07-13 16:47:48
2019-10-01,571.975,2023-07-13 16:47:48
2019-09-01,569.106,2023-07-13 16:47:48
2019-08-01,568.972,2023-07-13 16:47:48
2019-07-01,569.011,2023-07-13 16:47:48
2019-06-01,569.079,2023-07-13 16:47:48
2019-05-01,568.301,2023-07-13 16:47:48
2019-04-01,570.492,2023-07-13 16:47:48
2019-03-01,573.087,2023-07-13 16:47:48
2019-02-01,574.447,2023-07-13 16:47:48
2019-01-01,572.95,2023-07-13 16:47:48
2018-12-01,572.824,2023-07-13 16:47:48
2018-11-01,573.338,2023-07-13 16:47:48
2018-10-01,573.05,2023-07-13 16:47:48
2018-09-01,567.838,2023-07-13 16:47:48
2018-08-01,565.113,2023-07-13 16:47:48
2018-07-01,565.547,2023-07-13 16:47:48
2018-06-01,565.284,2023-07-13 16:47:48
2018-05-01,564.445,2023-07-13 16:47:48
