date,value,created_at
2024-01-01,210.485,2024-02-14 23:00:23
2023-12-01,208.173,2024-01-17 23:00:29
2023-11-01,206.851,2023-12-13 23:00:23
2023-10-01,209.234,2023-11-16 13:36:14
2023-09-01,207.755,2023-10-22 23:00:18
2023-08-01,207.755,2023-09-13 23:00:17
2023-07-01,207.467,2023-08-10 23:00:24
2023-06-01,206.044,2023-07-13 16:47:48
2023-05-01,205.725,2023-07-13 16:47:48
2023-04-01,205.629,2023-07-13 16:47:48
2023-03-01,205.417,2023-07-13 16:47:48
2023-02-01,205.964,2023-07-13 16:47:48
2023-01-01,205.103,2023-07-13 16:47:48
2022-12-01,202.739,2023-07-13 16:47:48
2022-11-01,202.455,2023-07-13 16:47:48
2022-10-01,203.288,2023-07-13 16:47:48
2022-09-01,203.956,2023-07-13 16:47:48
2022-08-01,203.0,2023-07-13 16:47:48
2022-07-01,201.967,2023-07-13 16:47:48
2022-06-01,200.631,2023-07-13 16:47:48
2022-05-01,199.663,2023-07-13 16:47:48
2022-04-01,199.462,2023-07-13 16:47:48
2022-03-01,199.703,2023-07-13 16:47:48
2022-02-01,200.009,2023-07-13 16:47:48
2022-01-01,199.71,2023-07-13 16:47:48
2021-12-01,199.162,2023-07-13 16:47:48
2021-11-01,198.874,2023-07-13 16:47:48
2021-10-01,198.275,2023-07-13 16:47:48
2021-09-01,198.675,2023-07-13 16:47:48
2021-08-01,198.251,2023-07-13 16:47:48
2021-07-01,198.421,2023-07-13 16:47:48
2021-06-01,197.585,2023-07-13 16:47:48
2021-05-01,197.634,2023-07-13 16:47:48
2021-04-01,197.187,2023-07-13 16:47:48
2021-03-01,197.156,2023-07-13 16:47:48
2021-02-01,197.841,2023-07-13 16:47:48
2021-01-01,196.997,2023-07-13 16:47:48
2020-12-01,195.481,2023-07-13 16:47:48
2020-11-01,196.012,2023-07-13 16:47:48
2020-10-01,196.587,2023-07-13 16:47:48
2020-09-01,197.065,2023-07-13 16:47:48
2020-08-01,195.451,2023-07-13 16:47:48
2020-07-01,194.807,2023-07-13 16:47:48
2020-06-01,193.609,2023-07-13 16:47:48
2020-05-01,194.421,2023-07-13 16:47:48
2020-04-01,194.649,2023-07-13 16:47:48
2020-03-01,196.743,2023-07-13 16:47:48
2020-02-01,196.341,2023-07-13 16:47:48
2020-01-01,195.981,2023-07-13 16:47:48
2019-12-01,195.327,2023-07-13 16:47:48
2019-11-01,194.994,2023-07-13 16:47:48
2019-10-01,194.724,2023-07-13 16:47:48
2019-09-01,193.711,2023-07-13 16:47:48
2019-08-01,192.528,2023-07-13 16:47:48
2019-07-01,192.534,2023-07-13 16:47:48
2019-06-01,192.175,2023-07-13 16:47:48
2019-05-01,192.33,2023-07-13 16:47:48
2019-04-01,192.022,2023-07-13 16:47:48
2019-03-01,191.578,2023-07-13 16:47:48
2019-02-01,191.515,2023-07-13 16:47:48
2019-01-01,190.909,2023-07-13 16:47:48
2018-12-01,189.62,2023-07-13 16:47:48
2018-11-01,190.018,2023-07-13 16:47:48
2018-10-01,189.382,2023-07-13 16:47:48
2018-09-01,189.226,2023-07-13 16:47:48
2018-08-01,189.229,2023-07-13 16:47:48
2018-07-01,188.611,2023-07-13 16:47:48
2018-06-01,188.495,2023-07-13 16:47:48
2018-05-01,189.139,2023-07-13 16:47:48
2018-04-01,188.218,2023-07-13 16:47:48
2018-03-01,188.088,2023-07-13 16:47:48
2018-02-01,187.452,2023-07-13 16:47:48
2018-01-01,186.598,2023-07-13 16:47:48
2017-12-01,184.452,2023-07-13 16:47:48
2017-11-01,184.954,2023-07-13 16:47:48
2017-10-01,185.715,2023-07-13 16:47:48
2017-09-01,185.265,2023-07-13 16:47:48
2017-08-01,186.125,2023-07-13 16:47:48
2017-07-01,185.801,2023-07-13 16:47:48
2017-06-01,184.953,2023-07-13 16:47:48
2017-05-01,184.913,2023-07-13 16:47:48
2017-04-01,184.623,2023-07-13 16:47:48
2017-03-01,184.504,2023-07-13 16:47:48
2017-02-01,184.488,2023-07-13 16:47:48
2017-01-01,184.484,2023-07-13 16:47:48
2016-12-01,183.974,2023-07-13 16:47:48
2016-11-01,184.043,2023-07-13 16:47:48
2016-10-01,182.437,2023-07-13 16:47:48
2016-09-01,182.861,2023-07-13 16:47:48
2016-08-01,183.594,2023-07-13 16:47:48
2016-07-01,183.031,2023-07-13 16:47:48
2016-06-01,182.302,2023-07-13 16:47:48
2016-05-01,182.212,2023-07-13 16:47:48
2016-04-01,181.85,2023-07-13 16:47:48
2016-03-01,181.669,2023-07-13 16:47:48
2016-02-01,181.515,2023-07-13 16:47:48
2016-01-01,181.485,2023-07-13 16:47:48
2015-12-01,180.576,2023-07-13 16:47:48
2015-11-01,180.504,2023-07-13 16:47:48
2015-10-01,180.418,2023-07-13 16:47:48
2015-09-01,180.373,2023-07-13 16:47:48
2015-08-01,180.349,2023-07-13 16:47:48
2015-07-01,180.033,2023-07-13 16:47:48
2015-06-01,177.619,2023-07-13 16:47:48
2015-05-01,177.743,2023-07-13 16:47:48
2015-04-01,177.711,2023-07-13 16:47:48
2015-03-01,177.443,2023-07-13 16:47:48
2015-02-01,177.388,2023-07-13 16:47:48
2015-01-01,176.586,2023-07-13 16:47:48
2014-12-01,176.374,2023-07-13 16:47:48
2014-11-01,176.141,2023-07-13 16:47:48
2014-10-01,176.045,2023-07-13 16:47:48
2014-09-01,175.256,2023-07-13 16:47:48
2014-08-01,176.966,2023-07-13 16:47:48
2014-07-01,176.925,2023-07-13 16:47:48
2014-06-01,176.701,2023-07-13 16:47:48
2014-05-01,176.786,2023-07-13 16:47:48
2014-04-01,176.707,2023-07-13 16:47:48
