date,value,created_at
2024-01-01,106.857,2024-02-14 23:00:23
2023-12-01,106.354,2024-01-17 23:00:29
2023-11-01,108.643,2023-12-13 23:00:23
2023-10-01,113.492,2023-11-16 13:36:14
2023-09-01,113.089,2023-10-22 23:00:18
2023-08-01,110.858,2023-09-13 23:00:17
2023-07-01,107.655,2023-08-10 23:00:25
2023-06-01,109.727,2023-07-13 16:47:48
2023-05-01,111.181,2023-07-13 16:47:48
2023-04-01,111.671,2023-07-13 16:47:48
2023-03-01,113.581,2023-07-13 16:47:48
2023-02-01,111.984,2023-07-13 16:47:48
2023-01-01,106.344,2023-07-13 16:47:48
2022-12-01,104.743,2023-07-13 16:47:48
2022-11-01,108.182,2023-07-13 16:47:48
2022-10-01,111.66,2023-07-13 16:47:48
2022-09-01,110.534,2023-07-13 16:47:48
2022-08-01,106.56,2023-07-13 16:47:48
2022-07-01,103.974,2023-07-13 16:47:48
2022-06-01,105.226,2023-07-13 16:47:48
2022-05-01,106.687,2023-07-13 16:47:48
2022-04-01,107.458,2023-07-13 16:47:48
2022-03-01,109.488,2023-07-13 16:47:48
2022-02-01,107.893,2023-07-13 16:47:48
2022-01-01,102.766,2023-07-13 16:47:48
2021-12-01,100.767,2023-07-13 16:47:48
2021-11-01,102.385,2023-07-13 16:47:48
2021-10-01,105.143,2023-07-13 16:47:48
2021-09-01,102.986,2023-07-13 16:47:48
2021-08-01,100.925,2023-07-13 16:47:48
2021-07-01,99.454,2023-07-13 16:47:48
2021-06-01,101.689,2023-07-13 16:47:48
2021-05-01,101.668,2023-07-13 16:47:48
2021-04-01,102.048,2023-07-13 16:47:48
2021-03-01,102.772,2023-07-13 16:47:48
2021-02-01,101.789,2023-07-13 16:47:48
2021-01-01,97.492,2023-07-13 16:47:48
2020-12-01,95.138,2023-07-13 16:47:48
2020-11-01,98.269,2023-07-13 16:47:48
2020-10-01,102.623,2023-07-13 16:47:48
2020-09-01,102.166,2023-07-13 16:47:48
2020-08-01,97.281,2023-07-13 16:47:48
2020-07-01,95.168,2023-07-13 16:47:48
2020-06-01,96.684,2023-07-13 16:47:48
2020-05-01,97.548,2023-07-13 16:47:48
2020-04-01,102.578,2023-07-13 16:47:48
2020-03-01,108.686,2023-07-13 16:47:48
2020-02-01,108.011,2023-07-13 16:47:48
2020-01-01,103.18,2023-07-13 16:47:48
2019-12-01,103.033,2023-07-13 16:47:48
2019-11-01,107.423,2023-07-13 16:47:48
2019-10-01,110.066,2023-07-13 16:47:48
2019-09-01,112.179,2023-07-13 16:47:48
2019-08-01,108.56,2023-07-13 16:47:48
2019-07-01,106.272,2023-07-13 16:47:48
2019-06-01,108.908,2023-07-13 16:47:48
2019-05-01,111.179,2023-07-13 16:47:48
2019-04-01,113.256,2023-07-13 16:47:48
2019-03-01,112.666,2023-07-13 16:47:48
2019-02-01,109.9,2023-07-13 16:47:48
2019-01-01,107.441,2023-07-13 16:47:48
2018-12-01,106.242,2023-07-13 16:47:48
2018-11-01,111.743,2023-07-13 16:47:48
2018-10-01,116.284,2023-07-13 16:47:48
2018-09-01,115.858,2023-07-13 16:47:48
2018-08-01,108.902,2023-07-13 16:47:48
2018-07-01,108.796,2023-07-13 16:47:48
2018-06-01,114.511,2023-07-13 16:47:48
2018-05-01,118.076,2023-07-13 16:47:48
2018-04-01,119.306,2023-07-13 16:47:48
2018-03-01,118.099,2023-07-13 16:47:48
2018-02-01,115.136,2023-07-13 16:47:48
2018-01-01,109.322,2023-07-13 16:47:48
2017-12-01,107.066,2023-07-13 16:47:48
2017-11-01,114.004,2023-07-13 16:47:48
2017-10-01,119.325,2023-07-13 16:47:48
2017-09-01,116.91,2023-07-13 16:47:48
2017-08-01,112.207,2023-07-13 16:47:48
2017-07-01,110.363,2023-07-13 16:47:48
2017-06-01,113.546,2023-07-13 16:47:48
2017-05-01,115.454,2023-07-13 16:47:48
2017-04-01,119.079,2023-07-13 16:47:48
2017-03-01,119.569,2023-07-13 16:47:48
2017-02-01,113.77,2023-07-13 16:47:48
2017-01-01,109.611,2023-07-13 16:47:48
2016-12-01,110.497,2023-07-13 16:47:48
2016-11-01,116.881,2023-07-13 16:47:48
2016-10-01,119.905,2023-07-13 16:47:48
2016-09-01,117.405,2023-07-13 16:47:48
2016-08-01,111.795,2023-07-13 16:47:48
2016-07-01,111.041,2023-07-13 16:47:48
2016-06-01,115.135,2023-07-13 16:47:48
2016-05-01,116.576,2023-07-13 16:47:48
2016-04-01,118.128,2023-07-13 16:47:48
2016-03-01,118.003,2023-07-13 16:47:48
2016-02-01,112.2,2023-07-13 16:47:48
2016-01-01,107.355,2023-07-13 16:47:48
2015-12-01,110.148,2023-07-13 16:47:48
2015-11-01,115.931,2023-07-13 16:47:48
2015-10-01,119.579,2023-07-13 16:47:48
2015-09-01,117.819,2023-07-13 16:47:48
2015-08-01,112.248,2023-07-13 16:47:48
2015-07-01,109.325,2023-07-13 16:47:48
2015-06-01,113.265,2023-07-13 16:47:48
2015-05-01,116.064,2023-07-13 16:47:48
2015-04-01,118.834,2023-07-13 16:47:48
2015-03-01,118.093,2023-07-13 16:47:48
2015-02-01,111.943,2023-07-13 16:47:48
2015-01-01,109.688,2023-07-13 16:47:48
2014-12-01,112.64,2023-07-13 16:47:48
2014-11-01,119.139,2023-07-13 16:47:48
2014-10-01,122.885,2023-07-13 16:47:48
2014-09-01,120.757,2023-07-13 16:47:48
2014-08-01,115.12,2023-07-13 16:47:48
2014-07-01,111.468,2023-07-13 16:47:48
2014-06-01,117.332,2023-07-13 16:47:48
2014-05-01,119.886,2023-07-13 16:47:48
2014-04-01,121.304,2023-07-13 16:47:48
2014-03-01,121.262,2023-07-13 16:47:48
2014-02-01,115.59,2023-07-13 16:47:48
2014-01-01,113.686,2023-07-13 16:47:48
2013-12-01,116.714,2023-07-13 16:47:48
2013-11-01,119.671,2023-07-13 16:47:48
2013-10-01,121.055,2023-07-13 16:47:48
2013-09-01,119.872,2023-07-13 16:47:48
2013-08-01,113.868,2023-07-13 16:47:48
2013-07-01,110.127,2023-07-13 16:47:48
2013-06-01,113.002,2023-07-13 16:47:48
2013-05-01,116.721,2023-07-13 16:47:48
2013-04-01,119.189,2023-07-13 16:47:48
2013-03-01,119.354,2023-07-13 16:47:48
2013-02-01,114.882,2023-07-13 16:47:48
2013-01-01,110.222,2023-07-13 16:47:48
2012-12-01,113.103,2023-07-13 16:47:48
2012-11-01,118.884,2023-07-13 16:47:48
2012-10-01,121.072,2023-07-13 16:47:48
2012-09-01,118.213,2023-07-13 16:47:48
2012-08-01,110.414,2023-07-13 16:47:48
2012-07-01,108.87,2023-07-13 16:47:48
2012-06-01,114.026,2023-07-13 16:47:48
2012-05-01,118.197,2023-07-13 16:47:48
2012-04-01,119.517,2023-07-13 16:47:48
2012-03-01,117.389,2023-07-13 16:47:48
2012-02-01,111.65,2023-07-13 16:47:48
2012-01-01,108.683,2023-07-13 16:47:48
2011-12-01,111.875,2023-07-13 16:47:48
2011-11-01,116.877,2023-07-13 16:47:48
2011-10-01,117.762,2023-07-13 16:47:48
2011-09-01,115.435,2023-07-13 16:47:48
2011-08-01,110.172,2023-07-13 16:47:48
2011-07-01,105.975,2023-07-13 16:47:48
2011-06-01,109.57,2023-07-13 16:47:48
2011-05-01,112.353,2023-07-13 16:47:48
2011-04-01,112.764,2023-07-13 16:47:48
2011-03-01,111.943,2023-07-13 16:47:48
2011-02-01,107.17,2023-07-13 16:47:48
2011-01-01,104.279,2023-07-13 16:47:48
2010-12-01,107.53,2023-07-13 16:47:48
2010-11-01,111.996,2023-07-13 16:47:48
2010-10-01,113.345,2023-07-13 16:47:48
2010-09-01,112.621,2023-07-13 16:47:48
2010-08-01,105.724,2023-07-13 16:47:48
2010-07-01,103.326,2023-07-13 16:47:48
2010-06-01,107.728,2023-07-13 16:47:48
2010-05-01,111.559,2023-07-13 16:47:48
2010-04-01,113.583,2023-07-13 16:47:48
2010-03-01,113.704,2023-07-13 16:47:48
2010-02-01,107.846,2023-07-13 16:47:48
2010-01-01,104.901,2023-07-13 16:47:48
2009-12-01,109.851,2023-07-13 16:47:48
2009-11-01,113.478,2023-07-13 16:47:48
2009-10-01,115.577,2023-07-13 16:47:48
2009-09-01,113.564,2023-07-13 16:47:48
2009-08-01,104.854,2023-07-13 16:47:48
2009-07-01,103.654,2023-07-13 16:47:48
2009-06-01,109.042,2023-07-13 16:47:48
2009-05-01,111.618,2023-07-13 16:47:48
2009-04-01,114.817,2023-07-13 16:47:48
2009-03-01,113.145,2023-07-13 16:47:48
2009-02-01,107.475,2023-07-13 16:47:48
2009-01-01,102.058,2023-07-13 16:47:48
