date,value,created_at
2024-02-26,3.365,2024-02-29 15:59:33
2024-02-19,3.385,2024-02-25 13:03:55
2024-02-12,3.309,2024-02-25 13:03:55
2024-02-05,3.254,2024-02-25 13:03:55
2024-01-29,3.214,2024-01-30 23:00:22
2024-01-22,3.181,2024-01-23 23:00:20
2024-01-15,3.179,2024-01-17 23:02:46
2024-01-08,3.197,2024-01-12 23:03:18
2024-01-01,3.213,2024-01-03 23:00:52
2023-12-25,3.238,2023-12-31 23:00:54
2023-12-18,3.176,2023-12-31 23:00:54
2023-12-11,3.259,2023-12-11 23:02:55
2023-12-04,3.355,2023-12-05 23:00:14
2023-11-27,3.363,2023-11-28 23:00:26
2023-11-20,3.414,2023-11-21 23:00:24
2023-11-13,3.473,2023-11-13 23:00:37
2023-11-06,3.52,2023-11-08 23:00:24
2023-10-30,3.6,2023-10-30 23:00:35
2023-10-23,3.66,2023-10-24 23:02:07
2023-10-16,3.706,2023-10-16 23:03:03
2023-10-09,3.814,2023-10-11 23:01:27
2023-10-02,3.93,2023-10-03 23:01:59
2023-09-25,3.963,2023-09-25 23:02:35
2023-09-18,4.001,2023-09-18 23:01:04
2023-09-11,3.941,2023-09-12 00:02:29
2023-09-04,3.925,2023-09-06 00:01:31
2023-08-28,3.931,2023-08-28 23:01:54
2023-08-21,3.984,2023-08-22 23:00:15
2023-08-14,3.962,2023-08-18 23:00:11
2023-08-07,3.94,2023-08-09 23:00:15
2023-07-31,3.869,2023-08-01 23:00:09
2023-07-24,3.711,2023-07-24 23:00:14
2023-07-17,3.676,2023-07-17 23:00:16
2023-07-10,3.663,2023-07-13 04:15:07
2023-07-03,3.643,2023-07-13 04:15:07
2023-06-26,3.685,2023-07-13 04:15:07
2023-06-19,3.69,2023-07-13 04:15:07
2023-06-12,3.707,2023-07-13 04:15:07
2023-06-05,3.655,2023-07-13 04:15:07
2023-05-29,3.684,2023-07-13 04:15:07
2023-05-22,3.645,2023-07-13 04:15:07
2023-05-15,3.647,2023-07-13 04:15:07
2023-05-08,3.644,2023-07-13 04:15:07
2023-05-01,3.711,2023-07-13 04:15:07
2023-04-24,3.765,2023-07-13 04:15:07
2023-04-17,3.769,2023-07-13 04:15:07
2023-04-10,3.703,2023-07-13 04:15:07
2023-04-03,3.606,2023-07-13 04:15:07
2023-03-27,3.533,2023-07-13 04:15:07
2023-03-20,3.534,2023-07-13 04:15:07
2023-03-13,3.568,2023-07-13 04:15:07
2023-03-06,3.505,2023-07-13 04:15:07
2023-02-27,3.457,2023-07-13 04:15:07
2023-02-20,3.494,2023-07-13 04:15:07
2023-02-13,3.502,2023-07-13 04:15:07
2023-02-06,3.552,2023-07-13 04:15:07
2023-01-30,3.594,2023-07-13 04:15:07
2023-01-23,3.519,2023-07-13 04:15:07
