date,value,created_at
2024-01-01,54.223,2024-02-14 23:00:21
2023-12-01,53.904,2024-01-17 23:00:25
2023-11-01,54.033,2023-12-13 23:00:21
2023-10-01,55.373,2023-11-16 13:36:12
2023-09-01,55.667,2023-10-22 23:00:14
2023-08-01,55.137,2023-09-13 23:00:15
2023-07-01,54.735,2023-08-10 23:00:19
2023-06-01,54.922,2023-07-13 16:47:46
2023-05-01,55.135,2023-07-13 16:47:46
2023-04-01,55.742,2023-07-13 16:47:46
2023-03-01,56.181,2023-07-13 16:47:46
2023-02-01,56.222,2023-07-13 16:47:46
2023-01-01,55.315,2023-07-13 16:47:46
2022-12-01,54.517,2023-07-13 16:47:46
2022-11-01,55.131,2023-07-13 16:47:46
2022-10-01,55.848,2023-07-13 16:47:46
2022-09-01,55.886,2023-07-13 16:47:46
2022-08-01,55.157,2023-07-13 16:47:46
2022-07-01,54.981,2023-07-13 16:47:46
2022-06-01,55.245,2023-07-13 16:47:46
2022-05-01,54.893,2023-07-13 16:47:46
2022-04-01,56.004,2023-07-13 16:47:46
2022-03-01,56.777,2023-07-13 16:47:46
2022-02-01,55.764,2023-07-13 16:47:46
2022-01-01,53.975,2023-07-13 16:47:46
2021-12-01,52.752,2023-07-13 16:47:46
2021-11-01,52.268,2023-07-13 16:47:46
2021-10-01,51.919,2023-07-13 16:47:46
2021-09-01,51.327,2023-07-13 16:47:46
2021-08-01,50.923,2023-07-13 16:47:46
2021-07-01,51.014,2023-07-13 16:47:46
2021-06-01,51.467,2023-07-13 16:47:46
2021-05-01,51.86,2023-07-13 16:47:46
2021-04-01,51.828,2023-07-13 16:47:46
2021-03-01,51.773,2023-07-13 16:47:46
2021-02-01,51.874,2023-07-13 16:47:46
2021-01-01,51.23,2023-07-13 16:47:46
2020-12-01,50.1,2023-07-13 16:47:46
2020-11-01,50.25,2023-07-13 16:47:46
2020-10-01,50.188,2023-07-13 16:47:46
2020-09-01,50.766,2023-07-13 16:47:46
2020-08-01,50.787,2023-07-13 16:47:46
2020-07-01,50.317,2023-07-13 16:47:46
2020-06-01,50.329,2023-07-13 16:47:46
2020-05-01,50.375,2023-07-13 16:47:46
2020-04-01,50.461,2023-07-13 16:47:46
2020-03-01,49.769,2023-07-13 16:47:46
2020-02-01,49.771,2023-07-13 16:47:46
2020-01-01,50.043,2023-07-13 16:47:46
2019-12-01,49.601,2023-07-13 16:47:46
2019-11-01,50.462,2023-07-13 16:47:46
2019-10-01,50.775,2023-07-13 16:47:46
2019-09-01,50.204,2023-07-13 16:47:46
2019-08-01,50.308,2023-07-13 16:47:46
2019-07-01,50.419,2023-07-13 16:47:46
2019-06-01,51.077,2023-07-13 16:47:46
2019-05-01,51.134,2023-07-13 16:47:46
2019-04-01,50.53,2023-07-13 16:47:46
2019-03-01,51.249,2023-07-13 16:47:46
2019-02-01,51.833,2023-07-13 16:47:46
2019-01-01,50.85,2023-07-13 16:47:46
2018-12-01,50.101,2023-07-13 16:47:46
2018-11-01,51.194,2023-07-13 16:47:46
2018-10-01,51.008,2023-07-13 16:47:46
2018-09-01,50.139,2023-07-13 16:47:46
2018-08-01,50.355,2023-07-13 16:47:46
2018-07-01,50.905,2023-07-13 16:47:46
2018-06-01,51.094,2023-07-13 16:47:46
2018-05-01,52.058,2023-07-13 16:47:46
2018-04-01,52.709,2023-07-13 16:47:46
2018-03-01,52.932,2023-07-13 16:47:46
2018-02-01,52.804,2023-07-13 16:47:46
2018-01-01,52.29,2023-07-13 16:47:46
2017-12-01,52.669,2023-07-13 16:47:46
2017-11-01,52.701,2023-07-13 16:47:46
2017-10-01,52.369,2023-07-13 16:47:46
2017-09-01,52.436,2023-07-13 16:47:46
2017-08-01,53.063,2023-07-13 16:47:46
2017-07-01,53.937,2023-07-13 16:47:46
2017-06-01,55.457,2023-07-13 16:47:46
2017-05-01,55.195,2023-07-13 16:47:46
2017-04-01,55.274,2023-07-13 16:47:46
2017-03-01,56.416,2023-07-13 16:47:46
2017-02-01,56.637,2023-07-13 16:47:46
2017-01-01,56.577,2023-07-13 16:47:46
2016-12-01,55.495,2023-07-13 16:47:46
2016-11-01,55.619,2023-07-13 16:47:46
2016-10-01,56.442,2023-07-13 16:47:46
2016-09-01,56.629,2023-07-13 16:47:46
2016-08-01,56.609,2023-07-13 16:47:46
2016-07-01,56.646,2023-07-13 16:47:46
2016-06-01,57.337,2023-07-13 16:47:46
2016-05-01,57.856,2023-07-13 16:47:46
2016-04-01,58.026,2023-07-13 16:47:46
2016-03-01,58.114,2023-07-13 16:47:46
2016-02-01,58.421,2023-07-13 16:47:46
