date,value,created_at
2024-01-01,190.913,2024-02-14 23:00:21
2023-12-01,192.937,2024-01-17 23:00:26
2023-11-01,196.917,2023-12-13 23:00:21
2023-10-01,196.986,2023-11-16 13:36:12
2023-09-01,203.288,2023-10-22 23:00:15
2023-08-01,203.673,2023-09-13 23:00:15
2023-07-01,207.695,2023-08-10 23:00:20
2023-06-01,206.745,2023-07-13 16:47:47
2023-05-01,202.859,2023-07-13 16:47:47
2023-04-01,199.206,2023-07-13 16:47:47
2023-03-01,197.293,2023-07-13 16:47:47
2023-02-01,194.408,2023-07-13 16:47:47
2023-01-01,200.77,2023-07-13 16:47:47
2022-12-01,199.717,2023-07-13 16:47:47
2022-11-01,202.34,2023-07-13 16:47:47
2022-10-01,204.838,2023-07-13 16:47:47
2022-09-01,204.655,2023-07-13 16:47:47
2022-08-01,209.333,2023-07-13 16:47:47
2022-07-01,209.362,2023-07-13 16:47:47
2022-06-01,206.245,2023-07-13 16:47:47
2022-05-01,204.606,2023-07-13 16:47:47
2022-04-01,199.803,2023-07-13 16:47:47
2022-03-01,195.642,2023-07-13 16:47:47
2022-02-01,196.372,2023-07-13 16:47:47
2022-01-01,197.574,2023-07-13 16:47:47
2021-12-01,197.638,2023-07-13 16:47:47
2021-11-01,195.479,2023-07-13 16:47:47
2021-10-01,195.817,2023-07-13 16:47:47
2021-09-01,200.298,2023-07-13 16:47:47
2021-08-01,201.935,2023-07-13 16:47:47
2021-07-01,198.539,2023-07-13 16:47:47
2021-06-01,200.81,2023-07-13 16:47:47
2021-05-01,196.825,2023-07-13 16:47:47
2021-04-01,186.531,2023-07-13 16:47:47
2021-03-01,183.084,2023-07-13 16:47:47
2021-02-01,185.829,2023-07-13 16:47:47
2021-01-01,184.576,2023-07-13 16:47:47
2020-12-01,180.942,2023-07-13 16:47:47
2020-11-01,181.913,2023-07-13 16:47:47
2020-10-01,181.44,2023-07-13 16:47:47
2020-09-01,183.109,2023-07-13 16:47:47
2020-08-01,179.733,2023-07-13 16:47:47
2020-07-01,175.189,2023-07-13 16:47:47
2020-06-01,171.168,2023-07-13 16:47:47
2020-05-01,169.376,2023-07-13 16:47:47
2020-04-01,173.604,2023-07-13 16:47:47
2020-03-01,173.819,2023-07-13 16:47:47
2020-02-01,174.519,2023-07-13 16:47:47
2020-01-01,172.927,2023-07-13 16:47:47
2019-12-01,170.734,2023-07-13 16:47:47
